SMILES_added,SMILES_got
C(C)(I),CCCI
C-C=N-N-C,CC=NN(C)C(C)CI
N-C-O-C-C,CC=NN(C)C(C)(CI)C(N)OCC
C(N)(:C)(:C),CC=NN(C)C(C)(CI)C(N)OC(C)CC(C)N
N-C:C-N,CC=NN(C)C(C)(CI)C(N)OC(C)CC(C)(N)NCCN
C(C)(I),CC=NN(CCCI)C(C)(CI)C(N)OC(C)CC(C)(N)NCCN
