SMILES_added,SMILES_got
O-C-C=C-C,CC=CC(C)O
C-C-C:C-C,CC=CC(C)(O)C(C)CCC
C(C)(C)(O),CC=CC(C)(O)C(C)C(CC)OC(C)C
N-C-C-C-C-C,CC=CC(C)(O)C(C)C(CC)OC(C)CC(C)CCCN
C(C)(:C)(:N),CC=CC(C)(O)C(C)C(CC)OC(C)CC(C)(CCCN)C(C)(C)N
C=C-C=C,C=CC=CC(C)(C(CC)OC(C)CC(C)(CCCN)C(C)(C)N)C(C)(O)C=CC
C=N-N-C,C=CC=CC(C)(C(CC)OC(C)(CNN=C)CC(C)(CCCN)C(C)(C)N)C(C)(O)C=CC
CC1C(C)CCC1,C=CC=CC(C)(C(CC)OC(C)(CNN=CC1(C)CCCC1C)CC(C)(CCCN)C(C)(C)N)C(C)(O)C=CC
