SMILES_added,SMILES_got
C(C)(Cl)(H),[H]C(Cl)CC
C-C-C-C:C,[H]C(Cl)CCC(C)CCC
N-C-C:C,[H]C(Cl)CCC(C)CC(C)C(C)CN
C=C,[H]C(Cl)CCC(C)(C=C)CC(C)C(C)CN
Cc1c(N)cccc1,[H]C(Cl)C(CC(C)(C=C)CC(C)C(C)CN)C1=CC(N)=C(C)C=C1
O-C-C-C-C-C-C,[H]C(Cl)C(CC(C)(C=C)CC(C)C(C)CN)C1=CC(NOCCCCCC)=C(C)C=C1
Oc1ccc(N)cc1,[H]C(Cl)C(CC(C)(C=C)CC(C)C(C)CNOC1=CC=C(N)C=C1)C1=CC(NOCCCCCC)=C(C)C=C1
