SMILES_added,SMILES_got
C-C-C=C-C,CC=CCCC
C(H)(:C)(:N),[H]C(C)(N)CC=CCCC
C(H)(O),[H]COC(C=CCC([H])(C)N)CC
Br,[H]COC(C=CCC([H])(N)CBr)CC
CC1CCC(N)CC1,[H]COC(C=CCC([H])(N)CBr)C(C)CC1CCC(N)CC1
N-C=N-C,[H]COC(C=CC(CN=CN)C([H])(N)CBr)C(C)CC1CCC(N)CC1
C(C)(:C)(:C),[H]COC(C=CC(CN=CN)C([H])(N)CBr)C(C)CC1(CC(C)C)CCC(N)CC1
N(H)(:C),[H]COC(C=CC(CN=CN)C([H])(N)CBr)C(C)C(N([H])C)C1(CC(C)C)CCC(N)CC1
N-N-C-C,[H]COC(C=CC(CN=CN)C([H])(N)CBr)C(C)(CCNN)C(N([H])C)C1(CC(C)C)CCC(N)CC1
