SMILES_added,SMILES_got
C-C-C-C-C,CCCCCC
C1CCNCC1,CCCCC(C)C1CCCCN1
C-C(C)-C-C,CCCCC(C)(C1CCCCN1)C(C)(C)CC
C(H)(:C),[H]CCC(C)CCC(C)(C1CCCCN1)C(C)(C)CC
OC1C(N)CCCC1,[H]CCC(C)CCC(C)(C1CCCCN1)C(C)(C)CCOC1CCCCC1N
C=N-N-C,[H]CCC(C)CCC(C)(C1CCCCN1)C(C)(C)CCOC1C(N)CCCC1CNN=C
C=C-C:C,[H]CCC(C)CCC(C)(C1CCCCN1)C(C)(C)CCOC1C(N)CCCC1CNN=CC(C)C=C
O=C-C-C=O,[H]CCC(C)CCC(C)(C1CCCCN1)C(C)(C)CCOC1C(N)CCCC1CN(N=CC(C)C=C)C(=O)CC=O
