add_SMILES,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
CC1C(O)CCC1,C,CC1CCC(O)C1C,CC1CCC(O)C1CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC1CCC(O)C1(C)COC(=O)NCC(=O)O,CC1CCC(O)(COC(=O)NC(CCCNC(=N)N)C(=O)O)C1C,CC1CCC(O)(COC(=O)NC(CCC(=O)O)C(=O)O)C1C,3.0503065510100003,2.5783404051199996,2.888790172725,2.7476619801999997
N-C:C:C-N,C,CNCCCN,CNC(CCN)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CNCCCNCOC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCNCCCN)C(=O)O,CNC(CCN)COC(=O)NC(CCC(=O)O)C(=O)O,3.2764731067333335,2.20019226952,2.5249316110266666,2.6940553621000003
C-N-C-C-C,C,CCCNCC,CCNCCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCN(CC)COC(=O)NCC(=O)O,CCNC(CC)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCCN(CC)COC(=O)NC(CCC(=O)O)C(=O)O,2.76880727303,2.771268441478333,2.817939077025,2.5927553621
O=C-C-C-C-C(O)-C,C,CC(O)C(C)CCC=O,CC(O)C(C)CC(C=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(O)C(C)C(CC=O)COC(=O)NCC(=O)O,CC(O)C(CCC=O)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(O)C(CCC=O)CCOC(=O)NC(CCC(=O)O)C(=O)O,2.7333081081933335,2.5666844498083337,2.6393678933416664,2.725995864575
Oc1c(O)cccc1,C,COC1=C(O)C=CC=C1,COC1=C(OCOC(=O)NC(C(=O)O)C2=CC=CC=C2)C=CC=C1,COC1=C(O)C=C(COC(=O)NCC(=O)O)C=C1,COC1=C(O)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)=CC=C1,COC1=C(O)C=CC=C1COC(=O)NC(CCC(=O)O)C(=O)O,2.4690098305,2.4709499999999998,2.4411297121833333,2.7319249886000003
C-C:N:C,C,CCN(C)C,CN(C)CCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(COC(=O)NCC(=O)O)N(C)C,CCN(C)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCN(C)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.125482385275,2.7972187047383335,3.23565655101,2.9346265022833333
C(N)(:C)(:N),C,CNC(C)N,CNC(C)(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC(C)(N)COC(=O)NCC(=O)O,CNC(C)NCOC(=O)NC(CCCNC(=N)N)C(=O)O,CNC(C)NCOC(=O)NC(CCC(=O)O)C(=O)O,2.542931032545,2.8223033484166664,3.2332232176766675,2.56914597472
C(C)(Cl),C,CCCCl,CC(CCl)COC(=O)NC(C(=O)O)C1=CC=CC=C1,O=C(O)CNC(=O)OCCCCCl,N=C(N)NCCCC(NC(=O)OCCCCCl)C(=O)O,CCC(Cl)COC(=O)NC(CCC(=O)O)C(=O)O,2.81542639682,2.6241930634866666,2.439312417426667,2.4620460211449995
N-C-C-C-C-C,C,CCCCC(C)N,CC(N)CCCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCCC(N)CCOC(=O)NCC(=O)O,CCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC(C)N,CCCC(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)N,3.05918228443,2.6475809099750003,2.819233540375,2.9661194505250004
O-C-C-C-C-C-O,C,CC(CCO)CCO,CC(CCO)C(CO)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(CCO)C(CO)COC(=O)NCC(=O)O,CC(CCO)CCOCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(CCO)CCOCOC(=O)NC(CCC(=O)O)C(=O)O,2.7317065510100003,2.865363455533333,2.68827741001,2.3531649443600005
OC1C(N)CCCC1,C,CC1(N)CCCCC1O,NC1(CCOC(=O)NC(C(=O)O)C2=CC=CC=C2)CCCCC1O,CC1(N)CCCCC1OCOC(=O)NCC(=O)O,CC1(N)CCCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C1O,CC1(N)CC(COC(=O)NC(CCC(=O)O)C(=O)O)CCC1O,2.9549541865083335,3.0839451029116667,3.1610659352350003,2.552020853175
O=C-C-C-C-C(O)-C,C,CCC(O)CCCC=O,CC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(O)CCCC=O,CCC(O)(CCCC=O)COC(=O)NCC(=O)O,CCC(O)CCCC(=O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCC(O)CCCC(=O)COC(=O)NC(CCC(=O)O)C(=O)O,2.7713747748600004,2.957337915891667,2.3052557436916667,2.934987519841667
C(-C)(-N)(=C),C,CC=C(C)N,CC=C(C)NCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC=C(N)CCOC(=O)NCC(=O)O,CC(N)=CCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC=C(N)CCOC(=O)NC(CCC(=O)O)C(=O)O,2.54575,2.392347974035151,2.922504186508333,2.5747698110400004
