add_SMILES,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
N-C:C-N,C,CNCCN,NCCNCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,NCCNCCOC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCNCCN)C(=O)O,CNCC(N)COC(=O)NC(CCC(=O)O)C(=O)O,2.807038416826667,2.6437472601666663,2.4549360279195236,2.6175475126366665
C(F)(:C),C,CC(C)F,CC(F)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(F)CCOC(=O)NCC(=O)O,CC(F)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(F)CCOC(=O)NC(CCC(=O)O)C(=O)O,2.38150489412,2.6277872837666667,2.391541655266667,2.5474048941199996
OC1CC(N)CCC1,C,CNC1CCCC(O)C1,CNC1CCCC(O)C1COC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC1CC(O)CCC1COC(=O)NCC(=O)O,CNC1CCCC(OCOC(=O)NC(CCCNC(=N)N)C(=O)O)C1,O=C(O)CCC(NC(=O)OCCNC1CCCC(O)C1)C(=O)O,3.4437398965316666,2.5693725652416664,3.307824023305,2.538320853175
C-C-C-C-C-C,C,CCCC(C)CC,CCC(C)C(CC)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCC(C)CC(C)COC(=O)NCC(=O)O,CCCC(C)C(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCCC(C)CCCOC(=O)NC(CCC(=O)O)C(=O)O,3.3848004135266665,3.426261736152056,3.618735986185,2.8994291979083333
N(C)(C)(C),C,CCN(C)C,CCN(C)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCN(C)CCOC(=O)NCC(=O)O,CN(C)CCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(COC(=O)NC(CCC(=O)O)C(=O)O)N(C)C,3.2474957730900003,2.510102448378333,3.2070217319100003,2.5647074390249998
C(C)(:C)(:N),C,CCC(C)N,CCC(C)(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(N)CCCOC(=O)NCC(=O)O,CCC(C)NCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCC(C)(N)COC(=O)NC(CCC(=O)O)C(=O)O,2.928668163758889,2.4848385904866666,3.2332232176766675,2.436616115625
Oc1ccc(N)cc1,C,CC1=C(N)C=CC(O)=C1,CC1=C(N)C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)=CC(O)=C1,CC1=C(NCOC(=O)NCC(=O)O)C=CC(O)=C1,CC1=C(NCOC(=O)NC(CCCNC(=N)N)C(=O)O)C=CC(O)=C1,CC1=C(N)C(COC(=O)NC(CCC(=O)O)C(=O)O)=CC(O)=C1,3.248750878375,2.7676980636783335,2.5222047529833334,2.569838132190152
Cl-C:C-C=O,C,CC(C=O)CCl,CC(C=O)(CCl)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(CCl)C(=O)COC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCC(C=O)CCl)C(=O)O,CC(C=O)(CCl)COC(=O)NC(CCC(=O)O)C(=O)O,2.3453048941200003,2.507928139391667,2.6566701769333334,2.105621560786667
CC1CCC(N)CC1,C,CC1(C)CCC(N)CC1,CC1(CCOC(=O)NC(C(=O)O)C2=CC=CC=C2)CCC(N)CC1,CC1(C)CCC(N)CC1COC(=O)NCC(=O)O,CC1(C)CCC(N)(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC1,CC1(C)CCC(N)(COC(=O)NC(CCC(=O)O)C(=O)O)CC1,3.5139442670500003,3.02200516802,3.170933976525,2.5898801364535715
O=C-C:C-C,C,CC(C)CC=O,CC(CC=O)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C)(CC=O)COC(=O)NCC(=O)O,CC(C)C(C=O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C)(CC=O)COC(=O)NC(CCC(=O)O)C(=O)O,3.2484559077566666,2.571714107875,2.061689077025,2.2851911270250005
