add_SMILES,starting_SMILES 1,starting_SMILES 0,starting_SMILES -1,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C(-O)(=O),C,COC=O,NA,O=COCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,COC(=O)COC(=O)NCC(=O)O,COC(=O)COC(=O)NC(CCCNC(=N)N)C(=O)O,O=COCCOC(=O)NC(CCC(=O)O)C(=O)O,2.6147333333333327,2.1627673082416665,2.8555166666666674,2.3313499999999996
N-C:C-C,C,CC(C)CN,NA,CC(C)CNCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(CN)CCOC(=O)NCC(=O)O,CC(C)CNCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C)(CN)COC(=O)NC(CCC(=O)O)C(=O)O,3.036441612375,2.6672751817333333,3.2730572730300005,2.0538833333333337
N-C:C-C,C,CC(C)CN,NA,CC(C)CNCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(CN)CCOC(=O)NCC(=O)O,CC(C)CNCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C)(CN)COC(=O)NC(CCC(=O)O)C(=O)O,3.036441612375,2.6672751817333333,3.2730572730300005,2.0538833333333337
C1C=CC=C1,C,CC1C=CC=C1,NA,O=C(NC(C(=O)O)C1=CC=CC=C1)OCCC1C=CC=C1,CC1C=CC=C1COC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCC1C=CC=C1)C(=O)O,O=C(O)CCC(NC(=O)OCCC1C=CC=C1)C(=O)O,2.55394740316,2.7480663087583332,3.046510309862857,2.7699931695583335
N-C:C:N,C,CC(N)CN,NA,CC(N)CNCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(N)CNCOC(=O)NCC(=O)O,CC(N)C(N)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(CN)NCOC(=O)NC(CCC(=O)O)C(=O)O,2.662089718945,2.434883333333333,2.72365391345,2.58041025622
Cc1c(Cl)cccc1,C,CCC1=C(Cl)C=CC=C1,NA,CCC1=C(Cl)C=C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C=C1,O=C(O)CNC(=O)OCCCC1=C(Cl)C=CC=C1,CCC1=C(Cl)C=C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C=C1,CCC1=C(Cl)C(COC(=O)NC(CCC(=O)O)C(=O)O)=CC=C1,2.9555317761499995,2.5069110403333337,3.09449246412,2.733156067548485
C-C,C,CCC,NA,CC(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCCOC(=O)NCC(=O)O,CCCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCCCOC(=O)NC(CCC(=O)O)C(=O)O,2.81619660438,2.3029152969666664,2.808542931751666,2.4672048941199995
N(C)(H),C,[H]NCC,NA,[H]NCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]NC(C)COC(=O)NCC(=O)O,[H]N(CC)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]N(CC)COC(=O)NC(CCC(=O)O)C(=O)O,2.37337639682,2.4233751817333333,2.2728249886,2.40880489412
C(C)(C)(H)(N),C,[H]C(C)(C)NC,NA,[H]C(C)(C)N(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(C)(C)NCCOC(=O)NCC(=O)O,[H]C(C)(C)N(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(C)(C)NCCOC(=O)NC(CCC(=O)O)C(=O)O,3.0003888521916666,2.20584226952,2.679156622426667,2.7890598362250003
C-H,C,[H]CC,NA,[H]CCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(C)COC(=O)NCC(=O)O,[H]C(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]CCCOC(=O)NC(CCC(=O)O)C(=O)O,2.22117639682,2.1945893903416662,2.6206553621,2.299738227453333
