add_SMILES,starting_SMILES 1,starting_SMILES 0,starting_SMILES -1,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C-O-C:C-C,C,CCCCOC,NA,COCCC(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCC(COC(=O)NCC(=O)O)OC,CCCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)OC,CCCCOCCOC(=O)NC(CCC(=O)O)C(=O)O,3.035742163546667,2.985520569611667,3.062189077025,3.196449934308333
C-O-C:C-C,C,CCCCOC,NA,COCCC(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCC(COC(=O)NCC(=O)O)OC,CCCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)OC,CCCCOCCOC(=O)NC(CCC(=O)O)C(=O)O,3.035742163546667,2.985520569611667,3.062189077025,3.196449934308333
O=C-C-C-C=O,C,CC(=O)CCC=O,NA,CC(=O)C(CC=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(=O)CCC(=O)COC(=O)NCC(=O)O,CC(=O)C(CC=O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(=O)CCC(=O)COC(=O)NC(CCC(=O)O)C(=O)O,2.6519408109333327,2.5295,2.1478297121833334,2.4625000000000004
O-C-C=C-C,C,CC(C)=CCO,NA,CC(C)=C(CO)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(=CCO)CCOC(=O)NCC(=O)O,CC(=CCO)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(=CCO)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.191238980046666,2.528022734215152,2.715330683675,2.952956066940152
C(-C)(-N)(=O),C,CNC(C)=O,NA,CC(=O)N(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC(=O)CCOC(=O)NCC(=O)O,CC(=O)NCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(=O)NCCOC(=O)NC(CCC(=O)O)C(=O)O,2.4964023851666663,2.3514486883866668,2.920859285183333,2.845759836225
O-C-C=C,C,C=C(C)CO,NA,C=C(C)COCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(=CCOC(=O)NCC(=O)O)CO,C=C(C)C(O)COC(=O)NC(CCCNC(=N)N)C(=O)O,C=C(CO)CCOC(=O)NC(CCC(=O)O)C(=O)O,2.790989718945,2.5359165120533333,2.7150064916916667,2.736820176933333
O=C-C-N,C,CNCC=O,NA,CNC(C=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,O=CCNCCOC(=O)NCC(=O)O,CNC(C=O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CN(CC=O)COC(=O)NC(CCC(=O)O)C(=O)O,2.8867462606250003,2.73002870572,2.8480631557916665,2.3298602562200004
C=C-C-C,C,C=C(C)CC,NA,C=C(C)CCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,C=C(CC)CCOC(=O)NCC(=O)O,C=C(CC)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,C=C(CC)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.293215198325,2.335249845277576,3.210865895536667,2.777158321933334
C-C-C-C-C,C,CCCC(C)C,NA,CC(C)CCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCC(COC(=O)NCC(=O)O)C(C)C,CCCC(C)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C)CCCCOC(=O)NC(CCC(=O)O)C(=O)O,2.95300050828,2.6802465176583334,3.147832240858333,2.989623289093333
C-C-C-C-C,C,CCCC(C)C,NA,CC(C)CCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCC(COC(=O)NCC(=O)O)C(C)C,CCCC(C)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C)CCCCOC(=O)NC(CCC(=O)O)C(=O)O,2.95300050828,2.6802465176583334,3.147832240858333,2.989623289093333
C(C)(C)(N),C,CCC(C)N,NA,CCC(N)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCC(N)CCOC(=O)NCC(=O)O,CCC(C)(N)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCC(N)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.16998713825,2.6654922695199996,2.8368057436916665,2.65992988272
Oc1c(N)cccc1,C,CNC1=C(O)C=CC=C1,NA,CNC1=C(O)C=CC(COC(=O)NC(C(=O)O)C2=CC=CC=C2)=C1,CNC1=C(O)C=CC=C1COC(=O)NCC(=O)O,CNC1=C(O)C=CC=C1COC(=O)NC(CCCNC(=N)N)C(=O)O,CNC1=C(OCOC(=O)NC(CCC(=O)O)C(=O)O)C=CC=C1,2.8066108938500003,2.6725048941200003,2.6936271339416664,2.696814389481818
Oc1c(N)cccc1,C,CNC1=C(O)C=CC=C1,NA,CNC1=C(O)C=CC(COC(=O)NC(C(=O)O)C2=CC=CC=C2)=C1,CNC1=C(O)C=CC=C1COC(=O)NCC(=O)O,CNC1=C(O)C=CC=C1COC(=O)NC(CCCNC(=N)N)C(=O)O,CNC1=C(OCOC(=O)NC(CCC(=O)O)C(=O)O)C=CC=C1,2.8066108938500003,2.6725048941200003,2.6936271339416664,2.696814389481818
O=C-C-C:C,C,CCC(C)C=O,NA,CC(C=O)CCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCC(C)(C=O)COC(=O)NCC(=O)O,CCC(C)(C=O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCC(C)C(=O)COC(=O)NC(CCC(=O)O)C(=O)O,3.02148851907,2.0812166666666667,2.146105743691667,2.6775155409583333
C(C)(H)(N),C,[H]C(N)CC,NA,[H]C(N)C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(N)(CC)COC(=O)NCC(=O)O,[H]C(CC)NCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(N)(CC)COC(=O)NC(CCC(=O)O)C(=O)O,2.6880417939799996,2.5034959630583336,3.1367234314166668,2.475352959225
O-C-C-C:C,C,CCCCOC,NA,COCCC(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCC(COC(=O)NCC(=O)O)OC,CCCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)OC,CCCCOCCOC(=O)NC(CCC(=O)O)C(=O)O,3.035742163546667,2.985520569611667,3.062189077025,3.196449934308333
O-C-C-C:C,C,CCCCOC,NA,COCCC(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCC(COC(=O)NCC(=O)O)OC,CCCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)OC,CCCCOCCOC(=O)NC(CCC(=O)O)C(=O)O,3.035742163546667,2.985520569611667,3.062189077025,3.196449934308333
O-N-C-C,C,CCNOC,NA,CCN(COC(=O)NC(C(=O)O)C1=CC=CC=C1)OC,CCN(COC(=O)NCC(=O)O)OC,CCN(COC(=O)NC(CCCNC(=N)N)C(=O)O)OC,CONCCCOC(=O)NC(CCC(=O)O)C(=O)O,2.576410178858333,2.4657238080666666,3.306174388941667,2.5578882274533337
N-C-N-C-C,C,CCN(C)CN,NA,CCN(C)CNCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCN(C)CNCOC(=O)NCC(=O)O,CN(CN)CCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCN(C)CNCOC(=O)NC(CCC(=O)O)C(=O)O,3.31302586529,2.36297192382,2.96882477486,2.4911397189450004
C:C-C=C,C,C=CCCC,NA,C=CCC(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,C=CCCCCOC(=O)NCC(=O)O,CCCC=CCOC(=O)NC(CCCNC(=N)N)C(=O)O,C=CCC(C)COC(=O)NC(CCC(=O)O)C(=O)O,3.6095067647500003,2.7566290784575758,3.0836341193866668,2.3791281329733334
C:C-C:C,C,CCCCC,NA,CCCCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCC(C)COC(=O)NCC(=O)O,CCCC(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCCCCCOC(=O)NC(CCC(=O)O)C(=O)O,2.98598228443,2.5384445723116666,2.8705822408583335,2.5489039983722224
C1CCCCC1,C,CC1CCCCC1,NA,CC1CCC(COC(=O)NC(C(=O)O)C2=CC=CC=C2)CC1,CC1CCCC(COC(=O)NCC(=O)O)C1,CC1(COC(=O)NC(CCCNC(=N)N)C(=O)O)CCCCC1,CC1(COC(=O)NC(CCC(=O)O)C(=O)O)CCCCC1,3.66393238738,2.5923558985749997,2.828533976525,2.6082753019250005
C1CCC=CC1,C,CC1C=CCCC1,NA,CC1(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C=CCCC1,CC1C=CCCC1COC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCC1C=CCCC1)C(=O)O,CC1C=CCC(COC(=O)NC(CCC(=O)O)C(=O)O)C1,3.6755126182666666,2.678734687025,2.8427007860533338,2.8327825622033336
