add_SMILES,starting_SMILES 1,starting_SMILES 0,starting_SMILES -1,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
O-C-C-C:C,C,CCCCOC,NA,CCCCOCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCC(COC(=O)NCC(=O)O)OC,COCCC(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,COCCCCCOC(=O)NC(CCC(=O)O)C(=O)O,2.64660727303,2.985520569611667,3.09157477486,3.012566600975
O-C-C-C:C,C,CCCCOC,NA,CCCCOCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCC(COC(=O)NCC(=O)O)OC,COCCC(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,COCCCCCOC(=O)NC(CCC(=O)O)C(=O)O,2.64660727303,2.985520569611667,3.09157477486,3.012566600975
N-C-C-C:C,C,CCCC(C)N,NA,CCCC(C)(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCC(C)NCOC(=O)NCC(=O)O,CCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)N,CCC(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)N,2.9758235760988887,2.8864180203583336,2.755470853175,2.85905676475
Cc1cc(Cl)ccc1,C,CC1=CC(C)=CC(Cl)=C1,NA,CC1=CC(CCOC(=O)NC(C(=O)O)C2=CC=CC=C2)=CC(Cl)=C1,CC1=CC(C)=C(COC(=O)NCC(=O)O)C(Cl)=C1,CC1=CC(Cl)=CC(C)=C1COC(=O)NC(CCCNC(=N)N)C(=O)O,CC1=CC(Cl)=C(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)=C1,2.7655007491666668,2.5593666666666666,2.95905738104,2.6821357185000005
Cc1c(Cl)cccc1,C,CC1=CC(C)=C(Cl)C=C1,NA,CC1=C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C(C)=C(Cl)C=C1,CC1=C(COC(=O)NCC(=O)O)C(C)=C(Cl)C=C1,CC1=C(Cl)C=CC(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)=C1,CC1=CC(C)=C(Cl)C(COC(=O)NC(CCC(=O)O)C(=O)O)=C1,3.4918453059,2.335633333333333,3.0201053621,2.875609836225
C=C-C-C-C,C,C=CC(C)CC,NA,C=C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)CC,CCC(C)C=CCOC(=O)NCC(=O)O,C=CC(CC)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,C=CC(C)C(C)COC(=O)NC(CCC(=O)O)C(=O)O,3.1362991644333333,2.5938560562449995,3.14319922887,2.86383713825
C(C)(O),C,CC(C)O,NA,CC(C)(O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C)OCOC(=O)NCC(=O)O,CC(O)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C)(O)COC(=O)NC(CCC(=O)O)C(=O)O,2.3414911270250003,2.1354640611866667,2.332341655266667,2.2585411270250004
C1CCCC1,C,CC1CCCC1,NA,CC1CCCC1COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC1CCCC1COC(=O)NCC(=O)O,CC1CCCC1COC(=O)NC(CCCNC(=N)N)C(=O)O,CC1CCC(COC(=O)NC(CCC(=O)O)C(=O)O)C1,3.1128770940100003,2.927176546238333,2.8436041865083332,2.5952345600083335
CC1CCC(C)CC1,C,CC1CCC(C)C(C)C1,NA,CC1CCC(CCOC(=O)NC(C(=O)O)C2=CC=CC=C2)CC1C,CC1CCC(C)C(C)(COC(=O)NCC(=O)O)C1,CC1CCC(C)(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC1C,CC1CC(C)C(C)C(COC(=O)NC(CCC(=O)O)C(=O)O)C1,3.031255110445952,2.93308823976,3.0182474033249997,3.2445258457083335
O=C-C-C-C-C(N)-C,C,CC(N)CC(C)CC=O,NA,CC(N)CC(C)(CC=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(N)CC(C)C(C=O)COC(=O)NCC(=O)O,CC(CC=O)CC(N)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(N)C(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)CC=O,2.8961918690066666,2.881314550783333,2.3364750455083336,2.82886126255
