add_SMILES,starting_SMILES 1,starting_SMILES 0,starting_SMILES -1,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C(-C)(-C)(=N),C,CN=C(C)C,NA,CN=C(C)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C)=NCCOC(=O)NCC(=O)O,CC(C)=NCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CN=C(C)CCOC(=O)NC(CCC(=O)O)C(=O)O,2.9092999999999996,2.4213271930083335,3.17915655101,2.7715227342151523
OC1CCC(Cl)CC1,C,CC1CC(Cl)CCC1O,NA,CC1CC(Cl)(COC(=O)NC(C(=O)O)C2=CC=CC=C2)CCC1O,CC1(COC(=O)NCC(=O)O)CC(Cl)CCC1O,CC1CC(Cl)CCC1(O)COC(=O)NC(CCCNC(=N)N)C(=O)O,O=C(O)CCC(NC(=O)OCCC1CC(Cl)CCC1O)C(=O)O,3.258284294788889,2.7297451378433335,2.683408963075,2.399532412925
O-N-C-C,C,CC(C)NO,NA,CC(C)N(O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(CCOC(=O)NCC(=O)O)NO,CC(C)N(O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C)N(O)COC(=O)NC(CCC(=O)O)C(=O)O,2.530891127025,2.4665134091866667,2.647726118191667,2.3910357185
Cl-C:C-O-C,C,COCC(C)Cl,NA,CC(Cl)COCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,COCC(Cl)CCOC(=O)NCC(=O)O,CC(Cl)COCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(Cl)COCCOC(=O)NC(CCC(=O)O)C(=O)O,2.6572040954933334,2.711109903033333,2.753828555851667,2.9190844880783335
ClC1CC(Cl)CCC1,C,CC1C(Cl)CCCC1Cl,NA,CC1C(Cl)CCC(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C1Cl,CC1C(Cl)CC(COC(=O)NCC(=O)O)CC1Cl,CC1C(Cl)CCCC1(Cl)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC1C(Cl)CCCC1(Cl)COC(=O)NC(CCC(=O)O)C(=O)O,3.4344058764138885,2.296136746557222,2.7242897447416667,2.907744425471667
OC1C(O)CCCC1,C,CC1CCC(O)C(O)C1,NA,CC1CC(O)C(O)C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C1,CC1(COC(=O)NCC(=O)O)CCC(O)C(O)C1,N=C(N)NCCCC(NC(=O)OCCC1CCC(O)C(O)C1)C(=O)O,CC1CC(O)C(O)C(COC(=O)NC(CCC(=O)O)C(=O)O)C1,3.523219107748333,2.7636764286433335,2.3054527838583336,2.509620853175
C-C-C-C-C,C,CCCCCC,NA,CCCCCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCCCCCOC(=O)NCC(=O)O,CCCCC(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCCCC(C)COC(=O)NC(CCC(=O)O)C(=O)O,2.80498228443,2.689558362353333,2.8705822408583335,2.7136286511933334
C(C)(Cl),C,CCCCl,NA,CCC(Cl)COC(=O)NC(C(=O)O)C1=CC=CC=C1,O=C(O)CNC(=O)OCCCCCl,N=C(N)NCCCC(NC(=O)OCCCCCl)C(=O)O,O=C(O)CCC(NC(=O)OCCCCCl)C(=O)O,2.8402720572999995,2.6241930634866666,2.439312417426667,2.5281215607866665
C-N-C:C,C,CNC(C)C,NA,CNC(C)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC(C)(C)COC(=O)NCC(=O)O,CC(C)N(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CNC(C)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.28045906207,2.7015077936916665,2.679156622426667,2.852638695433334
C-N-C:C,C,CNC(C)C,NA,CNC(C)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC(C)(C)COC(=O)NCC(=O)O,CC(C)N(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CNC(C)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.28045906207,2.7015077936916665,2.679156622426667,2.852638695433334
N(C)(C),C,CCNC,NA,CCN(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCNCCOC(=O)NCC(=O)O,CCN(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCN(C)COC(=O)NC(CCC(=O)O)C(=O)O,2.63259934318,2.3895453723866664,2.840634512409524,2.2604273737666665
O-C-C-C=C,C,C=C(C)CCO,NA,C=C(C)CCOCOC(=O)NC(C(=O)O)C1=CC=CC=C1,C=C(C)CC(O)COC(=O)NCC(=O)O,C=C(C)CC(O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(=CCOC(=O)NC(CCC(=O)O)C(=O)O)CCO,2.8525416552666667,2.5925708765583333,2.796858247568485,2.876029822458334
N-C-N-C,C,CNCNC,NA,CNC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)NC,CNCNCCOC(=O)NCC(=O)O,CNCN(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CNCN(C)COC(=O)NC(CCC(=O)O)C(=O)O,2.5883742964933334,2.9120126297249995,2.937134298669524,2.24001025622
O-C-C-C:C,C,CCC(C)CO,NA,CC(CO)CCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCC(C)COCOC(=O)NCC(=O)O,CCC(C)C(O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCC(CO)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.2249572730300002,2.68592455897,2.8331041865083337,2.73383713825
C(C)(:N),C,CC(C)N,NA,CC(C)NCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C)NCOC(=O)NCC(=O)O,CC(N)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C)NCOC(=O)NC(CCC(=O)O)C(=O)O,2.3981504893066665,2.3401326810416667,2.695890098083334,2.3105357184999997
C-I,C,CCI,NA,CC(I)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(I)COC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCCI)C(=O)O,CC(I)COC(=O)NC(CCC(=O)O)C(=O)O,2.3823499999999997,2.1597996420916665,2.520192811186667,1.9826882274533333
Br,C,CBr,NA,O=C(NC(C(=O)O)C1=CC=CC=C1)OCCBr,O=C(O)CNC(=O)OCCBr,N=C(N)NCCCC(NC(=O)OCCBr)C(=O)O,O=C(O)CCC(NC(=O)OCCBr)C(=O)O,2.6397703456999997,1.5216323160333334,2.8091744603583337,1.9126166666666662
O=C-C-C-N,C,CNCCC=O,NA,CNCCC(=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC(CC=O)COC(=O)NCC(=O)O,CNCCC(=O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CNC(CC=O)COC(=O)NC(CCC(=O)O)C(=O)O,2.6082433029666667,2.569217523845,2.4266208392083337,2.7895166660583337
N-C-C-N,C,CC(N)CN,NA,CC(N)C(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(CN)NCOC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCC(N)CN)C(=O)O,CC(N)C(N)COC(=O)NC(CCC(=O)O)C(=O)O,2.7337950391199994,2.1924804969733334,2.6904416135933333,2.504816115625
N-C-C-N,C,CC(N)CN,NA,CC(N)C(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(CN)NCOC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCC(N)CN)C(=O)O,CC(N)C(N)COC(=O)NC(CCC(=O)O)C(=O)O,2.7337950391199994,2.1924804969733334,2.6904416135933333,2.504816115625
O-C-C-C-C-C(O)-C,C,CC(C)(O)CCCCO,NA,CC(C)(O)CCC(CO)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C)(O)C(CCCO)COC(=O)NCC(=O)O,CC(C)(O)CCCCOCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C)(O)CCCCOCOC(=O)NC(CCC(=O)O)C(=O)O,2.4932855509466667,2.562889569841667,2.7269425909100002,2.28278995576
CC1CCC(C)CC1,C,CCC1CCC(C)CC1,NA,CCC1(COC(=O)NC(C(=O)O)C2=CC=CC=C2)CCC(C)CC1,CCC1CCC(C)C(COC(=O)NCC(=O)O)C1,CC1CCC(CCCOC(=O)NC(CCCNC(=N)N)C(=O)O)CC1,CCC1(COC(=O)NC(CCC(=O)O)C(=O)O)CCC(C)CC1,2.9881176587059524,3.0419886803290472,2.5941577448583333,2.741991968591667
c1ccncc1,C,CC1=NC=CC=C1,NA,CC1=NC=CC=C1COC(=O)NC(C(=O)O)C1=CC=CC=C1,O=C(O)CNC(=O)OCCC1=NC=CC=C1,CC1=NC=C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C=C1,CC1=NC=CC=C1COC(=O)NC(CCC(=O)O)C(=O)O,2.5488394008818185,2.497560961668485,2.9298014857666668,2.5540131435901516
C:N:C-C,C,CNC(C)C,NA,CNC(C)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC(C)(C)COC(=O)NCC(=O)O,CC(C)N(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CNC(C)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.28045906207,2.7015077936916665,2.679156622426667,2.852638695433334
C:N:C-C,C,CNC(C)C,NA,CNC(C)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC(C)(C)COC(=O)NCC(=O)O,CC(C)N(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CNC(C)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.28045906207,2.7015077936916665,2.679156622426667,2.852638695433334
N-C:C:N,C,CC(N)CN,NA,CC(N)C(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(CN)NCOC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCC(N)CN)C(=O)O,CC(N)C(N)COC(=O)NC(CCC(=O)O)C(=O)O,2.7337950391199994,2.1924804969733334,2.6904416135933333,2.504816115625
N-C:C:N,C,CC(N)CN,NA,CC(N)C(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(CN)NCOC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCC(N)CN)C(=O)O,CC(N)C(N)COC(=O)NC(CCC(=O)O)C(=O)O,2.7337950391199994,2.1924804969733334,2.6904416135933333,2.504816115625
CC1CC(O)CCC1,C,CC1CCCC(O)C1C,NA,CC1CCCC(O)C1(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC1CCC(COC(=O)NCC(=O)O)C(O)C1C,CC1CCCC(O)(COC(=O)NC(CCCNC(=N)N)C(=O)O)C1C,CC1CCCC(O)C1(C)COC(=O)NC(CCC(=O)O)C(=O)O,3.158525521180555,2.4531262395000004,2.7934974033250004,2.7309592357538888
C(H)(:C)(:C),C,[H]C(C)CC,NA,[H]C(C)C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(C)(CC)COC(=O)NCC(=O)O,[H]C(C)(CC)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(C)C(C)COC(=O)NC(CCC(=O)O)C(=O)O,3.09773924109,2.7833381693666666,3.0071057436916666,2.29522988272
C(C)(C)(O),C,CC(C)(C)O,NA,CC(C)(O)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C)(O)CCOC(=O)NCC(=O)O,CC(C)(O)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C)(O)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.0740273713366664,2.5584082088199995,2.7664375198416673,1.9624857185000004
C-C=C-C,C,CC=CCC,NA,CCC=CCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCC=CCCOC(=O)NCC(=O)O,CCC=C(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCC=CCCOC(=O)NC(CCC(=O)O)C(=O)O,2.943126497166667,2.6073173059109096,3.080943949886667,2.768221560786667
C=C-C=C,C,C=CC=CC,NA,C=C(C=CC)COC(=O)NC(C(=O)O)C1=CC=CC=C1,C=CC=CCCOC(=O)NCC(=O)O,CC=CC=CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC=CC=CCOC(=O)NC(CCC(=O)O)C(=O)O,2.52600489412,2.7092243057450007,2.9769443429095235,2.4611715607866667
O-C-O-C-C,C,CCOCOC,NA,COCOCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCOC(COC(=O)NCC(=O)O)OC,CCOCOCCOC(=O)NC(CCCNC(=N)N)C(=O)O,COCOCCCOC(=O)NC(CCC(=O)O)C(=O)O,3.232258273316666,2.59594375412,3.4003004370945242,3.039744448585
C(H)(:C),C,[H]CCC,NA,[H]CCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]CCCCOC(=O)NCC(=O)O,[H]CC(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]CCCCOC(=O)NC(CCC(=O)O)C(=O)O,2.587077314453333,2.3029152969666664,2.510627507926667,2.4672048941199995
N-C-C=C,C,C=CCNC,NA,C=C(CNC)COC(=O)NC(C(=O)O)C1=CC=CC=C1,C=CCN(C)COC(=O)NCC(=O)O,CNCC=CCOC(=O)NC(CCCNC(=N)N)C(=O)O,C=C(CNC)COC(=O)NC(CCC(=O)O)C(=O)O,2.89608501632,2.4714719238200002,2.8801342986695238,2.1752632160533336
C-O-C-C:C,C,CCCOCC,NA,CCCOCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCOCCCOC(=O)NCC(=O)O,CCCOCCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCCOCCCOC(=O)NC(CCC(=O)O)C(=O)O,3.00620655101,2.32624226952,2.5457009653361906,3.262616600975
N=C-C=C,C,C=CC=NC,NA,C=C(C=NC)COC(=O)NC(C(=O)O)C1=CC=CC=C1,C=C(C=NC)COC(=O)NCC(=O)O,CN=CC=CCOC(=O)NC(CCCNC(=N)N)C(=O)O,C=CC(COC(=O)NC(CCC(=O)O)C(=O)O)=NC,2.7994600277200004,2.312963629208333,2.3279583219333335,2.773972734215152
N=C-C=C,C,C=CC=NC,NA,C=C(C=NC)COC(=O)NC(C(=O)O)C1=CC=CC=C1,C=C(C=NC)COC(=O)NCC(=O)O,CN=CC=CCOC(=O)NC(CCCNC(=N)N)C(=O)O,C=CC(COC(=O)NC(CCC(=O)O)C(=O)O)=NC,2.7994600277200004,2.312963629208333,2.3279583219333335,2.773972734215152
