add_SMILES,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
O-C-C=N,C,CN=CCO,CN=C(CO)COC(=O)NC(C(=O)O)C1=CC=CC=C1,O=C(O)CNC(=O)OCCN=CCO,N=C(N)NCCCC(NC(=O)OCCN=CCO)C(=O)O,CN=CCOCOC(=O)NC(CCC(=O)O)C(=O)O,2.943696260625,2.5855331951484852,3.0550426185166666,2.7027882274533335
O-C-C-C:C,C,CCCCCO,CC(CCCO)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCCC(O)COC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCCCCCO)C(=O)O,O=C(O)CCC(NC(=O)OCCCCCCO)C(=O)O,2.83107549688,2.717862629725,2.4569982776933337,2.48248177615
O-C-C:C-C,C,CCCC(C)O,CCCC(C)(O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCC(O)CCOC(=O)NCC(=O)O,CC(O)CC(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCCC(C)(O)COC(=O)NC(CCC(=O)O)C(=O)O,2.854323576098889,2.62467639682,2.488805743691667,2.39375676475
C(C)(C)(H)(O),C,[H]C(C)(C)OC,[H]C(C)(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)OC,[H]C(C)(C)OCCOC(=O)NCC(=O)O,[H]C(C)(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)OC,[H]C(C)(CCOC(=O)NC(CCC(=O)O)C(=O)O)OC,2.865320471583333,2.2103870123666667,3.0388065510100004,2.864678096315152
C-C:N:C,C,CNC(C)C,CNC(C)(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C)NCCOC(=O)NCC(=O)O,CC(C)N(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C)N(C)COC(=O)NC(CCC(=O)O)C(=O)O,2.9607343021838894,2.20584226952,2.679156622426667,2.4443163119999998
C(-C)(=C),C,C=CCC,C=C(CC)COC(=O)NC(C(=O)O)C1=CC=CC=C1,C=CC(C)COC(=O)NCC(=O)O,C=CC(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,C=CC(C)COC(=O)NC(CCC(=O)O)C(=O)O,3.0648333333333335,2.488029296391667,3.0732416552666666,2.1188215607866665
O-C-C:C,C,CC(C)CO,CC(CO)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C)(CO)COC(=O)NCC(=O)O,CC(C)(CO)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(CO)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.2342090620699997,2.7455509632500004,2.462502225780556,2.777158321933334
N-C-C-N-C,C,CCNCCN,NCCNCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(COC(=O)NCC(=O)O)NCCN,CC(COC(=O)NC(CCCNC(=N)N)C(=O)O)NCCN,CCNC(CN)COC(=O)NC(CCC(=O)O)C(=O)O,2.8148388199700003,2.8693719238199997,2.5409316110266666,2.6490180499116667
C-O-C:C-C,C,CCC(C)OC,COC(C)C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,COC(C)C(C)COC(=O)NCC(=O)O,CCC(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)OC,CCC(CCOC(=O)NC(CCC(=O)O)C(=O)O)OC,3.18587709401,2.5942671886583333,3.0693898843433334,3.292666600975
N,C,CN,NCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CNCOC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCN)C(=O)O,NCCOC(=O)NC(CCC(=O)O)C(=O)O,2.651054836033333,2.2706646482083332,3.0909656381833335,2.771776502891667
O=C-C-C-C-C,C,CC(C)CCC=O,CC(C)CC(C=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(CCC=O)CCOC(=O)NCC(=O)O,CC(CCC=O)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C)(CCC=O)COC(=O)NC(CCC(=O)O)C(=O)O,3.07758228443,2.5557602266666666,2.755170853175,2.2017552154500004
C(F)(:C),C,CC(C)F,CC(C)(F)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(F)CCOC(=O)NCC(=O)O,CC(F)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(F)CCOC(=O)NC(CCC(=O)O)C(=O)O,2.7127676299166668,2.6277872837666667,2.391541655266667,2.5474048941199996
C-C=C-C=C,C,C=CC=C(C)C,C=CC=C(C)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C)=CC=CCOC(=O)NCC(=O)O,C=C(C=C(C)C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C)=CC=CCOC(=O)NC(CCC(=O)O)C(=O)O,3.793097826220001,2.6927368721492426,2.9341915809018184,2.2578959747200003
O-C:C-O,C,COCCO,COCC(O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,COCCOCOC(=O)NCC(=O)O,COCCOCOC(=O)NC(CCCNC(=N)N)C(=O)O,COCCOCOC(=O)NC(CCC(=O)O)C(=O)O,2.8011551336000005,2.234405741686667,2.4949333333333334,2.68170489412
O=C-C:C-N,C,CC(C=O)CN,CC(C=O)CNCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C=O)C(N)COC(=O)NCC(=O)O,CC(C=O)C(N)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C=O)CNCOC(=O)NC(CCC(=O)O)C(=O)O,2.5106215607866664,2.4765499999999996,2.214644342041667,2.7282730522783334
C(Cl)(:C),C,CCCCl,CC(CCl)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(CCl)COC(=O)NCC(=O)O,CC(CCl)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(CCl)COC(=O)NC(CCC(=O)O)C(=O)O,2.81542639682,2.6644800285800003,2.400677507926667,2.142688227453333
Cl-C:C-O-C,C,COC(C)CCl,COC(C)(CCl)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(CCl)OCCOC(=O)NCC(=O)O,COC(C)C(Cl)COC(=O)NC(CCCNC(=N)N)C(=O)O,COC(CCl)CCOC(=O)NC(CCC(=O)O)C(=O)O,2.760223165218334,2.450605257153333,2.4430941745933334,2.8899053621000004
C=N-N-C,C,CC=NNC,CNN=C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC=NN(C)COC(=O)NCC(=O)O,CC=NNCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC=NNCCOC(=O)NC(CCC(=O)O)C(=O)O,2.817276325206667,2.3584518566616666,2.7995259518499997,2.767631397011667
C-C-O-C:C,C,CCCOCC,CCCOC(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCOCC(C)COC(=O)NCC(=O)O,CCOCCCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCCOCCCOC(=O)NC(CCC(=O)O)C(=O)O,2.7147176320028574,2.817454836033333,2.7401176320028573,3.262616600975
O-H,C,[H]OC,CO[H]COC(=O)NC(C(=O)O)C1=CC=CC=C1,CO[H]COC(=O)NCC(=O)O,[H]O(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]OCCOC(=O)NC(CCC(=O)O)C(=O)O,NA,NA,NA,2.1027765028916665
C(-H)(=N),C,[H]C=NC,[H]C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)=NC,[H]C=NCCOC(=O)NCC(=O)O,[H]C=NCCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(COC(=O)NC(CCC(=O)O)C(=O)O)=NC,2.554783333333333,2.5148673082416666,2.658949448958334,2.491683333333333
C-N-C-N-C,C,CCNCNC,CCN(CNC)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCNCN(C)COC(=O)NCC(=O)O,CCNC(COC(=O)NC(CCCNC(=N)N)C(=O)O)NC,CNCNCCCOC(=O)NC(CCC(=O)O)C(=O)O,2.818473409586667,2.446204836033333,3.0191159018850002,2.836706385611667
