add_SMILES,starting_SMILES 1,starting_SMILES 0,starting_SMILES -1,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
N-C-C-C-N,CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,CCCCC(CCO)CC1C(CC2=C(C)C=CC(C(N)CCN)=C2Cl)CCC(C)C1C(CO)CCC(C)C,NA,CCCCC(CC(O)COC(=O)NC(C(=O)O)C1=CC=CC=C1)CC1C(CC2=C(C)C=CC(C(N)CCN)=C2Cl)CCC(C)C1C(CO)CCC(C)C,CCCCC(CCO)CC1C(CC2=C(C)C=CC(C(N)CCN)=C2Cl)CCC(C)C1C(CO)CCC(C)CCOC(=O)NCC(=O)O,CC1=C(CC2CCC(C)C(C(CO)CCC(C)C)C2CC(CCO)CCC(C)COC(=O)NC(CCCNC(=N)N)C(=O)O)C(Cl)=C(C(N)CCN)C=C1,CCCCC(CCO)CC1C(CC2=C(C)C=CC(C(N)CCN)=C2Cl)CCC(C)(COC(=O)NC(CCC(=O)O)C(=O)O)C1C(CO)CCC(C)C,4.476580554768015,4.437865412065454,4.332200499548571,4.166609248894026
C=C-C=C,CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,C=CC=CC1=CC=C(Cl)C(CC2CCC(C)C(C(CO)CCC(C)C)C2CC(CCO)CCCC)=C1C,NA,C=CC=CC1=CC=C(Cl)C(CC2CCC(C)C(C(CO)CCC(C)CCOC(=O)NC(C(=O)O)C3=CC=CC=C3)C2CC(CCO)CCCC)=C1C,C=CC=CC1=CC=C(Cl)C(CC2CCC(C)C(C(CO)CC(COC(=O)NCC(=O)O)C(C)C)C2CC(CCO)CCCC)=C1C,CCCCC(CCO)CC1C(CC2=C(C)C(C=CC=CCOC(=O)NC(CCCNC(=N)N)C(=O)O)=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,C=CC=CC1=CC=C(Cl)C(CC2CCC(C)C(C(CO)CCC(C)C)C2CC(CCCC)CCOCOC(=O)NC(CCC(=O)O)C(=O)O)=C1C,4.545984727419444,4.541128176348016,4.46007452244857,4.492191744444444
O-C:C-N,CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,CCCCC(CCO)CC1(C(N)CO)C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,NA,CCCCC(CCOCOC(=O)NC(C(=O)O)C1=CC=CC=C1)CC1(C(N)CO)C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,CCCCC(CCO)CC1(C(N)CO)C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)(CCC(C)C)COC(=O)NCC(=O)O,CCCCC(CCO)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C1(C(N)CO)C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,CCCCC(CCO)CC1(C(N)COCOC(=O)NC(CCC(=O)O)C(=O)O)C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,4.416487813073015,4.061975968693015,4.119074522448571,4.25790775978607
C(F)(F),CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,CCCCC(CCO)(CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C)C(F)F,NA,CCCCC(CCO)(CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CO)CCC(C)C)C(F)F,CCCCC(CCO)(CC1C(CC2=C(C)C=CC=C2Cl)CC(COC(=O)NCC(=O)O)C(C)C1C(CO)CCC(C)C)C(F)F,CCCCC(CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C)(C(F)F)C(CO)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCCCC(CCO)(CC1C(C(COC(=O)NC(CCC(=O)O)C(=O)O)C2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C)C(F)F,3.7822026275930147,3.978683515708571,3.468133555601298,3.3523221839212978
O=C-C-C-C-C-C-C,CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,CCCC(CCC=O)C(C)CCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,NA,CCCC(CCC=O)C(C)CCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)(CCC(C)C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCC(CCC=O)C(CCOC(=O)NCC(=O)O)CCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,CCCC(CCC=O)C(C)CCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC(C)C1C(CO)CCC(C)C,CCCC(CCC=O)C(C)CCC(CCO)CC1C(CC2=C(C)C=CC(COC(=O)NC(CCC(=O)O)C(=O)O)=C2Cl)CCC(C)C1C(CO)CCC(C)C,4.476900124868015,4.308851621093015,4.52667910852357,4.429299416173015
C(O)(O),CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)(C)OCO,NA,CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)(CCC(C)(C)OCO)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCCC(CCO)CC1C(CC2=C(C)C(COC(=O)NCC(=O)O)=CC=C2Cl)CCC(C)C1C(CO)CCC(C)(C)OCO,CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CCC(C)(C)OCO)C(O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)C(COC(=O)NC(CCC(=O)O)C(=O)O)CC(C)C1C(CO)CCC(C)(C)OCO,4.481187959693015,4.265463716173571,4.34241249054857,4.112466214587965
C-O-C-C=C,CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,C=C(COC)C1=CC=C(Cl)C(CC2CCC(C)C(C(CO)CCC(C)C)C2CC(CCO)CCCC)=C1C,NA,C=C(COC)C1=CC=C(Cl)C(CC2CCC(C)C(C(CO)CCC(C)C)C2(COC(=O)NC(C(=O)O)C2=CC=CC=C2)CC(CCO)CCCC)=C1C,C=C(COC)C1=CC=C(Cl)C(CC2CCC(C)C(C(CO)CCC(C)CCOC(=O)NCC(=O)O)C2CC(CCO)CCCC)=C1C,C=C(COC)C1=CC=C(Cl)C(CC2CCC(C)C(C(CO)CCC(C)C)C2C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(CCO)CCCC)=C1C,C=C(COC)C1=CC=C(Cl)C(CC2C(COC(=O)NC(CCC(=O)O)C(=O)O)CC(C)C(C(CO)CCC(C)C)C2CC(CCO)CCCC)=C1C,4.476580554768015,4.481979753444444,4.46007452244857,4.422787571793015
C(H)(O)(O),CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,[H]C(O)(O)C(O)CC(CCCC)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,NA,[H]C(O)(O)C(O)CC(CCCC)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CO)CCC(C)C,[H]C(O)(O)C(O)CC(CCCC)CC1C(CC2=C(C)C=CC=C2Cl)CCC(CCOC(=O)NCC(=O)O)C1C(CO)CCC(C)C,[H]C(O)(O)C(O)CC(CCCC)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC(C)C,[H]C(O)(O)C(O)CC(CCCC)CC1C(CC2=C(C)C=C(COC(=O)NC(CCC(=O)O)C(=O)O)C=C2Cl)CCC(C)C1C(CO)CCC(C)C,4.481187959693015,4.440886125548571,3.918774522448571,3.826017613321298
C-N-C-C-C,CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CCC(C)C)C(O)N(C)CCC,NA,CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CCC(C)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(O)N(C)CCC,CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CCC(C)C)C(OCOC(=O)NCC(=O)O)N(C)CCC,CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(C(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC(C)C)C(O)N(C)CCC,CCCCC(CCOCOC(=O)NC(CCC(=O)O)C(=O)O)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CCC(C)C)C(O)N(C)CCC,4.430225114839444,4.444001339462857,4.46007452244857,4.477742676619999
C-N-C-C-C,CCCCC(CCO)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,CCCCC(CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C)C(CO)CNCCC,NA,CCCCC(CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CCC(C)C)COCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CO)CNCCC,CCCCC(CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CC(COC(=O)NCC(=O)O)C(C)C)C(CO)CNCCC,CCCNCC(CO)C(CC(CC)COC(=O)NC(CCCNC(=N)N)C(=O)O)CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)C,CCCCC(CC1C(CC2=C(C)C=CC=C2Cl)CCC(C)C1C(CO)CCC(C)CCOC(=O)NC(CCC(=O)O)C(=O)O)C(CO)CNCCC,4.620907759682302,4.475891099523571,4.4702865134485705,4.4480774030654535
