add_SMILES,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C:C-O-C,C,CCOCC,CCOCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCOC(C)COC(=O)NCC(=O)O,CCOCCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCOCCCOC(=O)NC(CCC(=O)O)C(=O)O,2.5200741903428567,2.366689448428333,2.685717632002857,2.4704715607866667
Cl-C:C-O,C,CC(O)CCl,CC(O)C(Cl)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(CCl)OCOC(=O)NCC(=O)O,CC(CCl)OCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(O)(CCl)COC(=O)NC(CCC(=O)O)C(=O)O,2.756986717186667,2.4519715607866663,2.511716666666667,2.5054077936916666
C-C-N-C-C,C,CCNC(C)C,CC(C)NCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCNC(C)CCOC(=O)NCC(=O)O,CCNC(C)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCNC(C)(C)COC(=O)NC(CCC(=O)O)C(=O)O,2.8792794368,2.9005200163583327,2.6179982776933337,2.8383559043318183
C(:C)(:N)(:N),C,CNC(C)N,CNC(C)NCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC(C)NCOC(=O)NCC(=O)O,CC(N)NCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(N)N(C)COC(=O)NC(CCC(=O)O)C(=O)O,2.2266298827199997,2.2692654204616667,2.514024946926667,2.2464459747200003
C(:C)(:N)(:N),C,CNC(C)N,CNC(C)NCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(N)N(C)COC(=O)NCC(=O)O,CNC(C)NCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(N)N(C)COC(=O)NC(CCC(=O)O)C(=O)O,2.2266298827199997,2.2946833333333334,3.2332232176766675,2.2464459747200003
C(:C)(:N)(:N),C,CNC(C)N,CC(N)N(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC(C)NCOC(=O)NCC(=O)O,CC(N)NCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(N)NCCOC(=O)NC(CCC(=O)O)C(=O)O,2.5824173322616666,2.2692654204616667,2.514024946926667,2.8800318649916665
C(:C)(:N)(:N),C,CNC(C)N,CNC(N)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC(C)(N)COC(=O)NCC(=O)O,CC(N)NCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CNC(C)NCOC(=O)NC(CCC(=O)O)C(=O)O,2.5264155133733337,2.8223033484166664,2.514024946926667,2.56914597472
C(:C)(:N)(:N),C,CNC(C)N,CNC(C)NCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC(C)NCOC(=O)NCC(=O)O,CC(N)NCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(N)N(C)COC(=O)NC(CCC(=O)O)C(=O)O,2.2266298827199997,2.2692654204616667,2.514024946926667,2.2464459747200003
C(:C)(:N)(:N),C,CNC(C)N,CNC(C)NCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(N)N(C)COC(=O)NCC(=O)O,CNC(C)NCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(N)N(C)COC(=O)NC(CCC(=O)O)C(=O)O,2.2266298827199997,2.2946833333333334,3.2332232176766675,2.2464459747200003
C(:C)(:N)(:N),C,CNC(C)N,CC(N)N(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC(C)NCOC(=O)NCC(=O)O,CC(N)NCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(N)NCCOC(=O)NC(CCC(=O)O)C(=O)O,2.5824173322616666,2.2692654204616667,2.514024946926667,2.8800318649916665
