add_SMILES,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C(H)(O)(O),C,[H]C(O)OC,[H]C(C)(Cl)C([H])(O)OC,[H]C(C)(Cl)C([H])(OC)OCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(Cl)(CCOC(=O)NCC(=O)O)C([H])(O)OC,[H]C(C)(Cl)C([H])(O)OCCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(C)(Cl)C([H])(OC)OCOC(=O)NC(CCC(=O)O)C(=O)O,2.903214730345,2.0922715607866667,2.8152464891250006,2.7036313970116668
C(H)(O)(O),C,[H]C(O)OC,[H]C(O)OCC=CCO,[H]C(OCC=CCO)OCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(O)OCC(=CCO)COC(=O)NCC(=O)O,[H]C(O)OCC=CCOCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(OCC=CCO)OCOC(=O)NC(CCC(=O)O)C(=O)O,2.94029561135,2.274121560786667,2.4351208698195235,2.607571560786667
N(H)(N),C,[H]NNC,[H]NNCC(=O)O,[H]NN(COC(=O)NC(C(=O)O)C1=CC=CC=C1)CC(=O)O,[H]N(COC(=O)NCC(=O)O)NCC(=O)O,[H]NNC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(=O)O,[H]NNCC(=O)OCOC(=O)NC(CCC(=O)O)C(=O)O,2.8223051397199996,2.40625,2.443491655266667,2.1120166666666664
N(H)(N),C,[H]NNC,[H]N(NC)OCCOC,[H]N(NC)OC(COC)COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]N(NC)OC(COC)COC(=O)NCC(=O)O,[H]N(NC)OCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)OC,[H]N(NCCOC(=O)NC(CCC(=O)O)C(=O)O)OCCOC,2.845116522842857,2.2345929147533337,3.383633770427857,2.8708666666666662
O=C-C-N-C,[H]NNC,[H]N(NC)C(=O)CNC,[H]CCN(C)CC(=O)N([H])NC,[H]CCN(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)CC(=O)N([H])NC,[H]CCN(C)CC(=O)N([H])NCCOC(=O)NCC(=O)O,[H]CC(COC(=O)NC(CCCNC(=N)N)C(=O)O)N(C)CC(=O)N([H])NC,[H]CCN(C)CC(=O)N([H])N(C)COC(=O)NC(CCC(=O)O)C(=O)O,3.134675324585,2.7308494489583333,2.5170068732833335,2.501281794235
O=C-C-N-C,[H]NNC,[H]N(NC)C(=O)CNC,[H]N(NC)C(=O)CNCC(O)CCC,[H]N(NC)C(=O)CNC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(O)CCC,[H]N(NC)C(=O)CNCC(CCC)OCOC(=O)NCC(=O)O,[H]N(NCCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(=O)CNCC(O)CCC,[H]N(NC)C(=O)CN(COC(=O)NC(CCC(=O)O)C(=O)O)CC(O)CCC,3.2966239163599993,3.7551611587351585,2.6011894047183337,2.3621824129249998
N-H,[H]NNC,[H]NN(C)N[H],[H]NN(CNCCN)N[H],[H]NN(CN(CCN)COC(=O)NC(C(=O)O)C1=CC=CC=C1)N[H],[H]NN(N[H])C(COC(=O)NCC(=O)O)NCCN,[H]NN(CNCCN)N([H])COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]NN(CNCC(N)COC(=O)NC(CCC(=O)O)C(=O)O)N[H],3.329908995336667,2.5606176299166665,2.2714176311350003,2.7273098362249995
N-H,[H]NNC,[H]NN(C)N[H],[H]NN(CC1=CC=CC1)N[H],[H]NN(CC1=CC=CC1)N([H])COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]NN(CC1=CC=CC1)N([H])COC(=O)NCC(=O)O,[H]NN(CC1=CC(COC(=O)NC(CCCNC(=N)N)C(=O)O)=CC1)N[H],[H]NN(CC1=CC=C(COC(=O)NC(CCC(=O)O)C(=O)O)C1)N[H],2.992491983592857,2.5826693018166664,3.104431092737857,2.0613
Oc1c(N)cccc1,[H]N(CNCC=O)NC,[H]N(CNCC=O)N(C)C1=CC=CC(N)=C1O,[H]N(CNCC=O)N(CC(C)CCl)C1=CC=CC(N)=C1O,[H]N(CNCC=O)N(CC(CCl)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C1=CC=CC(N)=C1O,[H]N(CNCC=O)N(CC(C)CCl)C1=CC=C(COC(=O)NCC(=O)O)C(N)=C1O,[H]N(CNCC=O)N(CC(C)CCl)C1=CC=CC(NCOC(=O)NC(CCCNC(=N)N)C(=O)O)=C1O,[H]N(CN(CC=O)COC(=O)NC(CCC(=O)O)C(=O)O)N(CC(C)CCl)C1=CC=CC(N)=C1O,2.98722415915606,2.8293219870933326,2.4844973144933333,2.5424402109433335
Oc1c(N)cccc1,[H]N(CNCC=O)NC,[H]N(CNCC=O)N(C)C1=CC=CC(N)=C1O,[H]N(CNC(C=O)C(N)N)N(C)C1=CC=CC(N)=C1O,[H]N(CNC(C=O)C(N)(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1)N(C)C1=CC=CC(N)=C1O,[H]N(CNC(C=O)C(N)N)N(C)C1=CC=CC(N)=C1OCOC(=O)NCC(=O)O,[H]N(CNC(C=O)C(N)N)N(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)C1=CC=CC(N)=C1O,[H]N(CNC(C=O)C(N)(N)COC(=O)NC(CCC(=O)O)C(=O)O)N(C)C1=CC=CC(N)=C1O,2.8124175186922225,3.449683038205714,2.6789629960166668,2.4984151721033334
