add_SMILES,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C(Cl)(:C),C,CC(C)Cl,CC(C)(Cl)OC1CCCCC1O,CC(C)(Cl)OC1C(O)CCCC1COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(Cl)(CCOC(=O)NCC(=O)O)OC1CCCCC1O,CC(C)(Cl)OC1CCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC1O,CC(C)(Cl)OC1(COC(=O)NC(CCC(=O)O)C(=O)O)CCCCC1O,3.4284875633249996,3.017114434855714,3.0680731029283335,2.7708897695949997
C(Cl)(:C),C,CC(C)Cl,CC(Cl)CN(C)CN,CN(CN)CC(Cl)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CN(CN)CC(C)(Cl)COC(=O)NCC(=O)O,CC(Cl)CN(C)C(N)COC(=O)NC(CCCNC(=N)N)C(=O)O,CN(CN)CC(C)(Cl)COC(=O)NC(CCC(=O)O)C(=O)O,2.94111318767,2.5239163462916663,3.218505197016667,2.5902839644068183
O=C-C-C-O,C,CC(=O)CCO,CC(=O)CC(O)C(C)C(C)(C)C,CC(=O)CC(O)(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)C(C)(C)C,CC(=O)CC(O)C(C)C(C)(C)CCOC(=O)NCC(=O)O,CC(=O)CC(O)C(C)(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)(C)C,CC(=O)CC(O)C(C)C(C)(C)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.176401770691071,2.6395883985766666,2.8667560037885713,2.628553658266667
O=C-C-C-O,C,CC(=O)CCO,CC(=O)CC(O)OC(C)C,CC(C)OC(O)CC(=O)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(=O)CC(O)OC(C)CCOC(=O)NCC(=O)O,CC(=O)CC(OCOC(=O)NC(CCCNC(=N)N)C(=O)O)OC(C)C,CC(=O)CC(O)OC(C)(C)COC(=O)NC(CCC(=O)O)C(=O)O,3.2451726938049994,2.6048033484166666,3.1085899373266668,2.970480103741666
C-C:C-O-C,CC(C)Cl,COCCCCC(C)Cl,COC(CCCC(C)Cl)OCCCl,COC(OCCCl)C(CCC(C)Cl)COC(=O)NC(C(=O)O)C1=CC=CC=C1,COC(CCCC(Cl)CCOC(=O)NCC(=O)O)OCCCl,COC(CCCC(C)(Cl)COC(=O)NC(CCCNC(=N)N)C(=O)O)OCCCl,COC(CCCC(Cl)CCOC(=O)NC(CCC(=O)O)C(=O)O)OCCCl,3.32604181370077,3.3703584625968253,3.282903902344816,3.1421016799283334
C-C:C-O-C,CC(C)Cl,COCCCCC(C)Cl,[H]C(O)(O)CCOCCCCC(C)Cl,[H]C(O)(O)CCOCCC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)CC(C)Cl,[H]C(O)(O)CCOCCCC(COC(=O)NCC(=O)O)C(C)Cl,[H]C(O)(CCOCCCCC(C)Cl)OCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(O)(O)C(COCCCCC(C)Cl)COC(=O)NC(CCC(=O)O)C(=O)O,3.81555980028,2.4266943647023806,3.085828946303333,2.9284209773833334
C:C-C=C-C,CC(C)Cl,CC=CCCCC(C)Cl,CC(=CCCCC(C)Cl)N=N,CC(=CCCCC(Cl)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)N=N,CC(=CCCCC(C)(Cl)COC(=O)NCC(=O)O)N=N,CC(=CCCCC(C)Cl)N=NCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(=CC(CCC(C)Cl)COC(=O)NC(CCC(=O)O)C(=O)O)N=N,2.8474098305,2.65584933075,2.9018553621,2.748275475183333
C:C-C=C-C,CC(C)Cl,CC=CCCCC(C)Cl,[H]CC(CC=CC)CC(C)Cl,[H]CC(CC=C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1)CC(C)Cl,[H]C(COC(=O)NCC(=O)O)C(CC=CC)CC(C)Cl,[H]CC(CC(C)Cl)C(C=CC)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]CC(CC(=CC)COC(=O)NC(CCC(=O)O)C(=O)O)CC(C)Cl,2.520643213286667,2.7380416303285715,3.432824570772381,2.674721451092222
N(C)(:C),COCCCCC(C)Cl,CNCCC(Cl)CCCCOC,COCCCCC(Cl)CCNCC1=CC=CC(C)=C1C,COCCCC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(Cl)CCNCC1=CC=CC(C)=C1C,COCCC(COC(=O)NCC(=O)O)CC(Cl)CCNCC1=CC=CC(C)=C1C,COCCCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(Cl)CCNCC1=CC=CC(C)=C1C,COC(CCCC(Cl)CCNCC1=CC=CC(C)=C1C)COC(=O)NC(CCC(=O)O)C(=O)O,4.093135891148571,4.281547834530028,3.8502977180127274,3.4896242611
N(C)(:C),COCCCCC(C)Cl,CNCCC(Cl)CCCCOC,COCCCCC(Cl)CCN(C)C(=O)NN,CN(CCC(Cl)CCCCOCCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(=O)NN,COCCCCC(Cl)CCN(C)C(=O)N(N)COC(=O)NCC(=O)O,COC(CCCC(Cl)CCN(C)C(=O)NN)COC(=O)NC(CCCNC(=N)N)C(=O)O,COC(CCCC(Cl)CCN(C)C(=O)NN)COC(=O)NC(CCC(=O)O)C(=O)O,3.5417486726250003,2.9076065974885714,3.122971541368333,3.145761685788333
