add_SMILES,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
N-C-C-C-C,C,CCCC(C)N,CCCC(N)CONO,CCC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(N)CONO,NC(CCCCOC(=O)NCC(=O)O)CONO,CCCC(N)CON(O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCCC(N)C(COC(=O)NC(CCC(=O)O)C(=O)O)ONO,3.1087565510099995,2.6662542849916666,2.367584297801667,2.050503215016667
N-C-C-C-C,C,CCCC(C)N,CCCC(N)CC(C=O)CCC=O,NC(CCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1)CC(C=O)CCC=O,CCC(COC(=O)NCC(=O)O)C(N)CC(C=O)CCC=O,CCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(N)CC(C=O)CCC=O,CCCC(N)CC(CCC=O)C(=O)COC(=O)NC(CCC(=O)O)C(=O)O,2.173958321933333,2.717230053843333,3.140835356353333,2.599423289093333
C:C-C-C:C,C,CCCC(C)C,CC=NN(C)C(C)(C)CCC,CC=NN(C)C(C)(CCC)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC=NN(C)C(C)(C)CCCCOC(=O)NCC(=O)O,CC=NN(C)C(C)(CCC)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC=NN(C)C(C)(C)CCCCOC(=O)NC(CCC(=O)O)C(=O)O,3.476531970470714,2.8155470068635715,3.2766905042040477,2.6987956248250002
C:C-C-C:C,C,CCCC(C)C,CC(C)CC(C)C(O)CO,CC(C)CC(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(O)CO,CC(C)C(COC(=O)NCC(=O)O)C(C)C(O)CO,CC(C)CC(C)C(O)C(O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(CCOC(=O)NC(CCC(=O)O)C(=O)O)CC(C)C(O)CO,2.962274640945,2.6010494795695243,2.606519992756818,2.530436117191667
C(C)(:N)(:N),CCCCCC,CCCCCCNC(C)N,CCC(CCCNC(C)N)C(CO)CCCN,CCC(CCCNC(C)(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CO)CCCN,CCC(CCC(COC(=O)NCC(=O)O)NC(C)N)C(CO)CCCN,CC(N)NCCCC(CCCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(CO)CCCN,CCC(CCCNC(C)N)C(CO)CCC(N)COC(=O)NC(CCC(=O)O)C(=O)O,3.392938342,2.2631024357790475,3.4576162586333323,3.150323799453333
C(C)(:N)(:N),CCCCCC,CCCCCCNC(C)N,CCC(CCCNC(C)N)C1CCCN1,CCC(CCCNC(N)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C1CCCN1,CCC(CCCNC(C)NCOC(=O)NCC(=O)O)C1CCCN1,CCC(C(CCNC(C)N)COC(=O)NC(CCCNC(=N)N)C(=O)O)C1CCCN1,CCC(CCCN(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)N)C1CCCN1,2.6966088145333336,2.7090541555440475,3.295163880213333,3.270480289678333
C(Cl)(:C),CCCCCC,CCCC(CC)C(C)Cl,CCCC(CCC(C)CN)C(C)Cl,CC(CN)CCC(CCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)Cl,CCCC(C(C)Cl)C(COC(=O)NCC(=O)O)CC(C)CN,CCCC(CCC(C)CN)(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)Cl,CCCC(C(C)Cl)C(COC(=O)NC(CCC(=O)O)C(=O)O)CC(C)CN,3.6552968200142857,4.10434742694738,3.137863212963333,3.12794131114
C(Cl)(:C),CCCCCC,CCCC(CC)C(C)Cl,CCC(CCCC(Cl)CCl)C(C)Cl,CCC(CC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)CC(Cl)CCl)C(C)Cl,CCC(CCCC(Cl)CCl)C(Cl)CCOC(=O)NCC(=O)O,CCC(CCCC(Cl)(CCl)COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)Cl,CCC(CC(COC(=O)NC(CCC(=O)O)C(=O)O)CC(Cl)CCl)C(C)Cl,3.9404548255418406,2.5866388610584123,2.7152913216633334,2.82006632513
O-H,CCCCC(C)CCCl,[H]OCC(CCCl)CCCC,[H]OCC(CCCC)C(CCl)C1=CCCC=C1,[H]OCC(CC(CC)COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CCl)C1=CCCC=C1,[H]OCC(CCCC)C(CCl)C1=CCC(COC(=O)NCC(=O)O)C=C1,[H]OCC(CCCC)C(CCl)C1=CCCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)=C1,[H]OCC(CCCC)C(CCl)C1=CCCC(COC(=O)NC(CCC(=O)O)C(=O)O)=C1,3.812057168571786,3.3072562079875327,3.065970433789047,3.189986809203333
O-H,CCCCC(C)CCCl,[H]OCC(CCCl)CCCC,[H]OCC(CCCC)CC(Cl)C1=CC(C)=CC=C1C,[H]OCC(CCCC)(COC(=O)NC(C(=O)O)C1=CC=CC=C1)CC(Cl)C1=CC(C)=CC=C1C,[H]OCC(CCCC)CC(Cl)C1=CC(CCOC(=O)NCC(=O)O)=CC=C1C,[H]OCC(CCCC)CC(Cl)C1=CC(C)=CC=C1CCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]OCC(CC(Cl)C1=CC(C)=CC=C1C)C(CCC)COC(=O)NC(CCC(=O)O)C(=O)O,3.865807043571787,3.0160767177057144,3.3435250535033325,3.016471039703333
