add_SMILES,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C(C)(C)(C)(O),C,COC(C)(C)C,COC(C)(C)CCCCCCCC=O,COC(C)(C)CC(CCCCCC=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C)(CCCCCCCC=O)OCCOC(=O)NCC(=O)O,COC(C)(C)CCCCCCC(C=O)COC(=O)NC(CCCNC(=N)N)C(=O)O,COC(C)(C)CCCC(CCCC=O)COC(=O)NC(CCC(=O)O)C(=O)O,3.7491619125650546,3.49279696512,3.4886269029307684,3.0513752665749996
C(C)(C)(C)(O),C,COC(C)(C)C,COC(C)(C)CN,COC(C)(CN)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,COC(C)(CN)CCOC(=O)NCC(=O)O,CC(C)(CN)OCCOC(=O)NC(CCCNC(=N)N)C(=O)O,COC(C)(C)C(N)COC(=O)NC(CCC(=O)O)C(=O)O,3.2364732176766666,2.7389908520999997,3.6429549064266666,3.01603177615
C-C:C-C-C,C,CCC(C)CC,CCC(C)C(C)C1=CNC=C1,CCC(C)C(C)C1=CNC=C1COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(COC(=O)NCC(=O)O)C(C)C(C)C1=CNC=C1,CCC(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)C1=CNC=C1,CCC(C)C(C)C1=CN(COC(=O)NC(CCC(=O)O)C(=O)O)C=C1,3.3208081145,2.835299651560714,3.647050515665714,2.4215472108222222
C-C:C-C-C,C,CCC(C)CC,CCC(C)C(C)CN(C)C,CCC(C)(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)CN(C)C,CCC(C)C(C)CN(C)CCOC(=O)NCC(=O)O,CC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)C(C)CN(C)C,CCC(C)C(C)(COC(=O)NC(CCC(=O)O)C(=O)O)CN(C)C,3.6653230879199996,3.136313721912381,3.2991016490329366,3.596217955558333
N=N,CCC(C)(C)O,CCC(C)(C)ON=N,CCC(CC=O)CC(C)(CC)ON=N,CCC(CC=O)CC(C)(CCCOC(=O)NC(C(=O)O)C1=CC=CC=C1)ON=N,CCC(C)(CC(CC=O)C(C)COC(=O)NCC(=O)O)ON=N,CCC(CC=O)CC(C)(CCCOC(=O)NC(CCCNC(=N)N)C(=O)O)ON=N,CCC(CC=O)CC(C)(CC)ON=NCOC(=O)NC(CCC(=O)O)C(=O)O,3.363155777751666,2.771673317147857,3.3622410386916664,3.445108185884999
N=N,CCC(C)(C)O,CCC(C)(C)ON=N,[H]C(Cl)CC(C)(CC)ON=N,[H]C(Cl)CC(CC)(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)ON=N,[H]C(Cl)CC(C)(CCCOC(=O)NCC(=O)O)ON=N,[H]C(Cl)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)(CC)ON=N,[H]C(Cl)CC(C)(ON=N)C(C)COC(=O)NC(CCC(=O)O)C(=O)O,3.13068629003,2.555734824825,3.1808710487683327,2.9499244603583334
O-C-C:C-O,CCC(C)(C)O,CC(C)(O)CCC(CO)CO,CNC(CO)CC(C)(O)CCC(CO)CO,CNC(CO)C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)(O)CCC(CO)CO,CNC(CO)CC(O)(CCOC(=O)NCC(=O)O)CCC(CO)CO,CNC(CC(C)(O)CCC(CO)CO)C(O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CNC(CO)CC(C)(O)CC(COC(=O)NC(CCC(=O)O)C(=O)O)C(CO)CO,3.11552912836,2.57076878138619,3.0878846423399997,3.14386581646
O-C-C:C-O,CCC(C)(C)O,CC(C)(O)CCC(CO)CO,CCOCC(C)(O)CCC(CO)CO,CCOCC(C)(O)CCC(CO)(CO)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCOCC(C)(O)CCC(CO)C(O)COC(=O)NCC(=O)O,CCOCC(C)(CCC(CO)CO)OCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCOCC(C)(O)CC(COC(=O)NC(CCC(=O)O)C(=O)O)C(CO)CO,2.810738728725,2.6554494795695236,3.3322889924049997,3.0826448765116665
C(-O)(=O),CCC(C)(C)ON=N,CCC(C)(C)ON=NOC=O,CCC(C)(C)ON=NOC(=O)CC1=CC=C(N)C=C1,CCC(C)(C)ON=NOC(=O)CC1=CC=C(N)C=C1COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(COC(=O)NCC(=O)O)C(C)(C)ON=NOC(=O)CC1=CC=C(N)C=C1,CCC(C)(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)ON=NOC(=O)CC1=CC=C(N)C=C1,CCC(C)(C)ON=NOC(=O)CC1=CC=C(NCOC(=O)NC(CCC(=O)O)C(=O)O)C=C1,4.041011868693939,3.0601958645750003,2.768391861833333,3.018536904013333
C(-O)(=O),CCC(C)(C)ON=N,CCC(C)(C)ON=NOC=O,CC(C1=CC=NC=C1)C(C)(C)ON=NOC=O,CC(C1=CC=NC=C1)C(C)(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)ON=NOC=O,CC(C)(ON=NOC=O)C(CCOC(=O)NCC(=O)O)C1=CC=NC=C1,CC(C1=CC=NC=C1)C(C)(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)ON=NOC=O,CC(C1=CC=NC(COC(=O)NC(CCC(=O)O)C(=O)O)=C1)C(C)(C)ON=NOC=O,3.6702852616599997,3.1116186351345236,3.030288990543333,2.830035010050152
N(C)(H)(N),CCC(C)(C)ON=N,[H]N(C)NN=NOC(C)(C)CC,[H]N(C)NN=NOC(C)(CC)CC(=C)C=C,[H]N(C)N(COC(=O)NC(C(=O)O)C1=CC=CC=C1)N=NOC(C)(CC)CC(=C)C=C,[H]N(C)NN=NOC(C)(CC)CC(=C)C(=C)COC(=O)NCC(=O)O,[H]N(C)NN=NOC(C)(CC(=C)C=C)C(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]N(C)NN=NOC(C)(CC)CC(C=C)=CCOC(=O)NC(CCC(=O)O)C(=O)O,3.5829017561199996,3.163608972767857,3.8344617619800005,2.93129246412
N(C)(H)(N),CCC(C)(C)ON=N,[H]N(C)NN=NOC(C)(C)CC,[H]N(CNC=O)NN=NOC(C)(C)CC,[H]N(CNC=O)NN=NOC(C)(CC)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]N(CNC=O)NN=NOC(C)(C)C(C)COC(=O)NCC(=O)O,[H]N(CNC=O)NN=NOC(C)(CC)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]N(CNC(=O)COC(=O)NC(CCC(=O)O)C(=O)O)NN=NOC(C)(C)CC,3.2672702578433337,2.5494690518333334,2.6951097888266666,2.1540360201083333
N(-C)(=O),CCC(C)(CC(=O)O)ON=N,CCC(CC(=O)O)(CN(C)=O)ON=N,CCC(CC(=O)O)(ON=N)C(C1=C(Cl)C=C(C)C=C1)N(C)=O,CCC(CC(=O)OCOC(=O)NC(C(=O)O)C1=CC=CC=C1)(ON=N)C(C1=C(Cl)C=C(C)C=C1)N(C)=O,CCC(CC(=O)O)(ON=N)C(C1=C(Cl)C=C(C)C=C1COC(=O)NCC(=O)O)N(C)=O,CCC(CC(=O)O)(ON=N)C(C1=C(Cl)C=C(C)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)=C1)N(C)=O,CC1=CC(Cl)=C(C(N(C)=O)C(CCCOC(=O)NC(CCC(=O)O)C(=O)O)(CC(=O)O)ON=N)C=C1,3.42898600468856,3.521273243315833,3.1250613934891662,3.2141713579874995
N(-C)(=O),CCC(C)(CC(=O)O)ON=N,CCC(CC(=O)O)(CN(C)=O)ON=N,CCC(CN(C)=O)(ON=N)C(ONO)C(=O)O,CCC(CN(C)=O)(ON=N)C(ONOCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(=O)O,CCC(CN(C)=O)(ON=N)C(ONOCOC(=O)NCC(=O)O)C(=O)O,CCC(CN(C)=O)(ON=NCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(ONO)C(=O)O,CCC(CN(C)=O)(ON=N)C(COC(=O)NC(CCC(=O)O)C(=O)O)(ONO)C(=O)O,2.99370032592,2.939019301816667,2.5063240254,1.9550615597499998
O-C-C-N-C,CCC(C)(CC(=O)O)ON=N,CCC(C)(CC(=O)OC(CO)NC)ON=N,CCC(C)(CC(=O)OC(COC1CCC(N)CC1Cl)NC)ON=N,CCC(C)(CC(=O)OC(COC1CCC(N)CC1Cl)N(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1)ON=N,CNC(COC1CCC(N)CC1Cl)OC(=O)CC(C)(ON=N)C(C)COC(=O)NCC(=O)O,CCC(C)(CC(=O)OC(COC1CCC(N)CC1Cl)NCCOC(=O)NC(CCCNC(=N)N)C(=O)O)ON=N,CCC(C)(CC(=O)OC(COC1CCC(N)(COC(=O)NC(CCC(=O)O)C(=O)O)CC1Cl)NC)ON=N,3.419606915312727,2.764192296408333,2.9711947865433332,2.937578207983333
O-C-C-N-C,CCC(C)(CC(=O)O)ON=N,CCC(C)(CC(=O)OC(CO)NC)ON=N,CCC(C)(CC(=O)OC(COCC1=CC=C(N)C=C1)NC)ON=N,CNC(COCC1=CC=C(N)C=C1)OC(=O)CC(C)(ON=N)C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCC(C)(CC(=O)OC(COCC1=CC(COC(=O)NCC(=O)O)=C(N)C=C1)NC)ON=N,CCC(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)(CC(=O)OC(COCC1=CC=C(N)C=C1)NC)ON=N,CCC(C)(CC(=O)OC(COCC1=CC=C(N)C=C1)(COC(=O)NC(CCC(=O)O)C(=O)O)NC)ON=N,3.829055828787272,3.3425808792683327,3.3453628913727265,3.2404735771299995
Nc1c(Cl)cccc1,CCC(C)(ON=N)C(C(=O)O)N(C)CCO,CCC(C)(ON=NC1=CC=CC(Cl)=C1N)C(C(=O)O)N(C)CCO,CCN(C=O)C1=CC(Cl)=C(N)C(N=NOC(C)(CC)C(C(=O)O)N(C)CCO)=C1,CCN(C=O)C1=CC(Cl)=C(NCOC(=O)NC(C(=O)O)C2=CC=CC=C2)C(N=NOC(C)(CC)C(C(=O)O)N(C)CCO)=C1,CCN(C=O)C1=CC(Cl)=C(NCOC(=O)NCC(=O)O)C(N=NOC(C)(CC)C(C(=O)O)N(C)CCO)=C1,CCC(C)(ON=NC1=CC(N(C=O)C(C)COC(=O)NC(CCCNC(=N)N)C(=O)O)=CC(Cl)=C1N)C(C(=O)O)N(C)CCO,CCN(C=O)C1=CC(Cl)=C(N)C(N=NOC(C)(CC)C(C(=O)O)N(C)CC(O)COC(=O)NC(CCC(=O)O)C(=O)O)=C1,3.4212914393606058,3.6965012012916665,2.6091512736093936,2.4429219771922215
Nc1c(Cl)cccc1,CCC(C)(ON=N)C(C(=O)O)N(C)CCO,CCC(C)(ON=NC1=CC=CC(Cl)=C1N)C(C(=O)O)N(C)CCO,CCC=C(C)CN(CCO)C(C(=O)O)C(C)(CC)ON=NC1=CC=CC(Cl)=C1N,CCC=C(C)CN(CCO)C(C(=O)OCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)(CC)ON=NC1=CC=CC(Cl)=C1N,CCC=C(C)CN(CCO)C(C(=O)O)C(C)(CC)ON=NC1=CC=CC(Cl)=C1NCOC(=O)NCC(=O)O,CCC=C(C)CN(CCO)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)(C(=O)O)C(C)(CC)ON=NC1=CC=CC(Cl)=C1N,CCC(C)(ON=NC1=CC=CC(Cl)=C1N)C(C(=O)O)N(CCO)CC(C)=CCCCOC(=O)NC(CCC(=O)O)C(=O)O,3.7587538139038386,3.526942420347777,2.882094949109394,2.932167142756667
C(C)(:C)(:N),CCC(C)(ON=N)C(C(=O)O)N(C)CCO,CC(N)CC(C)C(C)(ON=N)C(C(=O)O)N(C)CCO,CC(N)CC(C)C(C)(ON=N)C(C(=O)O)N(C)C(CO)CC(C)O,CC(N)CC(C)C(C)(ON=N)C(C(=O)O)N(C)C(CC(C)O)C(O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(N)CC(C)C(C)(ON=N)C(COC(=O)NCC(=O)O)(C(=O)O)N(C)C(CO)CC(C)O,CC(N)CC(C)C(C)(ON=N)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)(C(=O)O)N(C)C(CO)CC(C)O,CC(O)CC(CO)N(C)C(C(=O)O)C(C)(ON=N)C(C)C(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)N,3.3210479152660604,3.4371639473599997,3.33701431496,3.18265257568
C(C)(:C)(:N),CCC(C)(ON=N)C(C(=O)O)N(C)CCO,CC(N)CC(C)C(C)(ON=N)C(C(=O)O)N(C)CCO,CC(N)CC(C)C(C)(ON=N)C(C(=O)O)N(C)C(CO)C1CC(N)CCC1N,CC(N)CC(C)C(C)(ON=N)C(C(=O)O)N(C)C(CO)C1CC(NCOC(=O)NC(C(=O)O)C2=CC=CC=C2)CCC1N,CC(N)CC(C)C(C)(ON=N)C(C(=O)O)N(C)C(CO)C1CC(N)CCC1(N)COC(=O)NCC(=O)O,CC(CC(C)C(C)(ON=N)C(C(=O)O)N(C)C(CO)C1CC(N)CCC1N)NCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(N)CC(C)C(C)(ON=N)C(C(=O)O)N(C)C(CO)C1CC(NCOC(=O)NC(CCC(=O)O)C(=O)O)CCC1N,3.412135050207727,3.0875544567933337,3.326015816459999,3.2097856309133332
C(C)(H)(O)(O),CCC(C)(ON=N)C(C(=O)O)N(CCO)CNC1=C(Cl)C=CC=C1,[H]C(C)(O)OOCCN(CNC1=C(Cl)C=CC=C1)C(C(=O)O)C(C)(CC)ON=N,[H]C(C)(O)OOCCN(CNC1=C(Cl)C=CC=C1)C(C(=O)O)C(C)(CCCCC(C)(C)C)ON=N,[H]C(C)(O)OOCCN(CNC1=C(Cl)C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)=CC=C1)C(C(=O)O)C(C)(CCCCC(C)(C)C)ON=N,[H]C(O)(CCOC(=O)NCC(=O)O)OOCCN(CNC1=C(Cl)C=CC=C1)C(C(=O)O)C(C)(CCCCC(C)(C)C)ON=N,[H]C(O)(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)OOCCN(CNC1=C(Cl)C=CC=C1)C(C(=O)O)C(C)(CCCCC(C)(C)C)ON=N,[H]C(O)(CCOC(=O)NC(CCC(=O)O)C(=O)O)OOCCN(CNC1=C(Cl)C=CC=C1)C(C(=O)O)C(C)(CCCCC(C)(C)C)ON=N,3.216773052082727,3.211822878945,3.141268940976667,3.1180193610338893
C(C)(H)(O)(O),CCC(C)(ON=N)C(C(=O)O)N(CCO)CNC1=C(Cl)C=CC=C1,[H]C(C)(O)OOCCN(CNC1=C(Cl)C=CC=C1)C(C(=O)O)C(C)(CC)ON=N,[H]C(C)(O)OOCCN(CNC1=C(Cl)C=CC=C1)C(C(=O)O)C(C)(ON=N)C(C)CNCCCl,[H]C(C)(O)OOCCN(C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)NC1=C(Cl)C=CC=C1)C(C(=O)O)C(C)(ON=N)C(C)CNCCCl,[H]C(C)(O)OOCCN(CNC1=C(Cl)C=CC=C1)C(C(=O)O)C(CCOC(=O)NCC(=O)O)(ON=N)C(C)CNCCCl,[H]C(C)(O)OOCCN(CNC1=C(Cl)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)=CC=C1)C(C(=O)O)C(C)(ON=N)C(C)CNCCCl,[H]C(C)(OCOC(=O)NC(CCC(=O)O)C(=O)O)OOCCN(CNC1=C(Cl)C=CC=C1)C(C(=O)O)C(C)(ON=N)C(C)CNCCCl,3.681637967367171,3.33340175612,3.442018139497878,3.5607026046600003
C(-H)(=C),CCC(C)(ON=N)C(C(=O)O)N(CCO)CNC1=C(Cl)C=CC=C1,[H]C=CC1=CC(NCN(CCO)C(C(=O)O)C(C)(CC)ON=N)=C(Cl)C=C1,[H]C=CC1=CC(NCN(CCO)C(CC2=C(C)C=CC=C2)(C(=O)O)C(C)(CC)ON=N)=C(Cl)C=C1,[H]C=CC1=CC(NCN(CCO)C(CC2=C(C)C=CC=C2)(C(=O)O)C(C)(CC)ON=NCOC(=O)NC(C(=O)O)C2=CC=CC=C2)=C(Cl)C=C1,[H]C=CC1=CC(NCN(CCO)C(CC2=C(C)C=CC=C2)(C(=O)O)C(C)(CC)ON=N)=C(Cl)C=C1COC(=O)NCC(=O)O,[H]C=CC1=CC(N(COC(=O)NC(CCCNC(=N)N)C(=O)O)CN(CCO)C(CC2=C(C)C=CC=C2)(C(=O)O)C(C)(CC)ON=N)=C(Cl)C=C1,[H]C=CC1=CC(NCN(CCO)C(CC2=C(C)C=C(COC(=O)NC(CCC(=O)O)C(=O)O)C=C2)(C(=O)O)C(C)(CC)ON=N)=C(Cl)C=C1,3.8338568379927267,4.0316448469927275,3.35585024857606,3.092028679896061
C(-H)(=C),CCC(C)(ON=N)C(C(=O)O)N(CCO)CNC1=C(Cl)C=CC=C1,[H]C=CC1=CC(NCN(CCO)C(C(=O)O)C(C)(CC)ON=N)=C(Cl)C=C1,[H]C=C(C1=CC=CC=C1)C1=CC(NCN(CCO)C(C(=O)O)C(C)(CC)ON=N)=C(Cl)C=C1,[H]C=C(C1=CC=CC=C1)C1=CC(NC(COC(=O)NC(C(=O)O)C2=CC=CC=C2)N(CCO)C(C(=O)O)C(C)(CC)ON=N)=C(Cl)C=C1,[H]C=C(C1=CC=CC=C1)C1=CC(NCN(CCOCOC(=O)NCC(=O)O)C(C(=O)O)C(C)(CC)ON=N)=C(Cl)C=C1,[H]C=C(C1=CC=CC=C1)C1=CC(NCN(CCO)C(C(=O)O)C(C)(CC)ON=N)=C(Cl)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)=C1,[H]C=C(C1=CC=CC=C1)C1=CC(NCN(CCO)C(C(=O)O)C(C)(CCCOC(=O)NC(CCC(=O)O)C(=O)O)ON=N)=C(Cl)C=C1,4.007023427192728,3.7649688456472723,3.2244814347093937,3.32662816027606
O-C-C=N,[H]C(=C)C(NC1=C(Cl)C=CC=C1)N(CCO)C(C(=O)O)C(C)(CC)ON=N,[H]C(=C)C(NC1=C(Cl)C=CC=C1C(O)C=N)N(CCO)C(C(=O)O)C(C)(CC)ON=N,[H]C(=C)C(NC1=C(Cl)C=C(C2=CC(N)=CC(Cl)=C2)C=C1C(O)C=N)N(CCO)C(C(=O)O)C(C)(CC)ON=N,[H]C(=C)C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)(NC1=C(Cl)C=C(C2=CC(N)=CC(Cl)=C2)C=C1C(O)C=N)N(CCO)C(C(=O)O)C(C)(CC)ON=N,[H]C(=C)C(NC1=C(Cl)C=C(C2=CC(N)=CC(Cl)=C2)C(COC(=O)NCC(=O)O)=C1C(O)C=N)N(CCO)C(C(=O)O)C(C)(CC)ON=N,[H]C(=C)C(NC1=C(Cl)C=C(C2=C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(N)=CC(Cl)=C2)C=C1C(O)C=N)N(CCO)C(C(=O)O)C(C)(CC)ON=N,[H]C(=C)C(NC1=C(Cl)C=C(C2=CC(N)=CC(Cl)=C2)C=C1C(O)(C=N)COC(=O)NC(CCC(=O)O)C(=O)O)N(CCO)C(C(=O)O)C(C)(CC)ON=N,3.130400026029394,2.5068185811033334,3.0720000260293943,3.0147569351566665
O-C-C=N,[H]C(=C)C(NC1=C(Cl)C=CC=C1)N(CCO)C(C(=O)O)C(C)(CC)ON=N,[H]C(=C)C(NC1=C(Cl)C=CC=C1C(O)C=N)N(CCO)C(C(=O)O)C(C)(CC)ON=N,[H]C(=C)C(NC1=C(Cl)C=CC=C1C(O)C=N)N(CCO)C(C(=O)O)C(C)(CC)ON=NC1=C(Cl)C=C(C)C=C1,[H]C(=C)C(NC1=C(Cl)C=CC=C1C(O)C=N)N(CCO)C(C(=O)O)C(C)(CC)ON=NC1=C(Cl)C=C(C)C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)=C1,[H]C(=C)C(NC1=C(Cl)C=CC=C1C(C=N)OCOC(=O)NCC(=O)O)N(CCO)C(C(=O)O)C(C)(CC)ON=NC1=C(Cl)C=C(C)C=C1,[H]C(=C)C(NC1=C(Cl)C=CC=C1C(O)C=N)N(CCO)C(C(=O)OCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)(CC)ON=NC1=C(Cl)C=C(C)C=C1,[H]C(=CCOC(=O)NC(CCC(=O)O)C(=O)O)C(NC1=C(Cl)C=CC=C1C(O)C=N)N(CCO)C(C(=O)O)C(C)(CC)ON=NC1=C(Cl)C=C(C)C=C1,3.7576814347093936,3.851276033126061,3.097848119809394,3.029326551129394
CC1CC(C)CCC1,[H]C(=C)C(NC1=C(Cl)C=CC=C1)N(CCO)C(C(=O)O)C(C)(CC)ON=N,[H]C(=C)C(NC1=C(Cl)C=C(C2CCC(C)CC2C)C=C1)N(CCO)C(C(=O)O)C(C)(CC)ON=N,[H]C(=C)C(NC1=C(Cl)C=C(C2CCC(C)CC2C)C=C1)N(CCO)C(C(=O)O)C(CC)(CCN([H])C)ON=N,[H]C(=C)C(NC1=C(Cl)C=C(C2CCC(C)CC2C)C=C1)N(CCO)C(C(=O)O)C(CC)(ON=N)C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)CN([H])C,[H]C(=C)C(NC1=C(Cl)C=C(C2CCC(C)CC2C)C=C1)N(CCO)C(C(=O)O)C(CC)(CCN([H])C)ON=NCOC(=O)NCC(=O)O,[H]C(=C)C(NC1=C(Cl)C=C(C2CCC(C)CC2C)C=C1)N(CCO)C(C(=O)O)C(CC)(CCN([H])C)ON=NCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(=C)C(NC1=C(Cl)C=C(C2CC(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)CC2C)C=C1)N(CCO)C(C(=O)O)C(CC)(CCN([H])C)ON=N,3.50722990007606,3.5019209262093938,3.5019209262093938,3.476320926209394
CC1CC(C)CCC1,[H]C(=C)C(NC1=C(Cl)C=CC=C1)N(CCO)C(C(=O)O)C(C)(CC)ON=N,[H]C(=C)C(NC1=C(Cl)C=C(C2CCC(C)CC2C)C=C1)N(CCO)C(C(=O)O)C(C)(CC)ON=N,[H]C(=C)C(N(CCO)C(C(=O)O)C(C)(CC)ON=N)N(C1=C(Cl)C=C(C2CCC(C)CC2C)C=C1)C(N)CN,[H]C(=C)C(N(CCO)C(C(=O)O)C(CC)(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)ON=N)N(C1=C(Cl)C=C(C2CCC(C)CC2C)C=C1)C(N)CN,[H]C(=C)C(N(CCO)C(C(=O)O)C(C)(CC)ON=N)N(C1=C(Cl)C=C(C2CC(COC(=O)NCC(=O)O)C(C)CC2C)C=C1)C(N)CN,[H]C(=C)C(N(CCO)C(C(=O)O)C(C)(ON=N)C(C)COC(=O)NC(CCCNC(=N)N)C(=O)O)N(C1=C(Cl)C=C(C2CCC(C)CC2C)C=C1)C(N)CN,[H]C(=C)C(N(CCOCOC(=O)NC(CCC(=O)O)C(=O)O)C(C(=O)O)C(C)(CC)ON=N)N(C1=C(Cl)C=C(C2CCC(C)CC2C)C=C1)C(N)CN,3.147661086209394,3.1190351091093937,3.196694949109394,3.1892949491093945
