add_SMILES,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
N=C-N-C-C,C,CCNC(C)=N,CC(=N)NC(C)N=N,CC(=N)NC(C)N=NCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(=NCOC(=O)NCC(=O)O)NC(C)N=N,CC(=NCOC(=O)NC(CCCNC(=N)N)C(=O)O)NC(C)N=N,CC(N=N)NC(=N)CCOC(=O)NC(CCC(=O)O)C(=O)O,2.8721458047083326,2.5054048941200002,2.4209500414433336,2.539996549386667
N=C-N-C-C,C,CCNC(C)=N,CCNC(N)N(CC)C(C)=N,CCNC(N)N(CCCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)=N,CCNC(N)N(CCCOC(=O)NCC(=O)O)C(C)=N,CCNC(N)N(CCCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)=N,CCNC(N)N(CCCOC(=O)NC(CCC(=O)O)C(=O)O)C(C)=N,2.6512774100100005,3.206011297053572,2.5433726921107143,2.4525311646818184
CC1CCC(C)CC1,C,CC1CCC(C)C(C)C1,CC1CCC(CC2(O)CCCCC2N)CC1C,CC1CCC(CC2(O)C(N)CCCC2COC(=O)NC(C(=O)O)C2=CC=CC=C2)CC1C,CC1CCC(CC2(O)CCCC(COC(=O)NCC(=O)O)C2N)CC1C,CC1CCC(CC2(O)CCCCC2NCOC(=O)NC(CCCNC(=N)N)C(=O)O)CC1C,CC1CCC(CC2(O)CCCC(COC(=O)NC(CCC(=O)O)C(=O)O)C2N)CC1C,3.5429089725155842,3.4356337675426465,3.970816700648571,3.12734372816
CC1CCC(C)CC1,C,CC1CCC(C)C(C)C1,[H]C(C)(O)CCC1CCC(C)C(C)C1,[H]C(C)(O)CCC1CC(C)C(C)CC1COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(C)(O)CCC1(COC(=O)NCC(=O)O)CCC(C)C(C)C1,[H]C(C)(O)CCC1CC(C)C(C)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C1,[H]C(C)(O)CCC1CCC(C)C(CCOC(=O)NC(CCC(=O)O)C(=O)O)C1,3.4399535432226194,3.3720332782700275,3.3141368396476465,3.207807914143333
C:C-C=C,CCC1CCC(C)CC1,CCC=CCCC1CCC(C)CC1,CC=CCC1CC(CCC=CCC)CCC1C,CC=CCC1CC(CCC=CCC)C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)CC1C,CC=CCC1CC(CCC(=CCC)COC(=O)NCC(=O)O)CCC1C,CC=CCC1CC(CCC=CCC)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC1C,CC=CCC1CC(CCC=CCC)CC(COC(=O)NC(CCC(=O)O)C(=O)O)C1C,4.133284035014286,2.6892244763583326,4.442153795584286,3.0887898426142857
C:C-C=C,CCC1CCC(C)CC1,CCC=CCCC1CCC(C)CC1,CCC=CCC(NC(C)N)C1CCC(C)CC1,CCC=CCC(NC(C)N)C1CCC(C)C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C1,CCC=CCC(NC(C)N)C1CCC(C)(COC(=O)NCC(=O)O)CC1,CCC=CCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)(NC(C)N)C1CCC(C)CC1,CCC=CCC(COC(=O)NC(CCC(=O)O)C(=O)O)(NC(C)N)C1CCC(C)CC1,3.6937869895142854,4.026720467086667,3.6391621387707693,3.2815044630666668
C(C)(:C)(:C),CCC1CCC(C)CC1,CCC1CCC(C)C(CC(C)C)C1,CCOC(C)CCC1CCC(C)C(CC(C)C)C1,CCOC(C)(CCC1CCC(C)C(CC(C)C)C1)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCOC(C)CC(COC(=O)NCC(=O)O)C1CCC(C)C(CC(C)C)C1,CCOC(C)(CCC1CCC(C)C(CC(C)C)C1)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCOC(C)CCC1CCC(C)C(CC(C)CCOC(=O)NC(CCC(=O)O)C(=O)O)C1,4.311998508867857,4.075975138915119,4.201148805197024,4.126367472626904
C(C)(:C)(:C),CCC1CCC(C)CC1,CCC1CCC(C)C(CC(C)C)C1,CCC1(F)CCC(C)C(CC(C)C)C1,CCC1(F)CCC(CCOC(=O)NC(C(=O)O)C2=CC=CC=C2)C(CC(C)C)C1,CCC1(F)CCC(C)C(COC(=O)NCC(=O)O)(CC(C)C)C1,CC(C)CC1CC(F)(CCCOC(=O)NC(CCCNC(=N)N)C(=O)O)CCC1C,CCC1(F)CCC(CCOC(=O)NC(CCC(=O)O)C(=O)O)C(CC(C)C)C1,3.341621242639286,3.4947917244409523,3.2743818960599995,3.2935463725599994
C(:C)(:N)(:N),CCC1CCC(CCC(C)C)CC1,CCC1CCC(CCC(C)CNC(C)N)CC1,CCC1(C=COC)CCC(CCC(C)CNC(C)N)CC1,CCC1(C=COC)CCC(CCC(C)CNC(C)NCOC(=O)NC(C(=O)O)C2=CC=CC=C2)CC1,CCC1(C=COC)CCC(CCC(C)CNC(N)CCOC(=O)NCC(=O)O)CC1,CCC1(C=C(COC(=O)NC(CCCNC(=N)N)C(=O)O)OC)CCC(CCC(C)CNC(C)N)CC1,CCC1(C=COC)CCC(CC(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)CNC(C)N)CC1,2.727969134092857,2.7416590857642853,4.678295263998572,4.5047893765866664
C(:C)(:N)(:N),CCC1CCC(CCC(C)C)CC1,CCC1CCC(CCC(C)CNC(C)N)CC1,[H]C(C)(C)NCC(CCC1CCC(CC)CC1)CNC(C)N,[H]C(C)(C)NCC(CCC1CCC(CC)CC1COC(=O)NC(C(=O)O)C1=CC=CC=C1)CNC(C)N,[H]C(C)(C)NCC(CCC1(COC(=O)NCC(=O)O)CCC(CC)CC1)CNC(C)N,[H]C(C)(C)NCC(CNC(C)N)CC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C1CCC(CC)CC1,[H]C(C)(C)NC(COC(=O)NC(CCC(=O)O)C(=O)O)C(CCC1CCC(CC)CC1)CNC(C)N,4.598410477912857,4.155296432376191,4.012933012262673,3.944472296695237
