add_SMILES,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
Cc1cc(C)ccc1,C,CC1=CC=C(C)C(C)=C1,CC1=CC=C(C)C(NC(C)N)=C1C,CC1=CC=C(C)C(NC(N)CCOC(=O)NC(C(=O)O)C2=CC=CC=C2)=C1C,CC1=CC=C(CCOC(=O)NCC(=O)O)C(C)=C1NC(C)N,CC1=CC=C(C)C(NC(C)NCOC(=O)NC(CCCNC(=N)N)C(=O)O)=C1C,CC1=CC=C(C)C(NC(C)NCOC(=O)NC(CCC(=O)O)C(=O)O)=C1C,2.981670975166667,2.675625252990238,3.045106658080714,2.7154328734949997
Cc1cc(C)ccc1,C,CC1=CC=C(C)C(C)=C1,CC1=CC=C(C)C(C(C)CCO)=C1C,CC1=CC=C(CCOC(=O)NC(C(=O)O)C2=CC=CC=C2)C(C)=C1C(C)CCO,CC1=CC=C(C)C(C(C)(CCO)COC(=O)NCC(=O)O)=C1C,CC1=CC=C(C)C(C(C)C(CO)COC(=O)NC(CCCNC(=N)N)C(=O)O)=C1C,CC1=CC=C(C)C(C(C)(CCO)COC(=O)NC(CCC(=O)O)C(=O)O)=C1C,3.681678764271786,3.375208383295,2.8754811574950003,2.990532605686666
N-N-C-N,C,CN(N)CN,CCCC(C)CN(N)CN,CCCC(C)(COC(=O)NC(C(=O)O)C1=CC=CC=C1)CN(N)CN,CCC(COC(=O)NCC(=O)O)C(C)CN(N)CN,CCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)CN(N)CN,CC(COC(=O)NC(CCC(=O)O)C(=O)O)CC(C)CN(N)CN,3.8110871185066664,3.1716829707457146,3.251950003225,2.9553882690083335
N-N-C-N,C,CN(N)CN,CCNC(C)C(N)N(C)N,CCNC(C)C(NCOC(=O)NC(C(=O)O)C1=CC=CC=C1)N(C)N,CCN(COC(=O)NCC(=O)O)C(C)C(N)N(C)N,CCNC(C)(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(N)N(C)N,CCNC(C)C(N)N(N)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.226583719912381,3.358771676360715,3.5496563277005557,3.1029875198416668
O-C-C-C-N,CC(N)NN,CC(NN)NNCCCO,CC(NN)NNC(CCO)C(C)NCN,CC(NCN)C(CCO)NNC(C)N(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(NN)NNC(CCO)(COC(=O)NCC(=O)O)C(C)NCN,CC(NN)NNC(CCOCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)NCN,CC(NN)NNC(CCOCOC(=O)NC(CCC(=O)O)C(=O)O)C(C)NCN,3.15018156241,2.8180524491366663,3.0906713107240473,2.335765746258333
O-C-C-C-N,CC(N)NN,CC(NN)NNCCCO,CC(NN)NNCCCOC(CN)CC=O,CC(NN)NNCC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)COC(CN)CC=O,CC(COC(=O)NCC(=O)O)(NN)NNCCCOC(CN)CC=O,CC(NNCCCOC(CN)CC=O)N(N)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(NN)NNCCCOC(CC=O)CNCOC(=O)NC(CCC(=O)O)C(=O)O,3.69625907826,3.194531688718333,3.189263387613333,3.051489916463333
C(Cl)(:C),CC(N)NN,CC(Cl)NC(C)NN,CC(Cl)NC(C)NNCC(C)(C)N,CC(NNCC(C)(C)N)NC(Cl)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(Cl)NC(C)NNCC(C)(N)CCOC(=O)NCC(=O)O,CC(Cl)NC(C)NN(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC(C)(C)N,CC(Cl)NC(C)NNCC(C)(N)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.1242366488299997,3.148035440102381,3.196174233516667,3.1975321607516665
C(Cl)(:C),CC(N)NN,CC(Cl)NC(C)NN,CC(Cl)NC(C)NNN(C)C=N,CC(Cl)NC(C)NNN(C)C(=N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(NNN(C)C=N)NC(Cl)CCOC(=O)NCC(=O)O,CC(Cl)NC(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)NNN(C)C=N,CC(NNN(C)C=N)NC(Cl)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.1879241273100005,2.3853983674999997,2.4373099390333337,2.2792853024583337
C-N-C:C-C,CC(N)NNOCCCN,CCCNCNCCCONNC(C)N,CCCNCNCCC(ONNC(C)N)C(C)NNC,CCC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)NCNCCC(ONNC(C)N)C(C)NNC,CCCNCNCCC(ONNC(C)N)C(C)NNCCOC(=O)NCC(=O)O,CCCNCNCCC(ONNC(N)CCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)NNC,CCCNCNCCC(ONNC(C)N)C(C)NNCCOC(=O)NC(CCC(=O)O)C(=O)O,3.903468143711111,3.505933683905714,3.2175026849983333,3.4906021923983332
C-N-C:C-C,CC(N)NNOCCCN,CCCNCNCCCONNC(C)N,CC(N)NNOCCCNCNCC(C)C1CC(O)CCC1O,CC(CNCNCCCONNC(C)(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1)C1CC(O)CCC1O,CC(N)NNOCCCNC(COC(=O)NCC(=O)O)NCC(C)C1CC(O)CCC1O,CC(N)NNOCC(CNCNCC(C)C1CC(O)CCC1O)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(N)NNOCCCNCNCC(C)(COC(=O)NC(CCC(=O)O)C(=O)O)C1CC(O)CCC1O,3.3676092837241662,2.5662853944933337,3.016593117933333,3.0592005592688887
O=C-C-C-C-C-N,CC(N)NNOCCCN,CC(N)NN(OCCCN)C(C=O)CCCN,CC(N)NN(OCC(CN)NC(C)CCCC=O)C(C=O)CCCN,CC(N)NN(OCC(CN)NC(C)(CCCC=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C=O)CCCN,CC(N)NN(OCC(CN)NC(C)CCCC=O)C(C=O)CC(CN)COC(=O)NCC(=O)O,CC(N)NN(OCC(CN)NC(C)CCCC(=O)COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C=O)CCCN,CC(N)NN(OCC(CN)NC(C)CCCC=O)C(C=O)CC(CN)COC(=O)NC(CCC(=O)O)C(=O)O,3.25305618150606,3.103799483158333,3.0585599376999997,2.9949767201333333
O=C-C-C-C-C-N,CC(N)NNOCCCN,CC(N)NN(OCCCN)C(C=O)CCCN,CC(N)NN(OC(CCN)C1=C(O)C=CC(O)=C1)C(C=O)CCCN,CC(NCOC(=O)NC(C(=O)O)C1=CC=CC=C1)NN(OC(CCN)C1=C(O)C=CC(O)=C1)C(C=O)CCCN,CC(N)NN(OC(CCN)C1=C(O)C(COC(=O)NCC(=O)O)=CC(O)=C1)C(C=O)CCCN,CC(N)NN(OC(CCN)C1=C(O)C=CC(OCOC(=O)NC(CCCNC(=N)N)C(=O)O)=C1)C(C=O)CCCN,NCCCC(C=O)N(NC(N)CCOC(=O)NC(CCC(=O)O)C(=O)O)OC(CCN)C1=C(O)C=CC(O)=C1,3.344980080832727,2.8029983595166668,3.195575350493333,2.8025581995166666
