add_SMILES,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
O-C-C-N-C,C,CN(C)CCO,[H]OCC(CO)N(C)C,[H]OC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CO)N(C)C,[H]OC(COC(=O)NCC(=O)O)C(CO)N(C)C,[H]OCC(CO)N(C)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]OCC(CO)(COC(=O)NC(CCC(=O)O)C(=O)O)N(C)C,3.5152689954499996,3.1154509383083338,2.8502398819333328,2.3609317761500006
O-C-C-N-C,C,CN(C)CCO,CC(O)COCCN(C)C,CC(O)COCC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)N(C)C,CC(COCCN(C)C)OCOC(=O)NCC(=O)O,CN(C)CCOCC(O)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(O)COC(COC(=O)NC(CCC(=O)O)C(=O)O)CN(C)C,3.6242705342,3.363297775693016,2.80905050828,3.694840172725
Cc1ccc(Cl)cc1,C,CC1=CC(C)=C(Cl)C=C1,CC1=C(NC(C)C)C(C)=C(Cl)C=C1,CC1=C(Cl)C=C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C(C)=C1NC(C)C,CC1=C(N(COC(=O)NCC(=O)O)C(C)C)C(C)=C(Cl)C=C1,CC1=C(Cl)C=CC(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)=C1NC(C)C,CC1=C(NC(C)CCOC(=O)NC(CCC(=O)O)C(=O)O)C(C)=C(Cl)C=C1,4.040204239924167,3.5936600481,3.238804692705714,2.846216666666667
Cc1ccc(Cl)cc1,C,CC1=CC(C)=C(Cl)C=C1,C=CC(=C)C1=CC(Cl)=C(C)C=C1C,C=CC(=C)C1=C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C(Cl)=C(C)C=C1C,C=CC(=C)C1=C(COC(=O)NCC(=O)O)C(Cl)=C(C)C=C1C,C=CC(=C)C1=CC(Cl)=C(C)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)=C1C,C=CC(=C)C1=CC(Cl)=C(CCOC(=O)NC(CCC(=O)O)C(=O)O)C=C1C,3.5566699507075,2.8083098362250003,3.3077871680200004,2.9611222743768186
O=C-C-C-C-C-C,CCNCCO,CCCC(CC=O)C(CO)NCC,CCCC(CC(=O)C1CCC(C)C(C)C1)C(CO)NCC,CCCC(CC(=O)C1CC(C)C(C)CC1COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CO)NCC,CCCC(CC(=O)C1CCC(CCOC(=O)NCC(=O)O)C(C)C1)C(CO)NCC,CCCC(CC(=O)C1CC(C)C(C)CC1COC(=O)NC(CCCNC(=N)N)C(=O)O)C(CO)NCC,CCCC(CC(=O)C1CC(C)C(C)CC1COC(=O)NC(CCC(=O)O)C(=O)O)C(CO)NCC,3.653355189832727,3.4924354521133325,3.441390744979999,3.231513755213333
O=C-C-C-C-C-C,CCNCCO,CCCC(CC=O)C(CO)NCC,CCCC(CC=O)C(CO)NC(C)C1CC(C)CC(O)C1,CCCC(CC=O)(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CO)NC(C)C1CC(C)CC(O)C1,CCCC(CC=O)C(CO)NC(C)(COC(=O)NCC(=O)O)C1CC(C)CC(O)C1,CCCC(CC=O)C(CO)(COC(=O)NC(CCCNC(=N)N)C(=O)O)NC(C)C1CC(C)CC(O)C1,CCCC(CC=O)C(CO)NC(C)C1CC(O)CC(C)(COC(=O)NC(CCC(=O)O)C(=O)O)C1,3.571013972870227,2.9941975059683332,3.041882581093333,3.069000559268889
C(-H)(=C),CCNCCO,[H]C=CCCNCCO,[H]C=CCCNCCOOC(C)=O,[H]C=CCCNCCOOC(=O)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C=CCCNCCOOC(=O)CCOC(=O)NCC(=O)O,[H]C=CCCNC(COOC(C)=O)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C=CCCN(CCOOC(C)=O)COC(=O)NC(CCC(=O)O)C(=O)O,2.55034246412,2.5564382274533335,2.342827455286667,2.3719924641200008
C(-H)(=C),CCNCCO,[H]C=CCCNCCO,[H]C=CCCNCCOC(Cl)CNC,[H]C=CCCNCCOC(Cl)C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)NC,[H]C=CCCNCC(COC(=O)NCC(=O)O)OC(Cl)CNC,[H]C=CCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)NCCOC(Cl)CNC,[H]C=CCCNC(COC(=O)NC(CCC(=O)O)C(=O)O)COC(Cl)CNC,3.41936672522,3.5722734403768257,3.42302673108,3.4460808650733332
C-C-C-C-C-C(C)-C,CCCC(CC=O)C(C)NCCO,CCC(CCCCCC(C)C)C(CC=O)C(C)NCCO,C=COCC(CCCC(CC)C(CC=O)C(C)NCCO)CC(C)C,C=COCC(CCCC(C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CC=O)C(C)NCCO)CC(C)C,C=COCC(CCCC(CC)C(CC=O)C(C)NCC(O)COC(=O)NCC(=O)O)CC(C)C,C=COCC(CCCC(CC)C(C(C=O)COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)NCCO)CC(C)C,CCC(CCCC(COC=CCOC(=O)NC(CCC(=O)O)C(=O)O)CC(C)C)C(CC=O)C(C)NCCO,3.877657688778798,4.188397059809999,4.176076562465238,3.5248770217376615
C-C-C-C-C-C(C)-C,CCCC(CC=O)C(C)NCCO,CCC(CCCCCC(C)C)C(CC=O)C(C)NCCO,CCC(CC)C(CC=O)(C(CC)CCCCCC(C)C)C(C)NCCO,CCC(CC)C(CC=O)(C(C)NCCO)C(CCCCCC(C)C)C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCC(CC)C(CC=O)(C(CC)CCCCCC(C)C)C(C)NCC(O)COC(=O)NCC(=O)O,CCC(CC)C(CC=O)(C(CC)CCCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC(C)C)C(C)NCCO,CCC(CC)C(CC=O)(C(CC)CCCC(COC(=O)NC(CCC(=O)O)C(=O)O)CC(C)C)C(C)NCCO,4.369019323811071,2.142355477361905,4.1203931034985715,4.012281575431905
