SMILES_added,SMILES_got,logIE
N-C-O-C-C,CCOC(C)N,2.7934098362249995
O=C-C-C-C-C-O,CC(N)OCCC(=O)CCCCO,2.583804186508334
Cl-C:C-O-C,COC(CCl)C(O)CCCC(=O)CCOC(C)N,3.3563081858849997
C(-C)(=N),CC=NC(CCC(O)C(CCl)OC)C(=O)CCOC(C)N,3.45920925362
N-C:C:C:N,COC(CCl)C(O)CCC(N=CCNCCCN)C(=O)CCOC(C)N,3.3307498934599997
C(C)(O),COC(CCl)C(O)CCC(N=CCNCCCN)C(=O)CC(CCO)OC(C)N,3.3307498934599997
OC1CC(O)CCC1,COC(CCl)C(O)CCC(N=CCN(CCCN)C1C(O)CCCC1O)C(=O)CC(CCO)OC(C)N,3.3307498934599997
