SMILES_added,SMILES_got
N-N-C-N,CC(N)NN
O-C-C-C-N,CC(N)NNOCCCN
C-N-C:C-C,CCCNCNC(C)NNOCCCN
C-C-N-C-C,CCCNCN(C(C)NNOCCCN)N(CC)CC
Cc1ccc(Cl)cc1,CCCNCN(C(C)NNOCCCNC1=CC(Cl)=CC=C1C)N(CC)CC
O=C-C=C,C=CC(=O)C1=C(Cl)C=C(NCCCONNC(C)N(CNCCC)N(CC)CC)C(C)=C1
C1CCC=CC1,C=CC(=O)C1=C(Cl)C(C2CC=CCC2)=C(NCCCONNC(C)N(CNCCC)N(CC)CC)C(C)=C1
