SMILES_added,SMILES_got
C(C)(H)(O)(O),[H]C(C)(O)OC
N-N-C-N,[H]C(C)(OC)ON(N)CN
C(C)(C)(C)(N),[H]C(C)(OCNC(C)(C)C)ON(N)CN
N-N-C-N,[H]C(C)(OCNC(C)(C)CC(N)NN)ON(N)CN
Cl,[H]C(C)(OCN(Cl)C(C)(C)CC(N)NN)ON(N)CN
C-O-C-O-C,[H]C(C)(OCN(Cl)C(C)(C)CC(N)(COCOC)NN)ON(N)CN
NC1CCC(N)CC1,[H]C(C)(OCN(Cl)C(C)(C)CC(N)(COCOC)NN)ON(CN)NNC1CCC(N)CC1
OC1C(N)CCCC1,[H]C(C)(OCN(Cl)C(C)(C)CC(N)(COCOC)NN)ON(CN)NNC1(C2CCCC(O)C2N)CCC(N)CC1
