add_SMILES,starting_SMILES 3,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
O=C-C=C,C,CC=CC=O,CC=C(C=O)CC(C)(C)N,[H]C(C)(Cl)C(C)=C(C=O)CC(C)(C)N,[H]C(C)(Cl)C(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)=C(C=O)CC(C)(C)N,[H]C(C)(Cl)C(CCOC(=O)NCC(=O)O)=C(C=O)CC(C)(C)N,[H]C(C)(Cl)C(C)=C(C=O)CC(C)(N)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(C)(Cl)C(C)=C(C=O)CC(C)(C)NCOC(=O)NC(CCC(=O)O)C(=O)O,3.096178571925,2.8141301024466667,2.9755085731183337,2.539807034368333
O=C-C=C,C,CC=CC=O,CC=C(C=O)CC(C)(C)N,CC=C(C=O)CC(C)(N)CC(C)=CC=O,CC(=CC=O)CC(C)(N)CC(C=O)=C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC=C(CC(C)(N)CC(C)=CC=O)C(=O)COC(=O)NCC(=O)O,CC=C(C=O)CC(N)(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)CC(C)=CC=O,CC=C(C=O)C(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)(N)CC(C)=CC=O,2.68994657424,2.8393489600445236,3.308120308779999,3.277079030375
O=C-C=C,C,CC=CC=O,CC=C(C=O)CC(C)(C)N,CC=C(C=O)C(C(CO)CCC)C(C)(C)N,CC=C(C=O)C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)(C(CO)CCC)C(C)(C)N,CC=C(C=O)C(COC(=O)NCC(=O)O)(C(CO)CCC)C(C)(C)N,CC=C(C=O)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)(C(CO)CCC)C(C)(C)N,CCCC(CO)C(C(C=O)=C(C)COC(=O)NC(CCC(=O)O)C(=O)O)C(C)(C)N,3.52636192916,3.1018232706599997,3.0476544567933335,3.2268538400349995
O=C-C=C,C,CC=CC=O,CC=C(C=O)C(N)=O,CC(OCCCCCO)=C(C=O)C(N)=O,CC(OCCCCCO)=C(C=O)C(=O)NCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(OCCCCCO)=C(C=O)C(=O)NCOC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCC(OCCCCCO)=C(C=O)C(N)=O)C(=O)O,CC(OCCCCCOCOC(=O)NC(CCC(=O)O)C(=O)O)=C(C=O)C(N)=O,3.0394464407266666,2.7365620672600004,2.934466790843333,2.6105344113
O=C-C=C,C,CC=CC=O,CC=C(C=O)C(N)=O,NC(=O)C(C=O)=CCF,NC(=O)C(=CCF)C(=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,NC(=O)C(=CCF)C(=O)COC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCC(=O)C(=CCF)C(N)=O)C(=O)O,O=CC(=CCF)C(=O)NCOC(=O)NC(CCC(=O)O)C(=O)O,2.493322734215152,2.6390166666666666,2.715916666666667,2.5366999999999997
O=C-C=C,C,CC=CC=O,CC=C(C=O)C(N)=O,[H]N(C)CCC=C(C=O)C(N)=O,[H]N(C)CCC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)=C(C=O)C(N)=O,[H]N(C)CCC=C(C(N)=O)C(=O)COC(=O)NCC(=O)O,[H]N(C)CCC=C(C(N)=O)C(=O)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]N(CCC=C(C=O)C(N)=O)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.031189028408333,2.6701193018166665,2.4316464357583336,2.561624392048485
O=C-C=C,C,CC=CC=O,[H]C(C)(O)OC(=O)C=CC,[H]C(C)(O)OC(=O)C=CCC(C)CCN,[H]C(C)(O)OC(=O)C=CCC(C)C(CN)COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(C)(O)OC(=O)C(=CCC(C)CCN)COC(=O)NCC(=O)O,[H]C(C)(O)OC(=O)C=CCC(C)C(CN)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(C)(O)OC(=O)C=CCC(C)C(CN)COC(=O)NC(CCC(=O)O)C(=O)O,3.1756004135266664,2.591948928527857,3.159950003225,2.9892527818000003
O=C-C=C,C,CC=CC=O,[H]C(C)(O)OC(=O)C=CC,[H]C(C)(O)OC(=O)C=CCC1=CC=CC=C1,[H]C(C)(O)OC(=O)C(=CCC1=CC=CC=C1)COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(C)(O)OC(=O)C=CCC1=C(COC(=O)NCC(=O)O)C=CC=C1,[H]C(C)(O)OC(=O)C=CCC1=C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C=CC=C1,[H]C(C)(O)OC(=O)C=C(COC(=O)NC(CCC(=O)O)C(=O)O)CC1=CC=CC=C1,3.15273122314,3.5188076219168183,3.04339409746,2.940812141285
O=C-C=C,C,CC=CC=O,[H]C(C)(O)OC(=O)C=CC,[H]C(C)(O)OC(=O)C(=CC)C(CC)CN,[H]C(C)(OCOC(=O)NC(C(=O)O)C1=CC=CC=C1)OC(=O)C(=CC)C(CC)CN,[H]C(C)(O)OC(=O)C(=CCCOC(=O)NCC(=O)O)C(CC)CN,[H]C(C)(O)OC(=O)C(=CC)C(CN)CCCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(C)(O)OC(=O)C(=CC)C(CC)C(N)COC(=O)NC(CCC(=O)O)C(=O)O,3.398908185885,2.96580655101,2.547580683675,2.361464088425
C-C-C-C-C-C-C-C,C,CCCCCC(C)CC,[H]C(C)(C)NC(C)(CC)CCCCC,[H]C(C)(C)NC(CC)(CCCCC)CCCCCCC,[H]C(C)(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)NC(CC)(CCCCC)CCCCCCC,[H]C(C)(C)NC(CCCCC)(CCCCCCC)C(C)COC(=O)NCC(=O)O,[H]C(C)(C)NC(CC)(CCCCC)CC(CCCCC)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(C)(C)NC(CC)(CCCCC)CCCCC(CC)COC(=O)NC(CCC(=O)O)C(=O)O,4.528563380512619,4.437321577370953,4.174364459112857,3.975410721914286
