add_SMILES,starting_SMILES 3,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
N:C:N-C,C,CCNCN,CCN(CN)C1C(C)CCCC1C,CCN(CN)C1C(C)CCCC1(C)CC(C)(C)C,CC1CCCC(C)(CC(C)(C)C)C1N(CN)C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCN(CN)C1(COC(=O)NCC(=O)O)C(C)CCCC1(C)CC(C)(C)C,CCN(CN)C1C(C)CCCC1(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)CC(C)(C)C,CCN(CN)C1C(C)CCCC1(C)CC(C)(C)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.6703780789536906,3.678267496338452,4.1559626939517855,4.058330006318452
N:C:N-C,C,CCNCN,CCN(CN)C1C(C)CCCC1C,CCN(CN)C1C(C)CCCC1CC(Cl)CNC,CNCC(Cl)CC1CCCC(C)C1N(CN)CCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCN(CN)C1C(CCOC(=O)NCC(=O)O)CCCC1CC(Cl)CNC,CCN(CN)C1C(CC(Cl)CNC)CCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C1C,CCN(CNCOC(=O)NC(CCC(=O)O)C(=O)O)C1C(C)CCCC1CC(Cl)CNC,4.231070850061944,4.2763113166132145,3.984704547723333,3.5551445837749993
N:C:N-C,C,CCNCN,CCN(CN)C1C(C)CCCC1C,CCCCCC(C)CC1CCCC(C)C1N(CC)CN,CCCCCC(C)CC1C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)CCC(C)C1N(CC)CN,CCCCCC(C)CC1CCCC(C)C1N(CN)C(C)COC(=O)NCC(=O)O,CCCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC(C)CC1CCCC(C)C1N(CC)CN,CCCCCC(C)CC1CCCC(C)C1N(CC)C(N)COC(=O)NC(CCC(=O)O)C(=O)O,4.558779097796785,4.493890286067024,4.159098196702738,4.21168716341357
N:C:N-C,C,CCNCN,CCNC(N)C(=O)CCN,CCCC(O)C(CN)C(=O)C(N)NCC,CCNC(N)C(=O)C(CN)C(O)CC(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCNC(N)C(=O)C(CN)C(O)C(CC)COC(=O)NCC(=O)O,CCCC(O)C(CN)C(=O)C(NCC)NCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCCC(O)C(CN)C(=O)C(N)NC(C)COC(=O)NC(CCC(=O)O)C(=O)O,3.3132143465666664,2.8046326889933333,2.5391982776933335,3.1055937606766664
N:C:N-C,C,CCNCN,CCNC(N)C(=O)CCN,CC(C)C(C)CCCNC(N)C(=O)CCN,CC(CCCNC(N)C(=O)CCN)C(C)(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(C)C(C)(CCCNC(N)C(=O)CCN)COC(=O)NCC(=O)O,CC(C)C(C)CCCNC(N)C(=O)CC(N)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(C)C(C)C(CCNC(N)C(=O)CCN)COC(=O)NC(CCC(=O)O)C(=O)O,3.4235999815666665,3.307397055245714,2.35795,3.08032814585
N:C:N-C,C,CCNCN,CCNC(N)C(=O)CCN,CCNC(N)C(=O)CC(N)C(CC)CC,CCNC(N)C(=O)CC(N)C(CC)(CC)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCNC(NCOC(=O)NCC(=O)O)C(=O)CC(N)C(CC)CC,CCC(CC)C(N)CC(=O)C(N)NCCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCNC(N)C(=O)CC(N)C(CC)CCCOC(=O)NC(CCC(=O)O)C(=O)O,3.5690839765250004,2.9162814849790477,2.5814151094833333,2.5536027838583335
N:C:N-C,C,CCNCN,CCCCC(CCC)C(N)NCC,[H]C(C)(O)CC(CCC)(CCCC)C(N)NCC,[H]C(C)(O)CC(CCC)(CCCC)C(N)NC(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(C)(O)C(COC(=O)NCC(=O)O)C(CCC)(CCCC)C(N)NCC,[H]C(C)(O)CC(CCC)(CC(CC)COC(=O)NC(CCCNC(=N)N)C(=O)O)C(N)NCC,[H]C(C)(O)CC(CCC)(CCCC)C(N)N(CC)COC(=O)NC(CCC(=O)O)C(=O)O,3.8038535970942213,3.873605388410769,3.4880076897466665,3.3460193344266664
N:C:N-C,C,CCNCN,CCCCC(CCC)C(N)NCC,CCCC(C(O)CCCCN)C(CCC)C(N)NCC,CCCC(C(N)NCC)C(C(O)CCCCN)C(CC)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCC(C(O)CCCCN)C(CCCCOC(=O)NCC(=O)O)C(N)NCC,CCCC(C(O)CCCCN)C(CCC)C(N)NCCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCCC(C(O)CCCCN)C(CCCCOC(=O)NC(CCC(=O)O)C(=O)O)C(N)NCC,3.605963731378452,2.4990656020833333,3.26123704851934,3.0620201747133335
N:C:N-C,C,CCNCN,CCCCC(CCC)C(N)NCC,C=CCCOCCCCC(CCC)C(N)NCC,C=CCCOCCCCC(CC(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(N)NCC,C=CCCOCCCCC(CCCCOC(=O)NCC(=O)O)C(N)NCC,C=CCCOCCCCC(CCC)C(N)NC(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,C=CC(COCCCCC(CCC)C(N)NCC)COC(=O)NC(CCC(=O)O)C(=O)O,3.9374911953241662,4.059055359328334,3.6691163885733333,3.52313256264
O(:C)(:C),C,CCOC,[H]C(O)CCOC,[H]C(O)CC(CC=CO)OC,[H]C(CC(CC=CO)OC)OCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(O)CC(CC=CO)OCCOC(=O)NCC(=O)O,[H]C(O)CC(CC=CO)(COC(=O)NC(CCCNC(=N)N)C(=O)O)OC,[H]C(O)(COC(=O)NC(CCC(=O)O)C(=O)O)CC(CC=CO)OC,3.00113156241,2.931599327824762,3.2897359861849993,2.398189077025
