add_SMILES,starting_SMILES 3,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C1CCCCC1,C,CC1CCCCC1,CC(C)CC1(C)CCCCC1,CCCCCCC1(CC(C)C)CCCCC1,CCCCCCC1(CC(C)C)CCCC(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C1,CCCCCCC1(CC(C)(C)COC(=O)NCC(=O)O)CCCCC1,CC(C)CC1(CCCCC(C)COC(=O)NC(CCCNC(=N)N)C(=O)O)CCCCC1,CCCCCCC1(CC(C)C)CCCCC1COC(=O)NC(CCC(=O)O)C(=O)O,4.341152496537857,3.6820968863395245,3.9409927043285706,3.716767080461904
C1CCCCC1,C,CC1CCCCC1,CC(C)CC1(C)CCCCC1,CC(C)CC1(C)CCCC(CCCCO)C1,CC(C)CC1(C)CCCC(CCCCOCOC(=O)NC(C(=O)O)C2=CC=CC=C2)C1,CC(C)CC1(C)CCCC(CCCCOCOC(=O)NCC(=O)O)C1,CC(C)CC1(C)CCCC(C(CCCO)COC(=O)NC(CCCNC(=N)N)C(=O)O)C1,CC(C)CC1(C)CCCC(CCCCO)C1COC(=O)NC(CCC(=O)O)C(=O)O,3.5650630546253574,3.0349580351842853,4.095035876937499,3.2645149938060714
C1CCCCC1,C,CC1CCCCC1,CC(C)CC1(C)CCCCC1,CCCC(O)C1CCC(C)(CC(C)C)CC1,CCC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(O)C1CCC(C)(CC(C)C)CC1,CC(C)CC1(C)CCC(C(O)CC(C)COC(=O)NCC(=O)O)CC1,CCCC(O)C1CCC(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)(CC(C)C)CC1,CCCC(O)C1CCC(C)(CC(C)C)CC1COC(=O)NC(CCC(=O)O)C(=O)O,3.6391359747553573,2.282515706514286,3.9644359911533327,3.3362642415441663
C1CCCCC1,C,CC1CCCCC1,CC1CCCC(CCl)C1,CNCCCC1CCC(C)CC1CCl,CNCCCC1CCC(C)CC1(CCl)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CNCCCC1(COC(=O)NCC(=O)O)CCC(C)CC1CCl,CNCCCC1(COC(=O)NC(CCCNC(=N)N)C(=O)O)CCC(C)CC1CCl,CNCCCC1C(CCl)CC(C)CC1COC(=O)NC(CCC(=O)O)C(=O)O,3.704270919276786,4.442934047786666,3.6659293430566664,3.26355209023
C1CCCCC1,C,CC1CCCCC1,CC1CCCC(CCl)C1,CNOC(Cl)C1CCCC(C)C1,CNOC(Cl)C1CCCC(C)C1COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC1CCCC(C(Cl)ON(C)COC(=O)NCC(=O)O)C1,CC1CCCC(C(Cl)ONCCOC(=O)NC(CCCNC(=N)N)C(=O)O)C1,CNOC(Cl)C1CCC(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)C1,3.7132692248250003,3.270970059123214,2.8144765818016664,2.887235923175
C1CCCCC1,C,CC1CCCCC1,CC1CCCC(CCl)C1,COCCCC(CO)C1(C)CCCC(CCl)C1,COC(CCC(CO)C1(C)CCCC(CCl)C1)COC(=O)NC(C(=O)O)C1=CC=CC=C1,COCCCC(CO)(COC(=O)NCC(=O)O)C1(C)CCCC(CCl)C1,COCCCC(COCOC(=O)NC(CCCNC(=N)N)C(=O)O)C1(C)CCCC(CCl)C1,COCCCC(CO)C1(C)CC(CCl)CC(COC(=O)NC(CCC(=O)O)C(=O)O)C1,3.9946717756000005,3.56886667827098,3.83618822144098,3.249684777863333
C1CCCCC1,C,CC1CCCCC1,[H]N(C)CC1CCCCC1,[H]N(C)CC1CCCC(C(NC)NC)C1,[H]N(C)CC1(COC(=O)NC(C(=O)O)C2=CC=CC=C2)CCCC(C(NC)NC)C1,[H]N(C)C(COC(=O)NCC(=O)O)C1CCCC(C(NC)NC)C1,[H]N(C)CC1(COC(=O)NC(CCCNC(=N)N)C(=O)O)CCCC(C(NC)NC)C1,[H]N(C)CC1CCCC(C(NC)N(C)COC(=O)NC(CCC(=O)O)C(=O)O)C1,3.7848250387916664,2.978943931321667,3.20369856286,3.489121389546667
C1CCCCC1,C,CC1CCCCC1,[H]N(C)CC1CCCCC1,[H]N(C)CC1CCC(CCCCO)CC1,[H]N(C)CC1CCC(CCCCO)C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C1,[H]N(C)C(COC(=O)NCC(=O)O)C1CCC(CCCCO)CC1,[H]N(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)CC1CCC(CCCCO)CC1,[H]N(C)CC1CCC(CCCCO)(COC(=O)NC(CCC(=O)O)C(=O)O)CC1,3.6737789428259524,2.6240937809583333,2.1974695657869052,3.4416336729507684
C1CCCCC1,C,CC1CCCCC1,[H]N(C)CC1CCCCC1,[H]N(C)C(CCO)C1CCCCC1,[H]N(C)C(C1CCCCC1)C(CO)COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]N(C)C(CC(O)COC(=O)NCC(=O)O)C1CCCCC1,[H]N(C)C(CCO)C1CCCCC1COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]N(C)C(CCO)C1CCCCC1COC(=O)NC(CCC(=O)O)C(=O)O,3.4066104577666665,2.3977399308219045,3.3398793693799993,3.130002379613333
C(C)(C),C,CC(C)C,CCC(C)(C)C,[H]N(C)CCC(C)(C)CC,[H]N(C)C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)CC(C)(C)CC,[H]N(C)CCC(C)(CC)CCOC(=O)NCC(=O)O,[H]N(C)CCC(C)(CC)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]N(CCOC(=O)NC(CCC(=O)O)C(=O)O)CCC(C)(C)CC,3.085841059622619,3.1612303355957145,3.4554670013707147,3.046712531241666
