add_SMILES,starting_SMILES 3,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C(-H)(-N)(=C),C,[H]C(=C)NC,[H]C(=C)NCCCCCC,[H]CCC(CCCC)CNC([H])=C,[H]CCC(CCCC)CNC([H])=CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]CCC(CCC(C)COC(=O)NCC(=O)O)CNC([H])=C,[H]CCC(CCCC)(CNC([H])=C)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]CCC(CCCC)CN(COC(=O)NC(CCC(=O)O)C(=O)O)C([H])=C,2.136005662274286,2.781041630328571,3.6206333149,2.6200385747999997
C(-H)(-N)(=C),C,[H]C(=C)NC,[H]C(=C)NCCCCCC,[H]C(=C)N(CCCCCC)C1CCC(N)CC1O,[H]C(=C)N(CC(CCCC)COC(=O)NC(C(=O)O)C1=CC=CC=C1)C1CCC(N)CC1O,[H]C(=C)N(CCC(CCC)COC(=O)NCC(=O)O)C1CCC(N)CC1O,[H]C(=C)N(C(CCCCC)COC(=O)NC(CCCNC(=N)N)C(=O)O)C1CCC(N)CC1O,[H]C(=C)N(CCCCCC)C1CCC(NCOC(=O)NC(CCC(=O)O)C(=O)O)CC1O,3.95646897580606,3.5745646555190476,3.2156028944199995,3.1241238880400006
C(-H)(-N)(=C),C,[H]C(=C)NC,[H]C(=C)NCCCCCC,[H]C(=C)NCCC(CCC)NCCN,[H]C(=C)NCCC(CCC)NC(CN)COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(=C)NCCC(CCC)(COC(=O)NCC(=O)O)NCCN,[H]C(=C)NCCC(CCC)(COC(=O)NC(CCCNC(=N)N)C(=O)O)NCCN,[H]C(=C)NCC(COC(=O)NC(CCC(=O)O)C(=O)O)C(CCC)NCCN,3.475526186405714,3.3871764157790474,3.5358588740390475,3.5449000585533335
C(-H)(-N)(=C),C,[H]C(=C)NC,[H]C(=C)N(C)C(C)O,[H]C(=C)N(CCOCCC)C(C)O,[H]C(=C)N(CCOCCC)C(C)OCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(=C)N(CCOCCCCOC(=O)NCC(=O)O)C(C)O,[H]C(=C)N(C(C)O)C(COCCC)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(=C)N(CCOCCC)C(C)OCOC(=O)NC(CCC(=O)O)C(=O)O,3.4704333148999993,3.247076142180158,2.927695095313333,3.49096206726
C(-H)(-N)(=C),C,[H]C(=C)NC,[H]C(=C)N(C)C(C)O,[H]C(=CC1=CC(C)=CC(N)=C1)N(C)C(C)O,[H]C(=C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C1=CC(C)=CC(N)=C1)N(C)C(C)O,[H]C(=CC1=CC(C)=CC(N)=C1)N(CCOC(=O)NCC(=O)O)C(C)O,[H]C(=CC1=CC(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)=CC(N)=C1)N(C)C(C)O,[H]C(=C(COC(=O)NC(CCC(=O)O)C(=O)O)C1=CC(C)=CC(N)=C1)N(C)C(C)O,3.5934815184916666,3.1878316466807144,2.6545882355950003,3.3790038400349993
C(-H)(-N)(=C),C,[H]C(=C)NC,[H]C(=C)N(C)C(C)O,[H]C(=C)N(C)C(C)(O)OCCCCCC,[H]C(=CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)N(C)C(C)(O)OCCCCCC,[H]C(=C)N(C)C(C)(O)OCC(CCCC)COC(=O)NCC(=O)O,[H]C(=C)N(C)C(O)(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)OCCCCCC,[H]C(=C)N(C)C(C)(O)OCCCCC(C)COC(=O)NC(CCC(=O)O)C(=O)O,3.66003299473077,3.2052975088607143,3.23899452552,3.079716493675
C(-H)(-N)(=C),C,[H]C(=C)NC,[H]C(=CN(C)NCC)NC,[H]C(=CN(C)NCC)NCCCC=C,[H]C(=CN(C)N(CC)COC(=O)NC(C(=O)O)C1=CC=CC=C1)NCCCC=C,[H]C(=CN(C)N(CC)COC(=O)NCC(=O)O)NCCCC=C,[H]C(=CN(C)NCCCOC(=O)NC(CCCNC(=N)N)C(=O)O)NCCCC=C,[H]C(=CN(CCOC(=O)NC(CCC(=O)O)C(=O)O)NCC)NCCCC=C,3.0821397734000002,3.3174635579857137,2.6926245706390475,2.9323825622033333
C(-H)(-N)(=C),C,[H]C(=C)NC,[H]C(=CN(C)NCC)NC,[H]C(NC)=C(C(=C)COC)N(C)NCC,[H]C(NC)=C(C(=C)COC)N(C)NC(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(NC)=C(C(=C)COC)N(C)NC(C)COC(=O)NCC(=O)O,[H]C(NC)=C(C(=C)COC)N(C)N(CC)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(NC)=C(C(=C)COC)N(C)NCCCOC(=O)NC(CCC(=O)O)C(=O)O,3.4471671471141994,3.2853508458875327,3.656850515665714,2.8009924641200006
C(-H)(-N)(=C),C,[H]C(=C)NC,[H]C(=CN(C)NCC)NC,[H]C(=CN(C)NCCOCC=O)NC,[H]C(NC)=C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)N(C)NCCOCC=O,[H]C(=CN(C)NCCOCC=O)N(C)COC(=O)NCC(=O)O,[H]C(=CN(C)N(CCOCC=O)COC(=O)NC(CCCNC(=N)N)C(=O)O)NC,[H]C(=CN(CCOC(=O)NC(CCC(=O)O)C(=O)O)NCCOCC=O)NC,2.84690242141,2.967821989459524,2.7419983792833333,3.0174717319099997
N-C-O-C-C,C,CCOC(C)N,CCOC(C)(N)C1=C(Cl)C=CC(C)=C1,CCOC(C)(N)C1=C(Cl)C=CC(C)=C1NCCN,CCOC(C)(N)C1=C(Cl)C=C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C(C)=C1NCCN,CCOC(C)(N)C1=C(Cl)C=CC(C)=C1NCC(N)COC(=O)NCC(=O)O,CCOC(C)(N)C1=C(Cl)C=CC(C)=C1NCC(N)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCOC(C)(N)C1=C(Cl)C=CC(C)=C1NCCNCOC(=O)NC(CCC(=O)O)C(=O)O,3.859182605686667,3.579480132980714,3.6155282476523807,3.652092445686667
