add_SMILES,starting_SMILES 3,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C(-H)(=N),C,[H]C(C)=N,[H]C(=N)CC1=C(N)C=C(O)C=C1,[H]C=NN=C([H])CC1=C(N)C=C(O)C=C1,[H]C=NN=C([H])CC1=C(N)C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)=C(O)C=C1,[H]C=NN=C([H])C(COC(=O)NCC(=O)O)C1=C(N)C=C(O)C=C1,[H]C=NN=C([H])CC1=C(N)C=C(O)C=C1COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C=NN=C([H])CC1=C(N)C=C(O)C(COC(=O)NC(CCC(=O)O)C(=O)O)=C1,3.441688811248485,2.74925,3.13034246412,2.678735302458333
C(-H)(=N),C,[H]C(C)=N,[H]C(=N)CC1=C(N)C=C(O)C=C1,[H]C(CC1=C(N)C=C(O)C=C1)=NC(O)CCC,[H]C(CC1=C(N)C=C(O)C=C1)=NC(O)CCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(CC1=C(N)C=C(O)C=C1)=NC(O)(CCC)COC(=O)NCC(=O)O,[H]C(CC1=C(N)C=C(OCOC(=O)NC(CCCNC(=N)N)C(=O)O)C=C1)=NC(O)CCC,[H]C(CC1=C(N)C=C(OCOC(=O)NC(CCC(=O)O)C(=O)O)C=C1)=NC(O)CCC,2.8372416066499997,3.27124201093,2.5264931638333334,3.0918111327918183
C(-H)(=N),C,[H]C(C)=N,[H]C(=N)CC1=C(N)C=C(O)C=C1,[H]C(=N)CC1=C(N)C=C(ONC(C)(C)C)C=C1,[H]C(=N)CC1=C(N)C=C(ONC(C)(C)C)C=C1COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(=N)CC1=C(N)C=C(ON(COC(=O)NCC(=O)O)C(C)(C)C)C=C1,[H]C(=N)CC1=C(N)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)=C(ONC(C)(C)C)C=C1,[H]C(=N)CC1=C(N)C=C(ONC(C)(C)C)C=C1COC(=O)NC(CCC(=O)O)C(=O)O,3.6457816823375007,3.92536608618,3.445287200466667,3.3561698880999997
C(-H)(=N),C,[H]C(C)=N,[H]C(C)=NN,[H]C(CCNCCO)=NN,[H]C(CCNCC(O)COC(=O)NC(C(=O)O)C1=CC=CC=C1)=NN,[H]C(=NN)C(CNCCO)COC(=O)NCC(=O)O,[H]C(CCNCC(O)COC(=O)NC(CCCNC(=N)N)C(=O)O)=NN,[H]C(CCNCCO)=NNCOC(=O)NC(CCC(=O)O)C(=O)O,3.31020727303,2.7943099696333333,2.5471265041099995,2.7097516578333334
C(-H)(=N),C,[H]C(C)=N,[H]C(C)=NN,[H]C(CNCC=O)=NN,[H]C(CNCC=O)=NNCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(CN(CC=O)COC(=O)NCC(=O)O)=NN,[H]C(=NN)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)NCC=O,[H]C(CN(CC=O)COC(=O)NC(CCC(=O)O)C(=O)O)=NN,2.4290715607866664,2.3708715027,2.3418417638,2.6639548941200006
C(-H)(=N),C,[H]C(C)=N,[H]C(C)=NN,[H]C(C)=NNC(=O)CCCC(C)O,[H]C(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)=NNC(=O)CCCC(C)O,[H]C(C)=NNC(=O)CCCC(C)(O)COC(=O)NCC(=O)O,[H]C(C)=NNC(=O)CC(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC(C)O,[H]C(C)=NNC(=O)CCCC(C)(O)COC(=O)NC(CCC(=O)O)C(=O)O,2.936555065243333,2.550574413933333,3.066404382101666,2.351315746258334
C(-H)(=N),C,[H]C(C)=N,[H]C(=N)CC1=CC=C2C=CC=CC2=C1,[H]C(=N)CC1=CC=C2C=CC(NC(C)C)=CC2=C1,[H]C(=N)CC1=C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C=C2C=CC(NC(C)C)=CC2=C1,[H]C(=N)CC1=CC=C2C=CC(NC(C)CCOC(=O)NCC(=O)O)=CC2=C1,[H]C(=N)CC1=CC=C2C=CC(NC(C)CCOC(=O)NC(CCCNC(=N)N)C(=O)O)=CC2=C1,[H]C(=N)C(COC(=O)NC(CCC(=O)O)C(=O)O)C1=CC=C2C=CC(NC(C)C)=CC2=C1,3.7452106970333334,3.2635916285533333,2.9024291087142857,3.4397342600950003
C(-H)(=N),C,[H]C(C)=N,[H]C(=N)CC1=CC=C2C=CC=CC2=C1,[H]C(=N)CC1=CC=C2C=CC=C(NCCCCC)C2=C1,[H]C(=N)CC1=CC=C2C=CC=C(NC(CCCC)COC(=O)NC(C(=O)O)C3=CC=CC=C3)C2=C1,[H]C(=N)CC1=CC=C2C=CC=C(NCCC(CC)COC(=O)NCC(=O)O)C2=C1,[H]C(=N)CC1=CC=C2C=CC(COC(=O)NC(CCCNC(=N)N)C(=O)O)=C(NCCCCC)C2=C1,[H]C(=N)CC1=CC(COC(=O)NC(CCC(=O)O)C(=O)O)=C2C=CC=C(NCCCCC)C2=C1,3.9435851846142853,3.015532562203333,3.4820209471727273,2.9189625307542855
C(-H)(=N),C,[H]C(C)=N,[H]C(=N)CC1=CC=C2C=CC=CC2=C1,[H]C(=N)CC1=CC=C2C(=C1)C=CC=C2C(C)F,[H]C(=N)CC1=C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C=C2C(=C1)C=CC=C2C(C)F,[H]C(=N)CC1=CC=C2C(=C1)C=C(COC(=O)NCC(=O)O)C=C2C(C)F,[H]C(=N)CC1=C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C=C2C(=C1)C=CC=C2C(C)F,[H]C(=N)CC1=CC=C2C(=C1)C=CC=C2C(C)(F)COC(=O)NC(CCC(=O)O)C(=O)O,3.3677080932,3.072887512467857,3.1675208750433335,3.021426644818333
C(N)(:C)(:N),C,CC(C)(N)N,CC(N)(N)CC1=CCCC1,CCCC(C)C1CC=C(CC(C)(N)N)C1,CCCC(C)C1CC=C(CC(C)(N)N)C1COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCC(C)(COC(=O)NCC(=O)O)C1CC=C(CC(C)(N)N)C1,CC(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC(C)C1CC=C(CC(C)(N)N)C1,CCCC(C)C1CC=C(CC(C)(N)N)C1COC(=O)NC(CCC(=O)O)C(=O)O,3.585012036580347,3.359632750867662,3.652230737725715,3.35163559271
