add_SMILES,starting_SMILES 3,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
O-C:C:C-O,C,CC(O)CCO,CC(CCO)OC(C)NC=O,CC(NC=O)OC(C)C(CO)C1CCCCC1,CC(NC=O)OC(C)C(CO)(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C1CCCCC1,CC(NC=O)OC(C)C(CO)(COC(=O)NCC(=O)O)C1CCCCC1,CC(NC=O)OC(C)(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(CO)C1CCCCC1,CC(NC=O)OC(C)C(C(O)COC(=O)NC(CCC(=O)O)C(=O)O)C1CCCCC1,3.1695340916,3.1775980702599997,3.414881712646666,3.12381476712
O-C:C:C-O,C,CC(O)CCO,CC(CCO)OC(C)NC=O,CC(CC(O)C(C)C=O)OC(C)NC=O,CC(CC(O)C(C)C=O)OC(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)NC=O,CC(NC=O)OC(CCOC(=O)NCC(=O)O)CC(O)C(C)C=O,CC(CC(O)C(C=O)CCOC(=O)NC(CCCNC(=N)N)C(=O)O)OC(C)NC=O,CC(CC(O)C(C)C=O)OC(C)NC(=O)COC(=O)NC(CCC(=O)O)C(=O)O,3.2046505232916664,3.0945840532199997,3.264508185884999,2.7745237242750003
O-C:C:C-O,C,CC(O)CCO,CC(CCO)OC(C)NC=O,CCNC(C)C(C)(NC=O)OC(C)CCO,CCNC(C)C(C)(NC=O)OC(C)(CCO)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCNC(C)(COC(=O)NCC(=O)O)C(C)(NC=O)OC(C)CCO,CCNC(C)C(C)(NC=O)OC(C)(CCO)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCNC(C)C(C)(NC=O)OC(C)(CCO)COC(=O)NC(CCC(=O)O)C(=O)O,3.5555410366416664,2.828028649135,3.428047792795,3.172469499895
O-C:C:C-O,C,CC(O)CCO,CC(O)CCOC1=C(N)C=C(O)C=C1,CCCNC1=CC(O)=CC(N)=C1OCCC(C)O,CC(O)CCOC1=C(N)C=C(O)C=C1NCCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCNC1=CC(O)=CC(N)=C1OCCC(C)(O)COC(=O)NCC(=O)O,CCCNC1=CC(O)=CC(N)=C1OCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)O,CC(O)CCOC1=C(N)C=C(O)C=C1NCC(C)COC(=O)NC(CCC(=O)O)C(=O)O,3.3970631065599988,3.578139824645713,3.287625718093333,2.9381914346399993
O-C:C:C-O,C,CC(O)CCO,CC(O)CCOC1=C(N)C=C(O)C=C1,NC1=C(OCCC(O)CC2=CC(Cl)=CC=C2O)C=CC(O)=C1,NC1=C(OC(COC(=O)NC(C(=O)O)C2=CC=CC=C2)CC(O)CC2=CC(Cl)=CC=C2O)C=CC(O)=C1,NC1=C(OCCC(O)CC2=CC(Cl)=CC=C2O)C(COC(=O)NCC(=O)O)=CC(O)=C1,N=C(N)NCCCC(NC(=O)OCC(C1=CC(Cl)=CC=C1O)C(O)CCOC1=C(N)C=C(O)C=C1)C(=O)O,NC1=C(OCCC(O)CC2=CC(Cl)=CC=C2OCOC(=O)NC(CCC(=O)O)C(=O)O)C=CC(O)=C1,3.1153770535960605,3.207121014978333,2.7963295354233333,2.729977766578333
O-C:C:C-O,C,CC(O)CCO,CC(O)CCOC1=C(N)C=C(O)C=C1,CC(I)OC(C)CCOC1=C(N)C=C(O)C=C1,CC(CCOC1=C(N)C=C(O)C=C1)OC(I)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(I)OC(C)(CCOC1=C(N)C=C(O)C=C1)COC(=O)NCC(=O)O,CC(CCOC1=C(N)C=C(O)C=C1)OC(I)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(I)OC(CCOC(=O)NC(CCC(=O)O)C(=O)O)CCOC1=C(N)C=C(O)C=C1,3.343165829153333,3.246991852313889,3.0674346992366663,2.381534879595
O-C:C:C-O,C,CC(O)CCO,CC(C)CC(CCO)OC(C)CCO,CC(CI)CC(CCO)OC(C)CCO,CC(CCO)OC(CCO)C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)CI,CC(CCO)OC(CCO)CC(C)(CI)COC(=O)NCC(=O)O,CC(CI)CC(CCO)OC(C)CCOCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(CI)CC(CCO)OC(C)CCOCOC(=O)NC(CCC(=O)O)C(=O)O,2.845475620241667,3.319189622863334,3.2278878409591023,2.908138932081667
O-C:C:C-O,C,CC(O)CCO,CC(C)CC(CCO)OC(C)CCO,CC(C)CC(CC(O)OC(C)C)OC(C)CCO,CC(C)CC(CC(O)OC(C)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)OC(C)CCO,CC(C)CC(CC(O)OC(C)CCOC(=O)NCC(=O)O)OC(C)CCO,CC(C)CC(CC(O)OC(C)CCOC(=O)NC(CCCNC(=N)N)C(=O)O)OC(C)CCO,CC(C)OC(O)CC(OC(C)CCO)C(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)C,3.2576483249793404,3.07966303354,2.9431865045800003,3.054979443005
O-C:C:C-O,C,CC(O)CCO,CC(C)CC(CCO)OC(C)CCO,CCC(CC)C(CO)C(C)OC(CCO)CC(C)C,CCC(CC)(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CO)C(C)OC(CCO)CC(C)C,CCC(CC)C(CO)C(C)OC(CC(C)C)C(CO)COC(=O)NCC(=O)O,CCC(CC)C(CO)C(C)OC(CCO)CC(C)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCC(CC)C(CO)C(C)(COC(=O)NC(CCC(=O)O)C(=O)O)OC(CCO)CC(C)C,3.5836210026695667,3.541938008690768,3.245522065693333,3.3460193344266664
Oc1c(N)cccc1,C,CC1=CC(O)=C(N)C=C1,CC1=CC(OC2(C)CCC(C)CC2)=C(N)C=C1,CC1=CC(OC2(C)CCC(C)(C3=CCCN3)CC2)=C(N)C=C1,CC1=CC(OC2(C)CCC(C)(C3=CCCN3)CC2)=C(N)C=C1COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC1=CC(OC2(C)CCC(C)(C3=CCCN3)CC2COC(=O)NCC(=O)O)=C(N)C=C1,CC1=CC(OC2(C)CCC(C)(C3=CCCN3)CC2COC(=O)NC(CCCNC(=N)N)C(=O)O)=C(N)C=C1,CC1=CC(OC2(C)CCC(C)(C3=CC(COC(=O)NC(CCC(=O)O)C(=O)O)CN3)CC2)=C(N)C=C1,3.7035972754676187,4.299462714163214,4.0849893761084415,3.4425695779533334
Oc1c(N)cccc1,C,CC1=CC(O)=C(N)C=C1,CC1=CC(OC2(C)CCC(C)CC2)=C(N)C=C1,CC1=CC(OC2(C)CCC(C)C(C(N)C=O)C2)=C(N)C=C1,CC1=CC(OC2(C)CCC(C)C(C(N)C=O)C2)=C(N)C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)=C1,CC1=CC(OC2(C)CCC(C)C(C(N)C(=O)COC(=O)NCC(=O)O)C2)=C(N)C=C1,CC1=CC(OC2(C)CCC(C)C(C(N)C=O)C2)=C(N)C=C1COC(=O)NC(CCCNC(=N)N)C(=O)O,CC1=CC(OC2(C)CCC(C)C(COC(=O)NC(CCC(=O)O)C(=O)O)(C(N)C=O)C2)=C(N)C=C1,3.4987846433699494,3.57010336092,3.2621193737133325,3.0437623436283334
Oc1c(N)cccc1,C,CC1=CC(O)=C(N)C=C1,CC1=CC(OC2(C)CCC(C)CC2)=C(N)C=C1,CC1=CC(OC2(C)CCC(C)CC2)=C(N)C=C1CCN,CC1=CC(OC2(C)CCC(C)CC2)=C(N)C=C1CC(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC1=CC(OC2(C)CCC(C)CC2)=C(N)C=C1CCNCOC(=O)NCC(=O)O,CC1=CC(OC2(C)CCC(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)CC2)=C(N)C=C1CCN,CC1=CC(OC2(C)CCC(C)C(COC(=O)NC(CCC(=O)O)C(=O)O)C2)=C(N)C=C1CCN,3.537815366195346,3.762987299452381,3.5599337985333337,3.436547742128334
Oc1c(N)cccc1,C,CC1=CC(O)=C(N)C=C1,[H]CNNC1=C(O)C=C(C)C=C1,[H]CNNC1=C(O)C(C(C)OCC)=C(C)C=C1,[H]CNNC1=C(O)C(C(C)OCC)=C(C)C=C1COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]CNNC1=C(O)C(C(CCOC(=O)NCC(=O)O)OCC)=C(C)C=C1,[H]CN(COC(=O)NC(CCCNC(=N)N)C(=O)O)NC1=C(O)C(C(C)OCC)=C(C)C=C1,[H]CNNC1=C(O)C(C(C)OCC)=C(CCOC(=O)NC(CCC(=O)O)C(=O)O)C=C1,3.4518888880249987,3.6457787094457146,3.13912327066,2.84505907826
