SMILES_added,SMILES_got
C(H)(N),[H]C(C)N
O=C-C-C-O,[H]C(C)(N)C(O)CC=O
C-C=C-C:C,[H]C(N)(CC(C)=CCC)C(O)CC=O
Cl-C:C-C,[H]C(N)(CC(C)=CCCCCCCl)C(O)CC=O
C-C-C:C-C,[H]C(N)(CC(C)=CC(CCCCCl)C(C)CCC)C(O)CC=O
Cl-C-C-O,[H]C(N)(CC(C)=CC(CCCCCl)C(C)CCC)C(O)C(C=O)C(O)CCl
C=C,[H]C(N)(C(C=C)C(C)=CC(CCCCCl)C(C)CCC)C(O)C(C=O)C(O)CCl
C(H)(H)(H),[H]C([H])([H])C=CC(C(C)=CC(CCCCCl)C(C)CCC)C([H])(N)C(O)C(C=O)C(O)CCl
N(H)(:C),[H]NCC(Cl)C(O)C(C=O)C(O)C([H])(N)C(C=CC([H])([H])[H])C(C)=CC(CCCCCl)C(C)CCC
N(-C)(=C),[H]NCC(Cl)C(O)C(C=O)C(O)C([H])(N)C(C(C)=CC(CCCCCl)C(C)CCC)C(=CC([H])([H])[H])CN=C
