add_SMILES,starting_SMILES 5,starting_SMILES 4,starting_SMILES 3,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C(C)(I),C,CC(C)I,CC(I)CC1(C)CCCCC1Cl,CCCCCC1CCC(Cl)C(C)(CC(C)I)C1,CC(I)CC1(C)CC(CCCC(C)CCCN)CCC1Cl,[H]C=NC(C(C)I)C1(C)CC(CCCC(C)CCCN)CCC1Cl,[H]C=NC(C(C)I)C1(C)CC(CCCC(C)CCCNCOC(=O)NC(C(=O)O)C2=CC=CC=C2)CCC1Cl,[H]C=NC(C(C)I)C1(C)CC(CCCC(C)C(CCN)COC(=O)NCC(=O)O)CCC1Cl,[H]C=NC(C(I)CCOC(=O)NC(CCCNC(=N)N)C(=O)O)C1(C)CC(CCCC(C)CCCN)CCC1Cl,[H]C=NC(C(C)I)C1(C)CC(CCCC(C)CCCN)C(COC(=O)NC(CCC(=O)O)C(=O)O)CC1Cl,4.591660438424801,4.168131966960357,4.146667026869404,4.111722973700357
C(C)(I),C,CC(C)I,CC(I)CC1(C)CCCCC1Cl,CCCCCC1CCC(Cl)C(C)(CC(C)I)C1,CC(I)CC1(C)CC(CCCC(C)CCCN)CCC1Cl,CC(I)CC1(C)CC(CCCC(C)CCCNCN(C)C)CCC1Cl,CC(I)CC1(C)CC(CCCC(CCCNCN(C)C)CCOC(=O)NC(C(=O)O)C2=CC=CC=C2)CCC1Cl,CC(I)CC1(C)CC(CCCC(C)CCCNCN(C)C)CC(COC(=O)NCC(=O)O)C1Cl,CC(I)CC1(C)CC(CCCC(C)CCCNCN(C)CCOC(=O)NC(CCCNC(=N)N)C(=O)O)CCC1Cl,CC(I)CC1(C)CC(CCCC(C)(CCCNCN(C)C)COC(=O)NC(CCC(=O)O)C(=O)O)CCC1Cl,4.867684037718016,4.11654916876369,3.945602421449405,3.8260807872119047
C(C)(I),C,CC(C)I,CC(I)CC1(C)CCCCC1Cl,CC(I)CC1(C)CC(C2=C(Cl)C=CC=C2Cl)CCC1Cl,CC=C(CC)C1=C(Cl)C(C2CCC(Cl)C(C)(CC(C)I)C2)=C(Cl)C=C1,CC=C(CC)C1=C(Cl)C(C2CCC(Cl)C(C)(CC(C)(I)C3(O)CCCC(O)C3)C2)=C(Cl)C=C1,CC=C(CC)C1=C(Cl)C(C2CCC(Cl)C(C)(CC(C)(I)C3(O)CCC(COC(=O)NC(C(=O)O)C4=CC=CC=C4)C(O)C3)C2)=C(Cl)C=C1,CC=C(CC)C1=C(Cl)C(C2CCC(Cl)C(C)(CC(C)(I)C3(OCOC(=O)NCC(=O)O)CCCC(O)C3)C2)=C(Cl)C=C1,CC=C(CCCOC(=O)NC(CCCNC(=N)N)C(=O)O)C1=C(Cl)C(C2CCC(Cl)C(C)(CC(C)(I)C3(O)CCCC(O)C3)C2)=C(Cl)C=C1,CC=C(CC)C1=C(Cl)C(C2CCC(Cl)C(C)(CC(C)(I)C3(O)CCCC(O)(COC(=O)NC(CCC(=O)O)C(=O)O)C3)C2)=C(Cl)C=C1,4.052528408791905,4.170510332722857,3.9061444226985715,1.8032173888319047
C(C)(I),C,CC(C)I,CC(I)CC1(C)CCCCC1Cl,CC(I)CC1(C)CC(C2=C(Cl)C=CC=C2Cl)CCC1Cl,CC=C(CC)C1=C(Cl)C(C2CCC(Cl)C(C)(CC(C)I)C2)=C(Cl)C=C1,CC=C(CC)C1=C(Cl)C(C2CCC(Cl)C(CCC3=CC=C(Cl)C=C3)(CC(C)I)C2)=C(Cl)C=C1,CCC(=C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1)C1=C(Cl)C(C2CCC(Cl)C(CCC3=CC=C(Cl)C=C3)(CC(C)I)C2)=C(Cl)C=C1,CC=C(CC)C1=C(Cl)C(C2CCC(Cl)C(CCC3=CC(COC(=O)NCC(=O)O)=C(Cl)C=C3)(CC(C)I)C2)=C(Cl)C=C1,CCC(=CCCOC(=O)NC(CCCNC(=N)N)C(=O)O)C1=C(Cl)C(C2CCC(Cl)C(CCC3=CC=C(Cl)C=C3)(CC(C)I)C2)=C(Cl)C=C1,CC=C(CC)C1=C(Cl)C(C2CCC(Cl)C(CC(C)I)(CC(COC(=O)NC(CCC(=O)O)C(=O)O)C3=CC=C(Cl)C=C3)C2)=C(Cl)C=C1,4.3846152139142855,3.944901784640358,4.069089736362857,4.324022923294286
C(C)(I),C,CC(C)I,CC(I)CC1(C)CCCCC1Cl,CC(I)CC1(C)CC(C2=C(Cl)C=CC=C2Cl)CCC1Cl,CCC(CO)C(C)(I)CC1(C)CC(C2=C(Cl)C=CC=C2Cl)CCC1Cl,[H]N(C)CC(CC)(CO)C(C)(I)CC1(C)CC(C2=C(Cl)C=CC=C2Cl)CCC1Cl,[H]N(C)CC(CO)(C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)(I)CC1(C)CC(C2=C(Cl)C=CC=C2Cl)CCC1Cl,[H]N(C)CC(CC)(C(O)COC(=O)NCC(=O)O)C(C)(I)CC1(C)CC(C2=C(Cl)C=CC=C2Cl)CCC1Cl,[H]N(C)CC(CO)(CCCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)(I)CC1(C)CC(C2=C(Cl)C=CC=C2Cl)CCC1Cl,[H]N(C)C(COC(=O)NC(CCC(=O)O)C(=O)O)C(CC)(CO)C(C)(I)CC1(C)CC(C2=C(Cl)C=CC=C2Cl)CCC1Cl,4.351651108042857,3.9428116031,3.6682791491440256,3.812831018631904
C(C)(I),C,CC(C)I,CC(I)CC1(C)CCCCC1Cl,CC(I)CC1(C)CC(C2=C(Cl)C=CC=C2Cl)CCC1Cl,CCC(CO)C(C)(I)CC1(C)CC(C2=C(Cl)C=CC=C2Cl)CCC1Cl,CCC(CO)C(C)(I)CC1(C)CC(C2=C(Cl)C=CC=C2Cl)(C(C=O)CCN)CCC1Cl,CCC(CO)C(C)(I)CC1(CCOC(=O)NC(C(=O)O)C2=CC=CC=C2)CC(C2=C(Cl)C=CC=C2Cl)(C(C=O)CCN)CCC1Cl,CCC(CO)C(C)(I)CC1(C)CC(C2=C(Cl)C=CC=C2Cl)(C(C=O)C(CN)COC(=O)NCC(=O)O)CCC1Cl,CCC(CO)C(C)(I)CC1(C)CC(C2=C(Cl)C=CC=C2Cl)(C(C=O)CCN)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC1Cl,CCC(COCOC(=O)NC(CCC(=O)O)C(=O)O)C(C)(I)CC1(C)CC(C2=C(Cl)C=CC=C2Cl)(C(C=O)CCN)CCC1Cl,3.7954598249069043,3.800331018631904,3.7233444226985712,3.4407027993973593
C(C)(I),C,CC(C)I,CC(I)CCC1CCC(C)C1,COCC(CCCO)CC(I)CCC1CCC(C)C1,C=CC(OC)C1CC(CCC(I)CC(CCCO)COC)CC1C,C=CC(OC)C1CC(CCC(I)CC(CCCO)COC)(C2(C)CCC(C)C2)CC1C,C=CC(OC)C1CC(CCC(I)CC(CCCO)COC)(C2(C)CC(C)C(COC(=O)NC(C(=O)O)C3=CC=CC=C3)C2)CC1C,C=CC(OC)C1CC(CCC(I)CC(CCCO)COC)(C2(CCOC(=O)NCC(=O)O)CCC(C)C2)CC1C,C=CC(OC)C1CC(CCC(I)CC(CCCO)COCCOC(=O)NC(CCCNC(=N)N)C(=O)O)(C2(C)CCC(C)C2)CC1C,C=CC(OC)C1CC(CCC(I)CC(CCCO)COC)(C2(C)CCC(CCOC(=O)NC(CCC(=O)O)C(=O)O)C2)CC1C,4.901083115414286,4.860421097545238,4.232580485723571,4.2175804857235715
C(C)(I),C,CC(C)I,CC(I)CCC1CCC(C)C1,COCC(CCCO)CC(I)CCC1CCC(C)C1,C=CC(OC)C1CC(CCC(I)CC(CCCO)COC)CC1C,C=CC(OC)C1CC(CC(C(I)CC(CCCO)COC)C(C)OCC)CC1C,C=CC(OC)C1CC(CC(C(I)CC(CCCO)COC)C(C)OCC)CC1CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,C=CC(OC)C1CC(C(COC(=O)NCC(=O)O)C(C(I)CC(CCCO)COC)C(C)OCC)CC1C,C=CC(OC)C1CC(C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C(I)CC(CCCO)COC)C(C)OCC)CC1C,C=CC(OC)C1CC(COC(=O)NC(CCC(=O)O)C(=O)O)(CC(C(I)CC(CCCO)COC)C(C)OCC)CC1C,4.657605171209285,4.602182775865239,4.044667026869405,4.723303982498571
C(C)(I),C,CC(C)I,CC(I)CCC1CCC(C)C1,COCC(CCCO)CC(I)CCC1CCC(C)C1,COCC(CCCO)CC(I)CC(NC(C)=O)C1CCC(C)C1,COCC(CCCO)CC(I)CC(NC(C)=O)C1CC(C)C(NCCCN)C1,COCC(CC(I)CC(NC(C)=O)C1CC(C)C(NCCCN)C1)C(CCO)COC(=O)NC(C(=O)O)C1=CC=CC=C1,COCC(CCCO)CC(I)CC(COC(=O)NCC(=O)O)(NC(C)=O)C1CC(C)C(NCCCN)C1,COCC(CCCO)CC(I)CC(NC(C)=O)C1CC(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(NCCCN)C1,COCC(CCCOCOC(=O)NC(CCC(=O)O)C(=O)O)CC(I)CC(NC(C)=O)C1CC(C)C(NCCCN)C1,3.775550846000995,4.257515100243333,4.078826199151904,3.8500761991519044
C(C)(I),C,CC(C)I,CC(I)CCC1CCC(C)C1,COCC(CCCO)CC(I)CCC1CCC(C)C1,COCC(CCCO)CC(I)CC(NC(C)=O)C1CCC(C)C1,CCCC1CC(C)CC1C(CC(I)CC(CCCO)COC)NC(C)=O,CCCC1(COC(=O)NC(C(=O)O)C2=CC=CC=C2)CC(C)CC1C(CC(I)CC(CCCO)COC)NC(C)=O,CCCC1CC(C)CC1C(CC(I)CC(COC)CC(CO)COC(=O)NCC(=O)O)NC(C)=O,CCCC1CC(C)(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC1C(CC(I)CC(CCCO)COC)NC(C)=O,CCCC1CC(C)CC1(COC(=O)NC(CCC(=O)O)C(=O)O)C(CC(I)CC(CCCO)COC)NC(C)=O,4.097852748865238,4.229519435306449,4.416484742031905,3.968778530863333
