add_SMILES,starting_SMILES 5,starting_SMILES 4,starting_SMILES 3,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C:N:C-C,C,CNC(C)C,CNC(C)(C)CCN,CC(N)CCNC(C)(C)CCN,CC(N)C(CCN)CNC(C)(C)CCN,CC=CC(=O)C(CCN)(CNC(C)(C)CCN)C(C)N,CC=CC(=O)C(CCN)(CNC(C)(C)CCN)C(C)NCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC=CC(=O)C(CCN)(CNC(C)(C)CCN)C(C)NCOC(=O)NCC(=O)O,CC=CC(=O)C(CCN)(CNC(C)(C)CCN)C(C)NCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC=C(COC(=O)NC(CCC(=O)O)C(=O)O)C(=O)C(CCN)(CNC(C)(C)CCN)C(C)N,3.5951477846634967,3.2247781866050005,3.1295308577349994,2.9793615512683336
C:N:C-C,C,CNC(C)C,CNC(C)(C)CCN,CC(N)CCNC(C)(C)CCN,CC(N)C(CCN)CNC(C)(C)CCN,CC(N)C(CNC(C)(C)CCN)CC(N)C(=O)CN,CC(N)C(CNC(C)(C)C(CN)COC(=O)NC(C(=O)O)C1=CC=CC=C1)CC(N)C(=O)CN,CC(C)(CCN)NCC(CC(N)C(=O)CN)C(C)(N)COC(=O)NCC(=O)O,CC(C)(CCN)NCC(CC(N)C(=O)CN)C(C)(N)COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(N)C(CNC(C)(CCN)CCOC(=O)NC(CCC(=O)O)C(=O)O)CC(N)C(=O)CN,3.3059614119477274,3.278299446326666,3.15423063246,3.1661750147600003
C:N:C-C,C,CNC(C)C,CNC(C)(C)CCN,CC(N)CCNC(C)(C)CCN,CC(N)CCNC(C)(C)CCNC1(C)CCC(C)C1,[H]N(C)CC(C)(N)CCNC(C)(C)CCNC1(C)CCC(C)C1,[H]N(C)CC(C)(N)CCN(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)(C)CCNC1(C)CCC(C)C1,[H]N(C)CC(N)(CCNC(C)(C)CCNC1(C)CCC(C)C1)CCOC(=O)NCC(=O)O,[H]N(C)CC(C)(N)CCNC(C)(C)CCNC1(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)CCC(C)C1,[H]N(C)CC(C)(N)CCNC(C)(C)CCN(COC(=O)NC(CCC(=O)O)C(=O)O)C1(C)CCC(C)C1,3.979591873732013,2.8866832534309523,4.253977283545238,3.910772710821212
C:N:C-C,C,CNC(C)C,CNC(C)(C)CCN,CC(N)CCNC(C)(C)CCN,CC(N)CCNC(C)(C)CCNC1(C)CCC(C)C1,CCCC(CC)CC(C)(CCNC1(C)CCC(C)C1)NCCC(C)N,CCCC(CC)CC(C)(CCNC1(C)CCC(C)C1)NCCC(C)NCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCC(CC)(COC(=O)NCC(=O)O)CC(C)(CCNC1(C)CCC(C)C1)NCCC(C)N,CCC(CC(C)COC(=O)NC(CCCNC(=N)N)C(=O)O)CC(C)(CCNC1(C)CCC(C)C1)NCCC(C)N,CCCC(CC)CC(C)(CCNC1(C)CC(C)C(COC(=O)NC(CCC(=O)O)C(=O)O)C1)NCCC(C)N,4.514632898513389,4.019658667730953,4.127190661114069,3.9739325280976194
C:N:C-C,C,CNC(C)C,CNC(C)(C)CCN,CNC(C)(C)CC(N)CC1CCCCC1N,CC(C)(CC(N)CC1CCCCC1N)NCC(CN)CN,CC(C)(CC(N)CC1CCCCC1N)NCC(CN)CNC(=O)O,CC(C)(CC(N)CC1CCCCC1(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1)NCC(CN)CNC(=O)O,CC(C)(CC(N)CC1CCCCC1N)NCC(CN)CN(COC(=O)NCC(=O)O)C(=O)O,CC(C)(CC(N)CC1CCCCC1N)N(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC(CN)CNC(=O)O,CC(C)(CC(N)CC1CCCC(COC(=O)NC(CCC(=O)O)C(=O)O)C1N)NCC(CN)CNC(=O)O,3.025489875201299,2.3664399557599998,3.693882262068571,2.6674860119800003
C:N:C-C,C,CNC(C)C,CNC(C)(C)CCN,CNC(C)(C)CC(N)CC1CCCCC1N,CC(C)(CC(N)CC1CCCCC1N)NCC(CN)CN,CC(N)C(CCCO)C1CCC(N)C(CC(N)CC(C)(C)NCC(CN)CN)C1,CC(N)C(CCCO)C1CC(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C(N)C(CC(N)CC(C)(C)NCC(CN)CN)C1,CC(N)C(CCCO)C1CCC(N)C(COC(=O)NCC(=O)O)(CC(N)CC(C)(C)NCC(CN)CN)C1,CC(N)C(CCCO)C1CC(CC(N)CC(C)(C)NCC(CN)CN)C(N)CC1COC(=O)NC(CCCNC(=N)N)C(=O)O,CC(N)C(CCCO)C1CCC(N)C(CC(N)CC(C)(CCOC(=O)NC(CCC(=O)O)C(=O)O)NCC(CN)CN)C1,3.7105598585928576,3.7876283037485705,3.8513254511985706,3.528256247778571
C:N:C-C,C,CNC(C)C,CNC(C)(C)CCN,CNC(C)(C)CC(N)CC1CCCCC1N,CNCCC1(CC(N)CC(C)(C)NC)CCCCC1N,CCNCNN(C)CCC1(CC(N)CC(C)(C)NC)CCCCC1N,CNC(C)(C)CC(N)CC1(CCN(C)NCNCCCOC(=O)NC(C(=O)O)C2=CC=CC=C2)CCCCC1N,CCNCN(COC(=O)NCC(=O)O)N(C)CCC1(CC(N)CC(C)(C)NC)CCCCC1N,CCNCNN(C)CCC1(CC(CC(C)(C)NC)NCOC(=O)NC(CCCNC(=N)N)C(=O)O)CCCCC1N,CCNCNN(C)CCC1(CC(N)CC(C)(C)NCCOC(=O)NC(CCC(=O)O)C(=O)O)CCCCC1N,4.575077645421299,4.36317646512,4.511602296616667,3.958345194382738
C:N:C-C,C,CNC(C)C,CNC(C)(C)CCN,CNC(C)(C)CC(N)CC1CCCCC1N,CNCCC1(CC(N)CC(C)(C)NC)CCCCC1N,CNCCC1(CC(N)C(C=C(C)N)C(C)(C)NC)CCCCC1N,CNCCC1(CC(N)C(C=C(C)N)C(C)(C)N(C)COC(=O)NC(C(=O)O)C2=CC=CC=C2)CCCCC1N,CNCCC1(CC(N)C(C(COC(=O)NCC(=O)O)=C(C)N)C(C)(C)NC)CCCCC1N,CNCCC1(CC(NCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(C=C(C)N)C(C)(C)NC)CCCCC1N,CNCCC1(CC(N)C(C=C(C)N)C(C)(C)NC)CCC(COC(=O)NC(CCC(=O)O)C(=O)O)CC1N,4.301593289037013,4.316333677539999,4.358071112136667,3.7816981785733335
C:N:C-C,C,CNC(C)C,CC(C)NCCN(C)C,COCC(N)CC(C)NCCN(C)C,[H]N(N)C(C(N)COC)C(C)NCCN(C)C,[H]N(N)C(C(N)COCCCCC=O)C(C)NCCN(C)C,[H]N(N)C(C(N)COCCCCC=O)C(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)NCCN(C)C,[H]N(N)C(COC(=O)NCC(=O)O)(C(N)COCCCCC=O)C(C)NCCN(C)C,[H]N(N)C(C(N)COCCC(CC=O)COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)NCCN(C)C,[H]N(N)C(C(C)NCCN(C)C)C(N)C(COC(=O)NC(CCC(=O)O)C(=O)O)OCCCCC=O,3.9678681590266662,3.6767737878107143,3.677961607416825,3.2495599377
C:N:C-C,C,CNC(C)C,CC(C)NCCN(C)C,COCC(N)CC(C)NCCN(C)C,[H]N(N)C(C(N)COC)C(C)NCCN(C)C,[H]N(N)C(C(N)COC)(C(Cl)CC=O)C(C)NCCN(C)C,[H]N(NCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C(N)COC)(C(Cl)CC=O)C(C)NCCN(C)C,[H]N(N)C(C(N)COC)(C(Cl)CC=O)C(C)NCCN(C)CCOC(=O)NCC(=O)O,[H]N(N)C(C(N)COC)(C(Cl)CC(=O)COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)NCCN(C)C,[H]N(N)C(C(Cl)CC=O)(C(C)NCCN(C)C)C(N)C(COC(=O)NC(CCC(=O)O)C(=O)O)OC,3.895127605246666,3.611621854845714,3.6857565458123807,3.2317905830266667
