add_SMILES,starting_SMILES 5,starting_SMILES 4,starting_SMILES 3,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
O-C-C-C-C-C-C,C,CCCC(C)CCO,CCCC(C)C(CO)CNO,CC(CCCC(=O)NN)C(CO)CNO,CCN(C)C(CC(=O)NN)CC(C)C(CO)CNO,CCCCCC(C(=O)NN)C(CC(C)C(CO)CNO)N(C)CC,CCCCCC(C(=O)NN)C(C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)C(CO)CNO)N(C)CC,CCCCCC(C(=O)NN)C(CC(CCOC(=O)NCC(=O)O)C(CO)CNO)N(C)CC,CCCCCC(C(=O)NN)C(C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)C(CO)CNO)N(C)CC,CCCCCC(C(=O)NN)C(CC(CCOC(=O)NC(CCC(=O)O)C(=O)O)C(CO)CNO)N(C)CC,3.9532242959702266,3.464093778493333,3.4458245399599994,3.156391588326666
O-C-C-C-C-C-C,C,CCCC(C)CCO,CCCC(C)C(CO)CNO,CC(CCCC(=O)NN)C(CO)CNO,CCN(C)C(CC(=O)NN)CC(C)C(CO)CNO,[H]C=NC(C(C)C(CO)CNO)C(CC(=O)NN)N(C)CC,[H]C=NC(C(C)C(CO)CNO)C(CC(=O)N(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1)N(C)CC,[H]C=NC(C(C)C(CO)CNO)C(COC(=O)NCC(=O)O)(CC(=O)NN)N(C)CC,[H]C=NC(C(C)C(CO)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)NO)C(CC(=O)NN)N(C)CC,[H]C=NC(C(C)C(CO)CN(O)COC(=O)NC(CCC(=O)O)C(=O)O)C(CC(=O)NN)N(C)CC,3.5996362521000003,3.5582333149,3.22836672522,3.13455965568
O-C-C-C-C-C-C,C,CCCC(C)CCO,CCCC(C)C(CO)CNO,CC(CCCC(=O)NN)C(CO)CNO,CCNC(CC(=O)NN)CC(C)C(CO)CNO,COC(C=O)CCNC(CC(=O)NN)CC(C)C(CO)CNO,COC(C=O)CCNC(CC(=O)NN)C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)C(CO)CNO,COC(C=O)CCNC(CC(=O)NN)CC(C)C(CO)CN(O)COC(=O)NCC(=O)O,COC(C=O)CCNC(COC(=O)NC(CCCNC(=N)N)C(=O)O)(CC(=O)NN)CC(C)C(CO)CNO,COC(C=O)CCNC(COC(=O)NC(CCC(=O)O)C(=O)O)(CC(=O)NN)CC(C)C(CO)CNO,3.2765340916,2.9594967874401585,3.180263387613333,3.192332948693333
O-C-C-C-C-C-C,C,CCCC(C)CCO,CCCC(C)C(CO)CNO,CC(CCCC(=O)NN)C(CO)CNO,CCNC(CC(=O)NN)CC(C)C(CO)CNO,CCNC(CC(=O)NN)CC(C)C(CO)CNOC(O)CCCCO,CCNC(CC(=O)NN)CC(C)C(CO)CNOC(O)C(CCCO)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(CC(CC(=O)NN)NCCCOC(=O)NCC(=O)O)C(CO)CNOC(O)CCCCO,CCNC(CC(=O)NN)CC(C)(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(CO)CNOC(O)CCCCO,CCNC(CC(=O)NN)CC(C)C(CO)C(COC(=O)NC(CCC(=O)O)C(=O)O)NOC(O)CCCCO,3.0691860838060605,3.025593117933333,3.11294074422,3.0753237994533333
O-C-C-C-C-C-C,C,CCCC(C)CCO,CCCC(C)C(CO)CNO,CCCCCC(CO)ONCC(CO)C(C)CCC,CCCCCC(CO)ONCC(C(C)CCC)C(O)C(CC)CCl,CCCCCC(ONCC(C(C)CCC)C(O)C(CC)CCl)C(O)OCCCCCNC,CCCCCC(ONCC(C(C)CCC)C(O)C(CC)CCl)C(O)OCCCCC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)NC,CCCCCC(ONCC(C(C)CCC)C(O)C(CCl)CCCOC(=O)NCC(=O)O)C(O)OCCCCCNC,CCCCCC(ONCC(C(C)CCC)C(OCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(CC)CCl)C(O)OCCCCCNC,CCCCCC(ONCC(COC(=O)NC(CCC(=O)O)C(=O)O)(C(C)CCC)C(O)C(CC)CCl)C(O)OCCCCCNC,4.087206497181905,4.396352728148572,4.382942857049782,3.372208503693333
O-C-C-C-C-C-C,C,CCCC(C)CCO,CCCC(C)C(CO)CNO,CCCCCC(CO)ONCC(CO)C(C)CCC,CCCCCC(CO)ONCC(C(C)CCC)C(O)C(CC)CCl,CCCCCC(COCC(C)C)ONCC(C(C)CCC)C(O)C(CC)CCl,CCCC(C)C(CNOC(CCC(CC)COC(=O)NC(C(=O)O)C1=CC=CC=C1)COCC(C)C)C(O)C(CC)CCl,CCCCCC(COCC(C)C)ONCC(C(CCC)CCOC(=O)NCC(=O)O)C(O)C(CC)CCl,CCCCCC(COCC(C)C)ONC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C(C)CCC)C(O)C(CC)CCl,CCCCCC(COCC(C)C)ONCC(C(O)C(CC)CCl)C(C)(CCC)COC(=O)NC(CCC(=O)O)C(=O)O,4.555044208028571,4.362533352375238,3.513073809548571,3.6073049582085708
O-C-C-C-C-C-C,C,CCCC(C)CCO,CCCC(C)C(CO)CNO,CCCCCC(CO)ONCC(CO)C(C)CCC,CCCCCC(CO)ONCC(CO)C(C)C(CC)CCCCl,CCCCCC(ONCC(CO)C(C)C(CC)CCCCl)C(O)NO,CCCC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)CC(ONCC(CO)C(C)C(CC)CCCCl)C(O)NO,CCCCCC(ONCC(CO)C(CCOC(=O)NCC(=O)O)C(CC)CCCCl)C(O)NO,CCCCCC(ONCC(CO)C(C)C(CC)C(CCCl)COC(=O)NC(CCCNC(=N)N)C(=O)O)C(O)NO,CCCCCC(ONCC(CO)C(C)C(CC)CCCCl)C(O)N(O)COC(=O)NC(CCC(=O)O)C(=O)O,3.3935097948346318,3.6673527488652375,3.323749553919783,3.1022125635512117
O-C-C-C-C-C-C,C,CCCC(C)CCO,CCCC(C)C(CO)CNO,CCCCCC(CO)ONCC(CO)C(C)CCC,CCCCCC(CO)ONCC(CO)C(C)C(CC)CCCCl,CCC(CC)C(CC)CCC(CO)ONCC(CO)C(C)C(CC)CCCCl,CCC(CC)C(CC)CC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CO)ONCC(CO)C(C)C(CC)CCCCl,CCC(CC)C(CC)CCC(CO)(COC(=O)NCC(=O)O)ONCC(CO)C(C)C(CC)CCCCl,CCC(CC)C(CC)CCC(COCOC(=O)NC(CCCNC(=N)N)C(=O)O)ONCC(CO)C(C)C(CC)CCCCl,CCC(CC)C(CC)CCC(CO)ONCC(C(O)COC(=O)NC(CCC(=O)O)C(=O)O)C(C)C(CC)CCCCl,4.4291427389585705,3.9818989384426735,4.090349679448571,4.00447134593645
O-C-C-C-C-C-C,C,CCCC(C)CCO,CCCNCCC(CCC)CCO,CCCNC(CC(CCC)CCO)C(C)CCl,CCCNC(CC(CCO)C(CC)COCCCl)C(C)CCl,CCCNC(C(C)CCl)C(CC(C)N)C(CCO)C(CC)COCCCl,CCCNC(C(C)CCl)C(CC(C)NCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CCO)C(CC)COCCCl,CCCNC(C(C)CCl)C(CC(C)N)C(CC(O)COC(=O)NCC(=O)O)C(CC)COCCCl,CCCNC(C(C)CCl)C(CC(C)N)C(CCO)C(CC)COC(CCl)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCCN(COC(=O)NC(CCC(=O)O)C(=O)O)C(C(C)CCl)C(CC(C)N)C(CCO)C(CC)COCCCl,4.706325616736072,4.014912220726666,3.865159532485238,3.9098451584852376
O-C-C-C-C-C-C,C,CCCC(C)CCO,CCCNCCC(CCC)CCO,CCCNC(CC(CCC)CCO)C(C)CCl,CCCNC(CC(CCO)C(CC)COCCCl)C(C)CCl,[H]C(=C)CC(CC)NC(CC(CCO)C(CC)COCCCl)C(C)CCl,[H]C(=C)C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CC)NC(CC(CCO)C(CC)COCCCl)C(C)CCl,[H]C(=C)CC(CC)NC(CC(CCO)C(CC)(COCCCl)COC(=O)NCC(=O)O)C(C)CCl,[H]C(=C)CC(CC)NC(CC(CCOCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(CC)COCCCl)C(C)CCl,[H]C(=C)CC(CC)NC(CC(CC(O)COC(=O)NC(CCC(=O)O)C(=O)O)C(CC)COCCCl)C(C)CCl,4.811538775038571,4.728403072619999,4.554412490548572,3.344450283199329
