add_SMILES,starting_SMILES 5,starting_SMILES 4,starting_SMILES 3,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
O=C-C:C-C,C,CCCC(C)=O,[H]C(O)OC(CC)C(C)=O,[H]C(OC(CC)CC)OC(CC)C(C)=O,[H]C(OC(CC)CC)(OC(CC)C(C)=O)N(CC)NC,[H]C(OC(CC)CC)(OC(CC)C(=O)CC(C)NCC)N(CC)NC,[H]C(OC(CC)CC)(OC(C(=O)CC(C)NCC)C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1)N(CC)NC,[H]C(OC(CC)C(=O)CC(C)NCC)(OC(CC)(CC)COC(=O)NCC(=O)O)N(CC)NC,[H]C(OC(CC)CC)(OC(CC)C(=O)CC(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)NCC)N(CC)NC,[H]C(OC(CC)CCCOC(=O)NC(CCC(=O)O)C(=O)O)(OC(CC)C(=O)CC(C)NCC)N(CC)NC,3.9998610641054007,3.4790633587130158,3.432046888161904,3.178871863126666
O=C-C:C-C,C,CCCC(C)=O,[H]C(O)OC(CC)C(C)=O,[H]C(OC(CC)CC)OC(CC)C(C)=O,[H]C(OC(CC)CC)(OC(CC)C(C)=O)N(CC)NC,[H]C(OC(CC)CC)(OC(C(C)=O)C(C)C(=CC)CC)N(CC)NC,[H]C(OC(CC)CC)(OC(C(C)=O)C(C)C(=CCCOC(=O)NC(C(=O)O)C1=CC=CC=C1)CC)N(CC)NC,[H]C(OC(CC)CC)(OC(C(C)=O)C(C)(COC(=O)NCC(=O)O)C(=CC)CC)N(CC)NC,[H]C(OC(CC)CC)(OC(COC(=O)NC(CCCNC(=N)N)C(=O)O)(C(C)=O)C(C)C(=CC)CC)N(CC)NC,[H]C(OC(CC)CC)(OC(C(=O)CCOC(=O)NC(CCC(=O)O)C(=O)O)C(C)C(=CC)CC)N(CC)NC,4.039617927161299,3.973667250250769,3.5215575997907687,3.35663027862
O=C-C:C-C,C,CCCC(C)=O,[H]C(O)OC(CC)C(C)=O,[H]C(OC(CC)CC)OC(CC)C(C)=O,[H]C(OC(CC)C(C)=O)OC(CC)(CC)C(CC)CCN,[H]C(OC(CC)C(C)=O)OC(CC)(CC)C(CCN)CCCI,[H]C(OC(CCCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)=O)OC(CC)(CC)C(CCN)CCCI,[H]C(OC(CC)C(C)=O)OC(CC)(CC)C(CCN)(CCCI)COC(=O)NCC(=O)O,[H]C(OC(CC)C(C)=O)OC(CC)(CCCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(CCN)CCCI,[H]C(OC(CC)(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)=O)OC(CC)(CC)C(CCN)CCCI,3.6322143393244053,4.784039331491905,3.0238242615169044,2.8784629273283335
O=C-C:C-C,C,CCCC(C)=O,[H]C(O)OC(CC)C(C)=O,[H]C(OC(CC)CC)OC(CC)C(C)=O,[H]C(OC(CC)C(C)=O)OC(CC)(CC)C(CC)CCN,[H]C(OC(CC)C(C)=O)OC(CC)(CC)C(CC)CC(N)CC([H])(O)O,[H]C(OC(CCCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)=O)OC(CC)(CC)C(CC)CC(N)CC([H])(O)O,[H]C(OC(CC)C(C)=O)OC(CC)(CC)C(CC(N)CC([H])(O)O)C(C)COC(=O)NCC(=O)O,[H]C(OC(CC)C(C)=O)OC(CC)(CCCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(CC)CC(N)CC([H])(O)O,[H]C(OC(CCCOC(=O)NC(CCC(=O)O)C(=O)O)C(C)=O)OC(CC)(CC)C(CC)CC(N)CC([H])(O)O,3.4764554589285708,3.1755652756450004,3.206735531641905,3.080762794408572
O=C-C:C-C,C,CCCC(C)=O,[H]C(O)OC(CC)C(C)=O,[H]CCC([H])(O)OC(CC)C(C)=O,[H]CCC([H])(O)OC(CCCNC)C(C)=O,[H]CCC([H])(OC([H])C)OC(CCCNC)C(C)=O,[H]CCC([H])(OC([H])C)OC(CCCNCCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)=O,[H]CC(COC(=O)NCC(=O)O)C([H])(OC([H])C)OC(CCCNC)C(C)=O,[H]CCC([H])(OC([H])C)OC(CCCN(C)COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)=O,[H]CCC([H])(OC(CCCNC)C(C)=O)OC([H])(C)COC(=O)NC(CCC(=O)O)C(=O)O,3.71266469996,3.4832479978057145,3.4112805714307135,3.010499483158333
O=C-C:C-C,C,CCCC(C)=O,[H]C(O)OC(CC)C(C)=O,[H]CCC([H])(O)OC(CC)C(C)=O,[H]CCC([H])(O)OC(CCCNC)C(C)=O,[H]CCC([H])(O)OC(CCCN(C)CNCC)C(C)=O,[H]CCC([H])(O)OC(CCCN(C)CNCCCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)=O,[H]CCC([H])(O)OC(C(C)=O)C(CCN(C)CNCC)COC(=O)NCC(=O)O,[H]CCC([H])(O)OC(CCCN(C)CNCCCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)=O,[H]C(COC(=O)NC(CCC(=O)O)C(=O)O)CC([H])(O)OC(CCCN(C)CNCC)C(C)=O,3.6645510158916665,3.9080164446257144,3.355929479145,3.255396956345
O=C-C:C-C,C,CCCC(C)=O,[H]C(O)OC(CC)C(C)=O,[H]CCC([H])(O)OC(CC)C(C)=O,[H]CCC([H])(OC(N)CC)OC(CC)C(C)=O,[H]CCC([H])(OC(N)CC)OC(CCNCC=C)C(C)=O,[H]CCC([H])(OC(CC)NCOC(=O)NC(C(=O)O)C1=CC=CC=C1)OC(CCNCC=C)C(C)=O,[H]C(COC(=O)NCC(=O)O)CC([H])(OC(N)CC)OC(CCNCC=C)C(C)=O,[H]CCC([H])(OC(CCNCC=C)C(C)=O)OC(N)(CC)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]CCC([H])(OC(CC)NCOC(=O)NC(CCC(=O)O)C(=O)O)OC(CCNCC=C)C(C)=O,3.8153373947600002,3.3859238431390475,3.196039680559047,2.995100058553333
O=C-C:C-C,C,CCCC(C)=O,[H]C(O)OC(CC)C(C)=O,[H]CCC([H])(O)OC(CC)C(C)=O,[H]CCC([H])(OC(N)CC)OC(CC)C(C)=O,[H]CCC([H])(OC(CC)C(C)=O)OC(N)C(C)C(=C)C=N,[H]CCC([H])(OC(CCCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)=O)OC(N)C(C)C(=C)C=N,[H]CCC([H])(OC(CC)C(C)=O)OC(N)C(C)(COC(=O)NCC(=O)O)C(=C)C=N,[H]CCC([H])(OC(CC)C(C)=O)OC(N)C(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(=C)C=N,[H]CCC([H])(OC(CC)C(=O)CCOC(=O)NC(CCC(=O)O)C(=O)O)OC(N)C(C)C(=C)C=N,3.659394846992727,3.2579407481200002,3.2308405098057142,3.05895566504
O=C-C:C-C,C,CCCC(C)=O,CCCC(=O)CC1CCC(C)C(N)C1,CCCC(=O)CC1CCC(C)C(NCC2=CC(C)=CC=C2)C1,CCCC(=O)CC1CCC(C)C(NCC2=CC(C)=C(C=C(C)N)C=C2)C1,CC(N)=CC1=C(C)C=C(CNC2CC(CC(=O)CC(C)C(CN)CO)CCC2C)C=C1,CC1=C(C=C(N)CCOC(=O)NC(C(=O)O)C2=CC=CC=C2)C=CC(CNC2CC(CC(=O)CC(C)C(CN)CO)CCC2C)=C1,CC(N)=CC1=C(C)C=C(CNC2(COC(=O)NCC(=O)O)CC(CC(=O)CC(C)C(CN)CO)CCC2C)C=C1,CC(N)=CC1=C(C)C=C(CNC2CC(CC(=O)CC(C)C(CN)C(O)COC(=O)NC(CCCNC(=N)N)C(=O)O)CCC2C)C=C1,CC(N)=CC1=C(C)C=C(CNC2CC(C(COC(=O)NC(CCC(=O)O)C(=O)O)C(=O)CC(C)C(CN)CO)CCC2C)C=C1,3.7399988968940256,3.941481620362727,3.290197274192727,3.1378471491927273
O=C-C:C-C,C,CCCC(C)=O,CCCC(=O)CC1CCC(C)C(N)C1,CCCC(=O)CC1CCC(C)C(NCC2=CC(C)=CC=C2)C1,CCCC(=O)CC1CCC(C)C(NCC2=CC(C)=C(C=C(C)N)C=C2)C1,CCCOC(CC)C(=O)CC1CCC(C)C(NCC2=CC(C)=C(C=C(C)N)C=C2)C1,CCCOC(CC)C(=O)C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C1CCC(C)C(NCC2=CC(C)=C(C=C(C)N)C=C2)C1,CCCOC(CC)C(=O)CC1(COC(=O)NCC(=O)O)CCC(C)C(NCC2=CC(C)=C(C=C(C)N)C=C2)C1,CCC(OCCCCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(=O)CC1CCC(C)C(NCC2=CC(C)=C(C=C(C)N)C=C2)C1,CCCOC(CC)C(=O)CC1CCC(C)C(NCC2=C(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)=C(C=C(C)N)C=C2)C1,4.415301086197777,3.624360991005119,3.5546022487199993,3.5650731022533337
