SMILES_added,SMILES_got
N-C-C-C-C-C,CCCC(C)CN
C-N-C-C:C,CCCNCC(C)CC(C)CN
C-C-C-C-C-C-C,CCCNCC(C)CC(C)C(N)C(CCC)CCC
C-C=C-C,CC=C(C)C(C(C)CNCCC)C(C)C(N)C(CCC)CCC
Cc1c(Cl)cccc1,CC=C(C)C(C(C)CNCCC)C(C)C(N)C(CCC)CC(C)C1=CC(C)=C(Cl)C=C1
C1CCNCC1,CC=C(C)C(C(C)CNCCC)C(C)C(N)(C(CCC)CC(C)C1=CC(C)=C(Cl)C=C1)N1CCCCC1
