SMILES_added,SMILES_got
O-C-C-C-C,CCCC(C)O
C-C-C=C,C=CC(C)C(C)(O)CCC
C(:C)(:N)(:N),C=CC(C)C(C)(O)C(CC)NC(C)N
C(C)(H)(O),[H]C(C)OCC(N)NC(CC)C(C)(O)C(C)C=C
O-C:C:C-N,[H]C(C)OCC(NNCCCO)NC(CC)C(C)(O)C(C)C=C
C-C-C-C-C-C-C-C,[H]C(C)OCC(NNCCCO)NC(CC)C(C)(O)C(C)(C=C)C(C)CCCCCC
O=C-C-C-C-C=O,[H]C(C)OCC(NNCCCO)NC(CC)(C(C=O)CCC=O)C(C)(O)C(C)(C=C)C(C)CCCCCC
