SMILES_added,SMILES_got
C(-C)(-N)(=C),CC=C(C)N
Br,CC(N)=CCBr
C1CCCC1,CC(=CCBr)NC1CCCC1
C-C:C-O-C,CCC(OC)C1(NC(C)=CCBr)CCCC1
C-O-C-C:C,CCCOCC(C)C(OC)C1(NC(C)=CCBr)CCCC1
C-C:C-N-C,CCCOCC(C)C(OC)C1(N(CCCNC)C(C)=CCBr)CCCC1
C(-H)(=N),[H]C(=N)C1CCCC1(C(OC)C(C)COCCC)N(CCCNC)C(C)=CCBr
C(C)(:C),[H]C(=N)C1CCCC1(C(OC)C(C)COCCC)N(CCC(CCC)NC)C(C)=CCBr
