add_SMILES,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
c1cc[nH]c1,C,CC1=CNC=C1,CC1=C(C(C)Cl)NC=C1,CC1=C(C(C)Cl)NC(COC(=O)NC(C(=O)O)C2=CC=CC=C2)=C1,CC(Cl)C1=C(CCOC(=O)NCC(=O)O)C=CN1,CC1=C(C(C)Cl)NC(COC(=O)NC(CCCNC(=N)N)C(=O)O)=C1,CC(Cl)C1=C(CCOC(=O)NC(CCC(=O)O)C(=O)O)C=CN1,2.6276772520583336,2.4828,3.1022080991961904,2.7645631435901517
c1cc[nH]c1,C,CC1=CNC=C1,CCCC(Cl)C1=C(C)C=CN1,CC1=C(C(Cl)CCCCOC(=O)NC(C(=O)O)C2=CC=CC=C2)NC=C1,CCCC(Cl)C1=C(C)C=CN1COC(=O)NCC(=O)O,CC1=C(C(Cl)CC(C)COC(=O)NC(CCCNC(=N)N)C(=O)O)NC=C1,CCCC(Cl)C1=C(C)C=CN1COC(=O)NC(CCC(=O)O)C(=O)O,3.06310293312,2.506834824825,3.385379982850556,2.707713129158889
c1cc[nH]c1,C,CC1=CNC=C1,CC1=CN(C(=O)CC=O)C=C1,CC1=CN(C(=O)CC=O)C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)=C1,CC1=CN(C(=O)CC=O)C=C1COC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCC1=CN(C(=O)CC=O)C=C1)C(=O)O,CC1=CN(C(=O)CC=O)C=C1COC(=O)NC(CCC(=O)O)C(=O)O,2.452552687642857,2.6814999999999998,2.3941630455166667,2.474240409375
c1cc[nH]c1,C,CC1=CNC=C1,CC1=CNC=C1CC1CCCCC1C,CC1=CNC=C1CC1(COC(=O)NC(C(=O)O)C2=CC=CC=C2)CCCCC1C,CC1=CNC=C1CC1(COC(=O)NCC(=O)O)CCCCC1C,CC1=CNC=C1CC1CCCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C1C,CC1=CNC=C1CC1CCCC(COC(=O)NC(CCC(=O)O)C(=O)O)C1C,3.6664864969142856,3.657593377735714,3.2503720685857145,2.9635386933750003
c1cc[nH]c1,C,CC1=CNC=C1,CC1=C(C(O)CCC=O)NC=C1,CC1=C(C(O)CCC=O)N(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C=C1,CC1=C(C(O)CCC=O)N(COC(=O)NCC(=O)O)C=C1,N=C(N)NCCCC(NC(=O)OCCC1=C(C(O)CCC=O)NC=C1)C(=O)O,CC1=C(C(O)(CCC=O)COC(=O)NC(CCC(=O)O)C(=O)O)NC=C1,2.910084387925,2.8090291198268185,2.6455098374433335,2.988083067041667
c1cc[nH]c1,C,CC1=CNC=C1,CC(N)CCC1=CNC=C1,NC(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)CCC1=CNC=C1,CC(N)CCC1=CNC=C1COC(=O)NCC(=O)O,CC(N)CC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C1=CNC=C1,CC(N)CCC1=CNC(COC(=O)NC(CCC(=O)O)C(=O)O)=C1,2.88446731727,2.4297555029250004,3.73436176198,2.675896870716667
c1cc[nH]c1,C,CC1=CNC=C1,CCC(CC1=CNC=C1)NC,CNC(CCCOC(=O)NC(C(=O)O)C1=CC=CC=C1)CC1=CNC=C1,CCC(NC)C(COC(=O)NCC(=O)O)C1=CNC=C1,CCC(CC1=CNC(COC(=O)NC(CCCNC(=N)N)C(=O)O)=C1)NC,CNC(CC1=CNC=C1)C(C)COC(=O)NC(CCC(=O)O)C(=O)O,2.7178249886,2.724135739352381,2.9516348191,3.3935940974599994
c1cc[nH]c1,C,CC1=CNC=C1,CNCCOC1=CC(C)=CN1,CNCCOC1=CC(CCOC(=O)NC(C(=O)O)C2=CC=CC=C2)=CN1,CC1=CNC(OCCN(C)COC(=O)NCC(=O)O)=C1,CNCCOC1=C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)=CN1,CNCCOC1=C(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)=CN1,2.77184978626,2.4893618322,3.526840172725,3.2522859148000003
c1cc[nH]c1,C,CC1=CNC=C1,CC1=CN(CCCCO)C=C1,O=C(NC(C(=O)O)C1=CC=CC=C1)OCCC1=CN(CCCCO)C=C1,CC1=CN(CCCCO)C=C1COC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCC1=CN(CCCCO)C=C1)C(=O)O,CC1=CN(CC(CCO)COC(=O)NC(CCC(=O)O)C(=O)O)C=C1,2.90088775222,2.4901659517600003,2.6527772832200003,2.8665742402700003
c1cc[nH]c1,C,CC1=CNC=C1,CC1=CN(NC=O)C=C1,CC1=C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)N(NC=O)C=C1,CC1=CN(NC(=O)COC(=O)NCC(=O)O)C=C1,CC1=C(COC(=O)NC(CCCNC(=N)N)C(=O)O)N(NC=O)C=C1,CC1=CN(NC=O)C(COC(=O)NC(CCC(=O)O)C(=O)O)=C1,2.826522734215152,2.9483649698249996,2.7507170312511904,2.80168012832
Cc1cc(N)ccc1,C,CC1=CC(C)=CC(N)=C1,CCOC(=O)CC1=CC(N)=CC(C)=C1,CC1=CC(CC(=O)OCCCOC(=O)NC(C(=O)O)C2=CC=CC=C2)=CC(N)=C1,CC1=CC(CC(=O)OC(C)COC(=O)NCC(=O)O)=CC(N)=C1,CCOC(=O)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C1=CC(N)=CC(C)=C1,CCOC(=O)CC1=CC(NCOC(=O)NC(CCC(=O)O)C(=O)O)=CC(C)=C1,3.1953030166399996,3.062379749730556,2.96612327066,2.6611544978000006
