add_SMILES,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C(-N)(=N),C,CNC=N,CNC=NF,CN(C=NF)COC(=O)NC(C(=O)O)C1=CC=CC=C1,O=C(O)CNC(=O)OCCNC=NF,N=C(N)NCCCC(NC(=O)OCCNC=NF)C(=O)O,CN(C=NF)COC(=O)NC(CCC(=O)O)C(=O)O,2.5913381693666664,2.320915718086667,2.892318158158333,1.9338048941200001
C(-N)(=N),C,CNC=N,N=CNCC(N)CCN,N=CN(COC(=O)NC(C(=O)O)C1=CC=CC=C1)CC(N)CCN,N=CNCC(N)CCNCOC(=O)NCC(=O)O,N=CNC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(N)CCN,NCCC(N)CNC=NCOC(=O)NC(CCC(=O)O)C(=O)O,3.64250727303,2.6854464913,2.4248557436916665,2.660751657833333
C(-N)(=N),C,CNC=N,COCON(C)C=N,COC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)ON(C)C=N,COCON(C)C(=N)COC(=O)NCC(=O)O,COC(COC(=O)NC(CCCNC(=N)N)C(=O)O)ON(C)C=N,CN(C=N)OCOCCOC(=O)NC(CCC(=O)O)C(=O)O,3.052117629916667,2.582011980908333,3.0497619968445235,2.9951666835333337
C(-N)(=N),C,CNC=N,CNC=NC1(C)CCCCC1N,CNC=NC1(C)CCCCC1(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC=NC1(C)C(N)CCCC1COC(=O)NCC(=O)O,CNC=NC1(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)CCCCC1N,CNC=NC1(C)CC(COC(=O)NC(CCC(=O)O)C(=O)O)CCC1N,3.070162372425,3.2921928308657145,3.2657886443257143,3.2575378127
C(-N)(=N),C,CNC=N,CNC=NCC(C)N,CC(N)CN=CNCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC=NCC(N)CCOC(=O)NCC(=O)O,CNC=NCC(C)(N)COC(=O)NC(CCCNC(=N)N)C(=O)O,CNC=NC(COC(=O)NC(CCC(=O)O)C(=O)O)C(C)N,3.09790727303,2.728038169366666,2.953550668597222,2.91620676475
C(-N)(=N),C,CNC=N,CC=CC(=O)CNC=N,N=CNCC(=O)C=CCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC=C(COC(=O)NCC(=O)O)C(=O)CNC=N,N=CNCC(=O)C=CCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC=C(COC(=O)NC(CCC(=O)O)C(=O)O)C(=O)CNC=N,3.0064366953,2.764127570248485,2.4950271339416665,2.8900977228151516
C(-N)(=N),C,CNC=N,CNC=NN=N,CNC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)=NN=N,N=NN=CNCCOC(=O)NCC(=O)O,CNC(COC(=O)NC(CCCNC(=N)N)C(=O)O)=NN=N,CN(C=NN=N)COC(=O)NC(CCC(=O)O)C(=O)O,2.664554836033333,2.3885567819,2.7003916552666665,2.6596333333333337
C(-N)(=N),C,CNC=N,CNCC(Cl)C(=N)NC,CNCC(Cl)C(=N)NCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CNCC(Cl)C(=N)NCCOC(=O)NCC(=O)O,CNC(=N)C(Cl)CN(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CNCC(Cl)(COC(=O)NC(CCC(=O)O)C(=O)O)C(=N)NC,2.8295395674633332,2.882862163401818,2.302422879430556,2.8403980636783333
C(-N)(=N),C,CNC=N,CCCCCNCNC=N,CCC(CCNCNC=N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCCCCNCNC=NCOC(=O)NCC(=O)O,CC(CCCNCNC=N)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCCCCN(CNC=N)COC(=O)NC(CCC(=O)O)C(=O)O,3.7604331011599994,2.5781661539350003,2.7439898843433332,2.699080683675
C(-N)(=N),C,CNC=N,CN(C=N)CCCN,CN(C=N)CCC(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CN(C=NCOC(=O)NCC(=O)O)CCCN,CN(C=N)CCCNCOC(=O)NC(CCCNC(=N)N)C(=O)O,CN(C=N)CC(CN)COC(=O)NC(CCC(=O)O)C(=O)O,3.152942163546667,2.6363833333333333,3.0027398843433333,1.8484198816833335
O-C-O-C-C,C,CCOC(C)O,CC(O)OC(C)NC=O,CC(NC=O)OC(C)OCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(O)OC(C)N(C=O)COC(=O)NCC(=O)O,CC(NC=O)OC(O)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(O)OC(C)(COC(=O)NC(CCC(=O)O)C(=O)O)NC=O,3.015443814667857,2.386764355328333,2.155022569326191,2.9443165121083332
