add_SMILES,starting_SMILES 2,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
Cl-C:C-O,C,CC(Cl)CO,CC(N)CCCC(=O)C(O)C(C)Cl,CC(N)CCCC(=O)C(O)(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)Cl,CC(N)CCCC(=O)C(O)(COC(=O)NCC(=O)O)C(C)Cl,CC(N)CCCC(=O)C(O)C(Cl)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(Cl)C(O)C(=O)CCCC(C)(N)COC(=O)NC(CCC(=O)O)C(=O)O,2.822190098716667,2.564251657833333,2.572626669233333,2.1081743679119045
Cl-C:C-O,C,CC(Cl)CO,CC(Cl)COC(C)NCN,CC(Cl)COC(C)NC(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC(Cl)COC(C)(COC(=O)NCC(=O)O)NCN,CC(Cl)COC(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)NCN,CC(NCN)OCC(Cl)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.2398439322050003,2.4414767756916667,3.039755422235,2.6374099665633333
Cl-C:C-O,C,CC(Cl)CO,CC(C(C)(C)C)C(C)(Cl)CO,CC(C)(C)C(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)(Cl)CO,CC(C(C)(C)CCOC(=O)NCC(=O)O)C(C)(Cl)CO,CC(C(C)(C)CCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)(Cl)CO,CC(C(C)(C)CCOC(=O)NC(CCC(=O)O)C(=O)O)C(C)(Cl)CO,3.77588023825,2.4882354480528575,2.846139769595,2.4060384563369044
Cl-C:C-O,C,CC(Cl)CO,[H]C(Cl)CC(Cl)CO,[H]C(Cl)CC(Cl)(CO)COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(Cl)CC(Cl)COCOC(=O)NCC(=O)O,[H]C(Cl)CC(Cl)C(O)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(Cl)(COC(=O)NC(CCC(=O)O)C(=O)O)CC(Cl)CO,2.704071538031429,2.1591048999733333,2.7698269796850004,2.552912687811667
Cl-C:C-O,C,CC(Cl)CO,C=CC(=O)C(C)(Cl)CO,C=CC(=O)C(C)(Cl)C(O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,C=CC(=O)C(C)(Cl)C(O)COC(=O)NCC(=O)O,C=C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(=O)C(C)(Cl)CO,C=CC(=O)C(Cl)(CO)CCOC(=O)NC(CCC(=O)O)C(=O)O,2.7493298102568184,2.7759455429749997,2.603335687931818,2.8340727342151517
Cl-C:C-O,C,CC(Cl)CO,CCCCCC(C)C(O)C(C)Cl,CCCC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)CC(C)C(O)C(C)Cl,CCCCCC(C)(COC(=O)NCC(=O)O)C(O)C(C)Cl,CC(CCCC(C)C(O)C(C)Cl)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCCCCC(C)C(O)C(Cl)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.854080824431667,3.4482640895679366,3.04899114287,2.2262089815083335
Cl-C:C-O,C,CC(Cl)CO,OCC(Cl)CNC1=C(O)C=CC=C1,O=C(NC(C(=O)O)C1=CC=CC=C1)OCC1=CC(O)=C(NCC(Cl)CO)C=C1,O=C(O)CNC(=O)OCC1=CC(O)=C(NCC(Cl)CO)C=C1,N=C(N)NCCCC(NC(=O)OCOC1=C(NCC(Cl)CO)C=CC=C1)C(=O)O,O=C(O)CCC(NC(=O)OCC1=CC(NCC(Cl)CO)=C(O)C=C1)C(=O)O,3.028634387925,2.5742098362249997,2.966831246868333,2.1378853024583333
Cl-C:C-O,C,CC(Cl)CO,CCNCCC(O)C(C)Cl,CCNCCC(OCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)Cl,CCN(CCC(O)C(C)Cl)COC(=O)NCC(=O)O,CCNCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(O)C(C)Cl,CCNCCC(O)C(Cl)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.549800413526666,2.7925110571166667,2.9672043821016665,2.6321907576583334
Cl-C:C-O,C,CC(Cl)CO,COCOCC(O)C(C)Cl,COCOCC(O)C(Cl)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,COCOCC(O)(COC(=O)NCC(=O)O)C(C)Cl,COC(COC(=O)NC(CCCNC(=N)N)C(=O)O)OCC(O)C(C)Cl,COCOC(COC(=O)NC(CCC(=O)O)C(=O)O)C(O)C(C)Cl,2.92379160665,3.085189430183333,2.78148483041,2.8460017839033336
Cl-C:C-O,C,CC(Cl)CO,CC1=CC(O)=CC(C(C)(Cl)CO)=C1,CC(Cl)(CO)C1=CC(CCOC(=O)NC(C(=O)O)C2=CC=CC=C2)=CC(O)=C1,CC1=CC(O)=CC(C(C)(Cl)CO)=C1COC(=O)NCC(=O)O,CC1=CC(O)=CC(C(Cl)(CO)CCOC(=O)NC(CCCNC(=N)N)C(=O)O)=C1,CC1=CC(O)=CC(C(C)(Cl)COCOC(=O)NC(CCC(=O)O)C(=O)O)=C1,2.857290409375,2.5755166666666667,2.8049835864583335,3.106161199703333
