add_SMILES,starting_SMILES 1,starting_SMILES 0,starting_SMILES -1,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C-O-C:C-C,C,COCC(C)C,NA,COCC(C)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,COCC(C)(C)COC(=O)NCC(=O)O,COC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)C,CC(C)COCCOC(=O)NC(CCC(=O)O)C(=O)O,3.302573939696667,2.6283801819250003,3.0485619802,2.767057793691667
O-C-C-C-C-C-C,COCC(C)C,CCCCC(CO)CC(C)COC,NA,COCC(C)CC(CO)CCC(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCC(COC(=O)NCC(=O)O)CC(CO)CC(C)COC,CCCCC(CO)(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC(C)COC,COCC(C)CC(CO)CCCCCOC(=O)NC(CCC(=O)O)C(=O)O,3.90384100666,3.0136406393290476,3.4414055504774352,2.5866845600083335
Cl,CCC(CCCO)C(C)(C)COC,CCC(CCCO)C(C)(CCl)COC,NA,COCC(C)(CCl)C(CCCO)C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCC(CCCO)(COC(=O)NCC(=O)O)C(C)(CCl)COC,COCC(C)(CCl)C(CCCO)CCCOC(=O)NC(CCCNC(=N)N)C(=O)O,CCC(CC(CO)COC(=O)NC(CCC(=O)O)C(=O)O)C(C)(CCl)COC,3.9059454977625,4.067022747855715,3.3166286773941023,3.2362489702633335
C-O-C-O-C,CCC(CCCO)C(C)(C)C(Cl)OC,CCC(CCCO)C(C)(CCOCOC)C(Cl)OC,NA,COCOCCC(C)(C(Cl)OC)C(CCCO)C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CCC(CCCO)C(C)(CC(COC(=O)NCC(=O)O)OCOC)C(Cl)OC,CCC(CCCO)C(C)(CCOC(COC(=O)NC(CCCNC(=N)N)C(=O)O)OC)C(Cl)OC,COCOCCC(C)(C(CCCO)CCCOC(=O)NC(CCC(=O)O)C(=O)O)C(Cl)OC,3.495009414069444,3.521292046554805,3.0545194330433336,3.1067497469633336
O=C-C:N,COC(CCC(CCCO)C(C)(C)C(Cl)OC)OC,COC(CCC(CCCO)C(C)(C)C(Cl)OCC(N)C=O)OC,NA,COC(CCC(CCCO)C(C)(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(Cl)OCC(N)C=O)OC,COC(CCC(CCCO)C(C)(C)C(Cl)OCC(C=O)NCOC(=O)NCC(=O)O)OC,COC(CCC(CCCO)C(C)(C)C(Cl)OCC(N)C=O)OCCOC(=O)NC(CCCNC(=N)N)C(=O)O,COC(CCC(CCCO)C(C)(CCOC(=O)NC(CCC(=O)O)C(=O)O)C(Cl)OCC(N)C=O)OC,3.6988334579330164,4.579925162100769,3.1444754399633332,3.1067497469633336
OC1CCC(N)CC1,COC(CC(NCC=O)C(CCCO)C(C)(C)C(Cl)OC)OC,COC(CC(NCC=O)C(CC(CO)NC1CCC(O)CC1)C(C)(C)C(Cl)OC)OC,NA,COC(CC(NCC(=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CC(CO)NC1CCC(O)CC1)C(C)(C)C(Cl)OC)OC,COC(CC(NCC=O)C(CC(COCOC(=O)NCC(=O)O)NC1CCC(O)CC1)C(C)(C)C(Cl)OC)OC,COC(CC(NCC=O)C(C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(CO)NC1CCC(O)CC1)C(C)(C)C(Cl)OC)OC,COC(CC(NCC=O)C(CC(CO)NC1(COC(=O)NC(CCC(=O)O)C(=O)O)CCC(O)CC1)C(C)(C)C(Cl)OC)OC,3.7873250692612985,4.574376268373572,4.642322653565238,3.2564608420890906
N:C:N:C,COC(CC(NCC=O)C(CCC(O)NC1CCC(O)CC1)C(C)(C)C(Cl)OC)OC,CNC(N)C(CCC(O)NC1CCC(O)CC1)(C(CC(OC)OC)NCC=O)C(C)(C)C(Cl)OC,NA,CNC(N)C(CCC(NC1CCC(O)CC1)OCOC(=O)NC(C(=O)O)C1=CC=CC=C1)(C(CC(OC)OC)NCC=O)C(C)(C)C(Cl)OC,CNC(N)C(CCC(O)NC1CCC(O)C(COC(=O)NCC(=O)O)C1)(C(CC(OC)OC)NCC=O)C(C)(C)C(Cl)OC,CNC(N)C(CCC(O)NC1CCC(O)CC1COC(=O)NC(CCCNC(=N)N)C(=O)O)(C(CC(OC)OC)NCC=O)C(C)(C)C(Cl)OC,CNC(N)C(CCC(O)NC1CCC(O)CC1)(C(CC(OC)OCCOC(=O)NC(CCC(=O)O)C(=O)O)NCC=O)C(C)(C)C(Cl)OC,4.658255913937966,3.952371609390238,3.4235769096285713,3.4405262212085717
