add_SMILES,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
ClC1CC(Cl)CCC1,C,CC1CCC(Cl)CC1Cl,CC1CCC(Cl)C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C1Cl,CC1CCC(Cl)CC1(Cl)COC(=O)NCC(=O)O,N=C(N)NCCCC(NC(=O)OCCC1CCC(Cl)CC1Cl)C(=O)O,CC1CC(COC(=O)NC(CCC(=O)O)C(=O)O)C(Cl)CC1Cl,3.5246538576749997,3.050492670851667,3.0912807493616667,3.006519749478334
N-N-C-N,CC1CCC(Cl)CC1Cl,CC1CCC(Cl)(N(N)CN)CC1Cl,CC1C(Cl)CC(Cl)(N(N)CN)CC1COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC1(COC(=O)NCC(=O)O)CCC(Cl)(N(N)CN)CC1Cl,CC1CCC(Cl)(N(CN)NCOC(=O)NC(CCCNC(=N)N)C(=O)O)CC1Cl,CC1CCC(Cl)(N(N)C(N)COC(=O)NC(CCC(=O)O)C(=O)O)CC1Cl,3.3662867353116668,2.4105636506916666,2.900555231295,2.94588060603
OC1C(Cl)CCCC1,CC1CCC(Cl)CC1(Cl)NNCN,CC1CCC(Cl)CC1(Cl)NN(CN)OC1CCCCC1Cl,CC1CCC(Cl)CC1(Cl)N(COC(=O)NC(C(=O)O)C1=CC=CC=C1)N(CN)OC1CCCCC1Cl,CC1CCC(Cl)CC1(Cl)N(COC(=O)NCC(=O)O)N(CN)OC1CCCCC1Cl,CC1CCC(Cl)CC1(Cl)NN(CN)OC1CCCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C1Cl,CC1CCC(Cl)CC1(Cl)NN(CN)OC1CCCC(COC(=O)NC(CCC(=O)O)C(=O)O)C1Cl,3.7179676898035723,3.4847168306085714,3.2220252138464502,3.0822030698178784
C1CC=CC1,CC1CC(C2CCC(Cl)C(O)C2)C(Cl)CC1(Cl)NNCN,CC1CC(C2CCC(Cl)C(O)C2C2C=CCC2)C(Cl)CC1(Cl)NNCN,CC1CC(C2CC(COC(=O)NC(C(=O)O)C3=CC=CC=C3)C(Cl)C(O)C2C2C=CCC2)C(Cl)CC1(Cl)NNCN,CC1CC(C2CCC(Cl)C(O)C2C2C=CCC2)C(Cl)(COC(=O)NCC(=O)O)CC1(Cl)NNCN,CC1CC(C2CCC(Cl)C(O)C2C2C=CCC2)C(Cl)(COC(=O)NC(CCCNC(=N)N)C(=O)O)CC1(Cl)NNCN,CC1CC(C2CCC(Cl)C(O)C2C2C=C(COC(=O)NC(CCC(=O)O)C(=O)O)CC2)C(Cl)CC1(Cl)NNCN,4.078149033769405,3.8117090394999997,3.8953974363999997,3.9183306909285713
Cl-C-C-O,CC1CC(C2CCC(Cl)C(O)C2)C(Cl)CC1(Cl)NNC(N)C1CC=CC1,CC1CC(C2CC(O)C(Cl)CC2C(Cl)CO)C(Cl)CC1(Cl)NNC(N)C1CC=CC1,CC1CC(C2CC(O)C(Cl)CC2C(Cl)CO)C(Cl)CC1(Cl)NNC(N)C1CC=CC1COC(=O)NC(C(=O)O)C1=CC=CC=C1,CC1CC(C2CC(O)C(Cl)CC2C(Cl)CO)C(Cl)CC1(Cl)NN(COC(=O)NCC(=O)O)C(N)C1CC=CC1,CC1C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C2CC(O)C(Cl)CC2C(Cl)CO)C(Cl)CC1(Cl)NNC(N)C1CC=CC1,CC1CC(C2CC(O)C(Cl)CC2C(Cl)CO)C(Cl)CC1(Cl)NNC(N)C1CC=C(COC(=O)NC(CCC(=O)O)C(=O)O)C1,3.798901916795238,3.8440190878285714,3.974519087828571,3.7749355721199995
