add_SMILES,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
N-C:C-N,C,CNCCN,CNC(CN)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CNCCNCOC(=O)NCC(=O)O,CNCC(N)COC(=O)NC(CCCNC(=N)N)C(=O)O,CNCC(N)COC(=O)NC(CCC(=O)O)C(=O)O,2.6961577421183334,2.5056998453866663,2.394617298958485,2.6175475126366665
O-C-C=C-C,CNCCN,CNC(CN)C(C)=CCO,CNC(CN)C(C)=CCOCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CNC(CN)C(C)=CCOCOC(=O)NCC(=O)O,CNC(CNCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)=CCO,CNC(CN)C(=CCO)CCOC(=O)NC(CCC(=O)O)C(=O)O,2.69892741001,2.7090931896833332,2.4450822408583335,2.5140724103583336
C(H)(O),CC=C(CO)NCCNC,[H]C(O)C(C)=C(CO)NCCNC,[H]C(O)C(C)=C(CO)NC(CNC)COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(O)C(C)=C(CO)NC(CNC)COC(=O)NCC(=O)O,[H]C(O)C(C)=C(CO)NCCNCCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(O)C(C)=C(CO)N(CCNC)COC(=O)NC(CCC(=O)O)C(=O)O,3.3825258794916664,2.9737167715846753,2.5113224103583334,2.659989077025
C:C-N-C:C,[H]COC(CNC)NC(=CC)CO,[H]COC(CN(C)CCNCC)NC(=CC)CO,[H]COC(CN(C)CC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)NCC)NC(=CC)CO,[H]COC(CN(C)CCNC(C)COC(=O)NCC(=O)O)NC(=CC)CO,[H]COC(CN(C)CCNCC)NC(=CC)C(O)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]COC(NC(=CC)CO)C(COC(=O)NC(CCC(=O)O)C(=O)O)N(C)CCNCC,3.6470815229168254,3.7222101810723807,3.5316948893218254,3.1986716828583335
O-C-C-C=O,[H]COC(NC(=CC)CO)C(NC)C(C)NCC,[H]COC(NC(=CC)COC(=O)CCO)C(NC)C(C)NCC,[H]C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)OC(NC(=CC)COC(=O)CCO)C(NC)C(C)NCC,[H]C(COC(=O)NCC(=O)O)OC(NC(=CC)COC(=O)CCO)C(NC)C(C)NCC,[H]C(COC(=O)NC(CCCNC(=N)N)C(=O)O)OC(NC(=CC)COC(=O)CCO)C(NC)C(C)NCC,[H]COC(NC(=CC)COC(=O)CCO)C(C(C)NCC)N(C)COC(=O)NC(CCC(=O)O)C(=O)O,3.6350551656444443,3.573526794724047,3.659952141299047,3.2839900985200003
C:C-C=C,[H]COC(NC(=CC)CO)C(NC)C(C)N(CC)C(C=O)CO,[H]COC(C(NC)C(C)N(CC)C(C=O)CO)N(CCC=C)C(=CC)CO,[H]COC(C(NC)C(C)N(C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C=O)CO)N(CCC=C)C(=CC)CO,[H]COC(C(NC)C(C)N(CC)C(C=O)CO)N(CCC=C)C(=CC)C(O)COC(=O)NCC(=O)O,[H]C(COC(=O)NC(CCCNC(=N)N)C(=O)O)OC(C(NC)C(C)N(CC)C(C=O)CO)N(CCC=C)C(=CC)CO,[H]COC(C(NC)C(C)N(CC)C(C=O)CO)N(CCC=C)C(=CC)COCOC(=O)NC(CCC(=O)O)C(=O)O,3.9694854995927265,3.764156347225714,3.679904649659048,3.33434308152
N-C-C:C-C,[H]COC(C(NC)C(C)N(CC)C(C=O)CO)N(C(=C)CC)C(=CC)CO,[H]COC(C(NC)C(C)N(CC)C(C=O)COC(C)CCN)N(C(=C)CC)C(=CC)CO,[H]COC(C(C(C)N(CC)C(C=O)COC(C)CCN)N(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1)N(C(=C)CC)C(=CC)CO,[H]COC(C(NC)C(C)N(CC)C(COC(C)CCN)C(=O)COC(=O)NCC(=O)O)N(C(=C)CC)C(=CC)CO,[H]COC(N(C(=C)CC)C(=CC)CO)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)(NC)C(C)N(CC)C(C=O)COC(C)CCN,[H]COC(C(NC)C(C)N(CCCOC(=O)NC(CCC(=O)O)C(=O)O)C(C=O)COC(C)CCN)N(C(=C)CC)C(=CC)CO,4.064575849132726,3.9473142413733333,3.845314241373334,3.6064721904733332
C(-C)(-C)(=O),[H]COC(N(C(=C)CC)C(=CC)CO)C(CCCCN)(NC)C(C)N(CC)C(C=O)CO,[H]COC(N(C(=C)CC)C(=CC)CO)C(CCCCN)(NC)C(C)N(CC)C(C=O)COCC(C)=O,[H]COC(N(C(=C)CC)C(=CC)CO)C(CCCCN)(NC)C(C)N(CC)C(C=O)COCC(=O)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]COC(N(C(=C)CC)C(=CC)CO)C(CCCC(N)COC(=O)NCC(=O)O)(NC)C(C)N(CC)C(C=O)COCC(C)=O,[H]COC(N(C(=C)CCCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(=CC)CO)C(CCCCN)(NC)C(C)N(CC)C(C=O)COCC(C)=O,[H]COC(N(C(=C)CC)C(=CC)CO)C(CCCCN)(NC)C(C)N(CCCOC(=O)NC(CCC(=O)O)C(=O)O)C(C=O)COCC(C)=O,4.060442408719999,4.1839930874433335,3.7756022487199994,3.5777670674533333
O=C-C:C-O,[H]COC(N(C(=C)CC)C(=CC)CO)C(CCC(CN)CC(C)=O)(NC)C(C)N(CC)C(C=O)CO,[H]COC(N(C(=C)CC)C(=CC)CO)C(CCC(CN)CC(C)=O)(C(C)N(CC)C(C=O)CO)N(C)C(=O)CCO,[H]COC(N(C(=CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)CC)C(=CC)CO)C(CCC(CN)CC(C)=O)(C(C)N(CC)C(C=O)CO)N(C)C(=O)CCO,[H]COC(N(C(=C)CC)C(=CCCOC(=O)NCC(=O)O)CO)C(CCC(CN)CC(C)=O)(C(C)N(CC)C(C=O)CO)N(C)C(=O)CCO,[H]COC(COC(=O)NC(CCCNC(=N)N)C(=O)O)(N(C(=C)CC)C(=CC)CO)C(CCC(CN)CC(C)=O)(C(C)N(CC)C(C=O)CO)N(C)C(=O)CCO,[H]COC(N(C(=C)CCCOC(=O)NC(CCC(=O)O)C(=O)O)C(=CC)CO)C(CCC(CN)CC(C)=O)(C(C)N(CC)C(C=O)CO)N(C)C(=O)CCO,3.9529811677612985,3.7319022671533326,3.8196765441593934,3.732555104715238
