add_SMILES,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C1CCC=CC1,C,CC1C=CCCC1,O=C(NC(C(=O)O)C1=CC=CC=C1)OCCC1C=CCCC1,CC1C=C(COC(=O)NCC(=O)O)CCC1,CC1(COC(=O)NC(CCCNC(=N)N)C(=O)O)C=CCCC1,CC1CCCC=C1COC(=O)NC(CCC(=O)O)C(=O)O,3.03640676475,2.500383531978333,3.263554804155556,2.757059360472222
O=C-C-C-C,CC1C=CCCC1,CC1C=CCCC1C(C)CC=O,CC1C=CCCC1C(CC=O)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CC1C=CCCC1(COC(=O)NCC(=O)O)C(C)CC=O,CC(CC=O)C1CCC=CC1CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(CC=O)C1CCC=CC1(C)COC(=O)NC(CCC(=O)O)C(=O)O,3.5217952898784524,3.6348453059,3.3996058601457135,2.9573605998766666
N-N-C-C,CCC(C=O)C1=CCCCC1C,CCC(C=O)C1=CC(N(N)CC)CCC1C,CCN(N)C1C=C(C(C=O)CCCOC(=O)NC(C(=O)O)C2=CC=CC=C2)C(C)CC1,CCC(C=O)C1=CC(N(CC)NCOC(=O)NCC(=O)O)CCC1C,CCC(C=O)C1=CC(N(N)CC)CC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C1C,CCC(C=O)C1=CC(N(N)CC)C(COC(=O)NC(CCC(=O)O)C(=O)O)CC1C,3.6497883594575002,2.9264524554723814,3.2302471749432136,3.03130056181
N-N,CCNNCCC(C=O)C1=CCCCC1C,CCNNCCC(C=O)(NN)C1=CCCCC1C,CCNNC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)CC(C=O)(NN)C1=CCCCC1C,CCNNCC(COC(=O)NCC(=O)O)C(C=O)(NN)C1=CCCCC1C,CCN(COC(=O)NC(CCCNC(=N)N)C(=O)O)NCCC(C=O)(NN)C1=CCCCC1C,CC1CCCC=C1C(C=O)(CCNNCCCOC(=O)NC(CCC(=O)O)C(=O)O)NN,3.6700686144241663,3.869501517283214,3.2015710193457148,2.5376311595533334
C(H)(:C)(:N),CC(NN)NNCCC(C=O)C1=CCCCC1C,[H]C(C)NN(N)C(C)NNCCC(C=O)C1=CCCCC1C,[H]C(C)NN(N)C(C)(COC(=O)NC(C(=O)O)C1=CC=CC=C1)NNCCC(C=O)C1=CCCCC1C,[H]C(C)NN(N)C(CCOC(=O)NCC(=O)O)NNCCC(C=O)C1=CCCCC1C,[H]C(C)NN(N)C(C)NNCCC(C=O)C1=CCCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C1C,[H]C(C)(COC(=O)NC(CCC(=O)O)C(=O)O)NN(N)C(C)NNCCC(C=O)C1=CCCCC1C,3.8617017561199996,2.5505772057890477,3.4710522487199995,2.536475797453334
C:C-C=C-C,[H]C(N)CC(CC(C=O)C1=CCCCC1C)NNC(C)NN,[H]C(N)CC(CC(C=O)C1=CCCCC1C)NNC(C)N(N)C(C)C=CC,[H]C(N)CC(CC(C=O)C1=CCCCC1C)NNC(C)N(NCOC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)C=CC,[H]C(N)CC(CC(C=O)C1=CCCCC1C)NNC(C)N(N)C(C)(C=CC)COC(=O)NCC(=O)O,[H]C(N)CC(CC(C=O)C1=CCCCC1C)NNC(C)N(N)C(C)C=C(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]C(N)CC(CC(C=O)C1=CCCCC1(C)COC(=O)NC(CCC(=O)O)C(=O)O)NNC(C)N(N)C(C)C=CC,4.095330499732727,3.761336757451775,3.265935582053333,3.2100350894533327
C-N,[H]C(N)CC(CC(C=O)C1=CCCCC1C)N(NC(C)NN)C(=CC)CC,[H]C(N)CC(CC(C=O)C1=CCCCC1C)N(NC(C)NN)C(CC)=C(C)CN,[H]C(N)CC(CC(C=O)C1=CCCCC1C)N(NC(C)(COC(=O)NC(C(=O)O)C1=CC=CC=C1)NN)C(CC)=C(C)CN,[H]C(N)CC(CC(C=O)C1=CCCCC1CCOC(=O)NCC(=O)O)N(NC(C)NN)C(CC)=C(C)CN,[H]C(N)CC(CC(C=O)C1=CC(COC(=O)NC(CCCNC(=N)N)C(=O)O)CCC1C)N(NC(C)NN)C(CC)=C(C)CN,[H]C(N)CC(CC(C=O)C1=CCCCC1C)N(NC(C)NN)C(CC)=C(CN)CCOC(=O)NC(CCC(=O)O)C(=O)O,4.033163411292728,4.163344223989047,4.012420932003333,3.1998270481866666
C-C:C-C:C,[H]C(N)CC(CC(C(=O)NC)C1=CCCCC1C)N(NC(C)NN)C(=CC)CC,[H]C(N)CC(CC(C(=O)NC)C1=CCCC(C(C)CCC)C1C)N(NC(C)NN)C(=CC)CC,[H]C(N)CC(CC(C(=O)NC)C1=CCCC(C(C)CCC)C1C)N(NC(C)NN)C(CC)=C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]C(N)CC(CC(C(=O)NC)C1=CCCC(C(CCC)CCOC(=O)NCC(=O)O)C1C)N(NC(C)NN)C(=CC)CC,[H]C(N)CC(CC(C(=O)NC)C1=C(COC(=O)NC(CCCNC(=N)N)C(=O)O)CCC(C(C)CCC)C1C)N(NC(C)NN)C(=CC)CC,[H]C(N)CC(CC(C(=O)N(C)COC(=O)NC(CCC(=O)O)C(=O)O)C1=CCCC(C(C)CCC)C1C)N(NC(C)NN)C(=CC)CC,4.383445903457013,4.276254038209285,4.1170875986699995,4.1170875986699995
O=C-C-N-C,[H]C(N)CC(CC(C(=O)NC)C1=CCCCC1C)N(NC(C)(CCCCC)NN)C(=CC)CC,[H]C(N)CC(CC(C(=O)NC)C1=CCCCC1(C)C(C=O)NC)N(NC(C)(CCCCC)NN)C(=CC)CC,[H]C(N)CC(CC(C(=O)NC)C1=CCCCC1(C)C(C=O)NCCOC(=O)NC(C(=O)O)C1=CC=CC=C1)N(NC(C)(CCCCC)NN)C(=CC)CC,[H]C(CC(CC(C(=O)NC)C1=CCCCC1(C)C(C=O)NC)N(NC(C)(CCCCC)NN)C(=CC)CC)NCOC(=O)NCC(=O)O,[H]C(N)CC(CC(C(=O)NC)C1=CCCCC1(C)C(C=O)NC)N(NC(CCCCC)(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)NN)C(=CC)CC,[H]C(N)CC(CC(C(=O)NC)C1=CCCCC1(C)C(C=O)NC)N(NC(C)(CCCCCCOC(=O)NC(CCC(=O)O)C(=O)O)NN)C(=CC)CC,4.7656783829612985,4.6723306895427275,4.0257769237546315,4.232011716294631
