add_SMILES,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
N-C:C-C,C,CCCNC,CCCNCCOC(=O)NC(C(=O)O)C1=CC=CC=C1,CCC(COC(=O)NCC(=O)O)NC,CNCC(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CNCC(C)COC(=O)NC(CCC(=O)O)C(=O)O,2.7091388199699997,2.7623316815583334,2.7403247748600004,2.2934389154333332
N(C)(C)(C),CCC(C)N,CC(N)CCCN(C)C,CC(N)CC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)CN(C)C,CC(CCCN(C)C)NCOC(=O)NCC(=O)O,CN(C)CCCC(N)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,CC(N)CCCN(C)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.2925978046072224,3.1323643435923807,3.101856417095,3.1594875198416665
C-C-C(C)-C-C,CCC(C)(N)CN(C)C,CCC(C)CCC(N(C)C)C(C)(N)CC,CCC(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)CCC(N(C)C)C(C)(N)CC,CCC(C)CCC(N(C)C)C(N)(CC)CCOC(=O)NCC(=O)O,CCC(C)CCC(N(C)C)C(C)(N)C(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,CCC(C)CCC(N(C)C)C(N)(CC)CCOC(=O)NC(CCC(=O)O)C(=O)O,3.633366124944513,3.6617702617342855,4.3909795692,3.8001174837600002
O=C-C=C-N,CCC(CC)CNC(C)(CC)CN(C)C,CCC(CCC(N)=CC=O)CNC(C)(CC)CN(C)C,CCC(CCC(N)=CC=O)CNC(C)(CC)C(COC(=O)NC(C(=O)O)C1=CC=CC=C1)N(C)C,CCC(CNC(C)(CC)CN(C)C)CC(COC(=O)NCC(=O)O)C(N)=CC=O,CCC(CNC(C)(CC)CN(C)C)CC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(N)=CC=O,CCC(CCC(N)=CC=O)CNC(C)(CC)CN(C)CCOC(=O)NC(CCC(=O)O)C(=O)O,4.0527555744727275,3.852438945939048,3.358059641927727,2.9428636984683334
C(C)(:C)(:N),CCC(CC)CNC(CC)(CNC=CC=O)CN(C)C,CCC(CNC=CC=O)(CN(C)C)NCC(CC)(CC)NC(C)C,CCC(CNC=CC=O)(CN(C)C)NC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(CC)(CC)NC(C)C,CCC(CC)(CNC(CC)(CNC=CC=O)C(COC(=O)NCC(=O)O)N(C)C)NC(C)C,CCC(CC)(CNC(CC)(CNC=CC=O)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)N(C)C)NC(C)C,CCC(CC)(CNC(CC)(CN(C)C)C(COC(=O)NC(CCC(=O)O)C(=O)O)NC=CC=O)NC(C)C,4.756619522014512,4.541694300584999,4.029390206744631,4.260866674023571
Cl-C:C-C,CCC(CC)CN(C(C)(C)N)C(CC)(CNC=CC=O)CN(C)C,CCC(CN(C(C)(C)N)C(CC)(CNC=CC=O)CN(C)C)C(C)C(C)CCl,CCC(CN(C(C)(C)N)C(CC)(CN(C)C)CN(C=CC=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(C)C(C)CCl,CCC(CN(C(C)(N)CCOC(=O)NCC(=O)O)C(CC)(CNC=CC=O)CN(C)C)C(C)C(C)CCl,CCC(CN(C(C)(C)N)C(CC)(CNC(=CC=O)COC(=O)NC(CCCNC(=N)N)C(=O)O)CN(C)C)C(C)C(C)CCl,CCC(CN(C(C)(C)N)C(CC)(CNC=CC=O)CN(C)CCOC(=O)NC(CCC(=O)O)C(=O)O)C(C)C(C)CCl,4.341623682373571,4.320300984461666,3.8190130838879655,3.7279853472491657
CC1CCC(N)CC1,CCC(CC)CN(C(C)(C)N)C(CCC(C)CCl)(CNC=CC=O)CN(C)C,CCC(CC)CN(C(C)(C)N)C(CCC(C)CCl)(CNC=CC=O)C(CC1CCC(N)CC1)N(C)C,CCC(CC)CN(C(C)(C)N)C(CCC(C)CCl)(CNC=CC=O)C(CC1CCC(N)C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C1)N(C)C,CCC(CC)CN(C(C)(C)N)C(CCC(C)C(Cl)COC(=O)NCC(=O)O)(CNC=CC=O)C(CC1CCC(N)CC1)N(C)C,CCC(CC)CN(C(C)(C)N)C(CCC(C)CCl)(CNC=CC=O)C(CC1CCC(NCOC(=O)NC(CCCNC(=N)N)C(=O)O)CC1)N(C)C,CCC(CC)CN(C(C)(C)N)C(CCC(C)CCl)(CNC=CC=O)C(CC1CCC(N)CC1)N(C)CCOC(=O)NC(CCC(=O)O)C(=O)O,4.45571908252,4.347386568945,4.349283085994999,3.8264652426260595
