add_SMILES,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
c1cc[nH]c1,C,CC1=CC=CN1,O=C(NC(C(=O)O)C1=CC=CC=C1)OCCC1=CC=CN1,CC1=CC=CN1COC(=O)NCC(=O)O,CC1=CC=CN1COC(=O)NC(CCCNC(=N)N)C(=O)O,CC1=CC=CN1COC(=O)NC(CCC(=O)O)C(=O)O,2.5971166666666665,2.2897721583727275,2.532891655266667,2.5139631435901513
O=C-C-C-C-C=O,CC1=CNC=C1,O=CCCC(C=O)CC1=CNC=C1,O=CCCC(C=O)CC1=C(COC(=O)NC(C(=O)O)C2=CC=CC=C2)NC=C1,O=CCCC(C=O)CC1=C(COC(=O)NCC(=O)O)NC=C1,N=C(N)NCCCC(NC(=O)OCC(C=O)CC(C=O)CC1=CNC=C1)C(=O)O,O=CCCC(CC1=CNC=C1)C(=O)COC(=O)NC(CCC(=O)O)C(=O)O,2.5895405855916667,2.7317464913,2.70157477486,2.527073289093333
C-N-C-N-C,O=CCCC(C=O)CC1=CNC=C1,CNCN(C)C1=CC(CC(C=O)CCC=O)=CN1,CNCN(C)C1=CC(CC(CCC=O)C(=O)COC(=O)NC(C(=O)O)C2=CC=CC=C2)=CN1,CN(CNCCOC(=O)NCC(=O)O)C1=CC(CC(C=O)CCC=O)=CN1,CN(COC(=O)NC(CCCNC(=N)N)C(=O)O)CN(C)C1=CC(CC(C=O)CCC=O)=CN1,CNCN(C)C1=CC(CC(CCC=O)C(=O)COC(=O)NC(CCC(=O)O)C(=O)O)=CN1,2.6466034418166666,2.5138848191000003,2.68194246412,2.7569098305
C(F)(:C),CNCN(C)C(=O)C(CCC=O)CC1=CNC=C1,CNCN(CCCF)C(=O)C(CCC=O)CC1=CNC=C1,CNCN(CC(CF)COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(=O)C(CCC=O)CC1=CNC=C1,CNCN(CCCF)C(=O)C(CCC=O)CC1=CN(COC(=O)NCC(=O)O)C=C1,CNCN(CCCF)C(=O)C(CCC=O)CC1=C(COC(=O)NC(CCCNC(=N)N)C(=O)O)NC=C1,CNCN(CCCF)C(=O)C(CCC=O)CC1=CNC(COC(=O)NC(CCC(=O)O)C(=O)O)=C1,3.2572773917160602,2.82152619126,3.0821689404433332,3.1184663607600003
O-C-C-C-C-C-N-C,CN(CNCCCF)C(=O)C(CCC=O)CC1=CNC=C1,CNCC(CCCO)C(C=O)CC(CC1=CNC=C1)C(=O)N(C)CNCCCF,CNCC(CCCO)C(CC(CC1=CNC=C1)C(=O)N(C)CNCCCF)C(=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CNCC(CCCO)C(C=O)CC(CC1=CNC=C1)C(=O)N(C)CN(CCCF)COC(=O)NCC(=O)O,CNCC(CCCO)C(C=O)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(CC1=CNC=C1)C(=O)N(C)CNCCCF,CN(CNCCCF)C(=O)C(CC1=CNC=C1)CC(C=O)C(CCCO)CNCCOC(=O)NC(CCC(=O)O)C(=O)O,3.8596324986327275,3.783066764366667,3.3929263906266653,3.2151466492033327
C(-C)(=O),CNCCC(CCO)C(CCF)NCN(C)C(=O)C(CCC=O)CC1=CNC=C1,CC(=O)N(C)CCC(CCO)C(CCF)NCN(C)C(=O)C(CCC=O)CC1=CNC=C1,CC(=O)N(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)CCC(CCO)C(CCF)NCN(C)C(=O)C(CCC=O)CC1=CNC=C1,CC(=O)N(C)CCC(CCO)C(CCF)N(COC(=O)NCC(=O)O)CN(C)C(=O)C(CCC=O)CC1=CNC=C1,CC(=O)N(C)CCC(CCO)C(CCF)NCN(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)C(=O)C(CCC=O)CC1=CNC=C1,CC(=O)N(C)CCC(C(CO)COC(=O)NC(CCC(=O)O)C(=O)O)C(CCF)NCN(C)C(=O)C(CCC=O)CC1=CNC=C1,3.570675356532726,3.12912404736,3.3551992477599994,3.156394140843333
O-C-C-N-C,CNCCC(CCO)C(CCF)NCN(C)C(=O)C(CC=O)(CCC=O)CC1=CNC=C1,CNCCC(CCO)C(CCF)N(CNCCO)CN(C)C(=O)C(CC=O)(CCC=O)CC1=CNC=C1,CNCCC(CCO)C(CCF)N(CNCCO)CN(C)C(=O)C(CC=O)(CC1=CNC=C1)C(CC=O)COC(=O)NC(C(=O)O)C1=CC=CC=C1,CNCCC(CCO)C(CCF)N(CNCCO)CN(C)C(=O)C(CC=O)(CCC=O)CC1=C(COC(=O)NCC(=O)O)NC=C1,CNCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(CCO)C(CCF)N(CNCCO)CN(C)C(=O)C(CC=O)(CCC=O)CC1=CNC=C1,CNCCC(CC(O)COC(=O)NC(CCC(=O)O)C(=O)O)C(CCF)N(CNCCO)CN(C)C(=O)C(CC=O)(CCC=O)CC1=CNC=C1,3.7458324986327263,3.9355894077599993,3.4387492477599992,3.5114567201266658
