add_SMILES,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
N(H)(:C),C,[H]N(C)C,[H]N(C)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]N(C)CCOC(=O)NCC(=O)O,[H]N(C)CCOC(=O)NC(CCCNC(=N)N)C(=O)O,[H]N(C)CCOC(=O)NC(CCC(=O)O)C(=O)O,2.644909969633333,2.46501369242,2.6136161156249997,2.661424460358333
CC1C(O)CCCC1,[H]N(C)C,[H]N(C)CC1CCC(O)C(C)C1,[H]N(C)CC1CCC(O)C(CCOC(=O)NC(C(=O)O)C2=CC=CC=C2)C1,[H]N(C)CC1CCC(O)(COC(=O)NCC(=O)O)C(C)C1,[H]N(C)C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C1CCC(O)C(C)C1,[H]N(C)CC1CC(C)C(O)C(COC(=O)NC(CCC(=O)O)C(=O)O)C1,3.5429398965316663,2.865289806912381,2.9870126541773807,2.8374105520805557
C(:C)(:C)(:C),[H]N(C)CC1CCC(C)C(O)C1,[H]N(C)CC1(CC(C)C)CCC(C)C(O)C1,[H]N(C)CC1(CC(C)CCOC(=O)NC(C(=O)O)C2=CC=CC=C2)CCC(C)C(O)C1,[H]N(CCOC(=O)NCC(=O)O)CC1(CC(C)C)CCC(C)C(O)C1,[H]N(C)CC1(C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)C)CCC(C)C(O)C1,[H]N(C)C(COC(=O)NC(CCC(=O)O)C(=O)O)C1(CC(C)C)CCC(C)C(O)C1,3.6756502761445127,2.412373264155238,3.331837513359999,2.8844759677400003
N-C:C:C:N,[H]N(C)CC1CCC(C)C(O)C1CC(C)C,[H]N(CC(N)CCN)CC1CCC(C)C(O)C1CC(C)C,[H]N(CC(N)CCN)CC1CCC(C)C(OCOC(=O)NC(C(=O)O)C2=CC=CC=C2)C1CC(C)C,[H]N(CC(N)CCN)CC1CCC(C)C(O)C1CC(C)CCOC(=O)NCC(=O)O,[H]N(CC(N)CCN)CC1CCC(C)(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(O)C1CC(C)C,[H]N(CC(N)CCN)CC1CCC(C)(COC(=O)NC(CCC(=O)O)C(=O)O)C(O)C1CC(C)C,3.6156071852717857,2.6611254857690474,3.1577303590066665,3.061724086626667
N-H,[H]N(C)CC1CCC(C)C(OC(N)CCN)C1CC(C)C,[H]NC1(CN([H])C)CCC(C)C(OC(N)CCN)C1CC(C)C,[H]NC1(CN([H])C)CCC(C)C(OC(N)CCN)C1CC(C)CCOC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]NC1(CN([H])C)C(COC(=O)NCC(=O)O)CC(C)C(OC(N)CCN)C1CC(C)C,[H]NC1(CN([H])C)CCC(C)C(OC(N)CCN)C1CC(C)(C)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]NC1(CN([H])C)CCC(C)C(OC(N)(CCN)COC(=O)NC(CCC(=O)O)C(=O)O)C1CC(C)C,3.7069595708599996,4.0081258458,3.387368699493333,3.2542971275933334
O-C-C-N-C,[H]NCC(C)CC1C(CN([H])C)CCC(C)C1OC(N)CCN,[H]NCC(C)C(OCCNC)C1C(CN([H])C)CCC(C)C1OC(N)CCN,[H]NCC(C)C(OCCNC)C1C(CN([H])C)CCC(CCOC(=O)NC(C(=O)O)C2=CC=CC=C2)C1OC(N)CCN,[H]N(C)CC1CCC(C)C(OC(N)CCN)C1C(OCCNC)C(C)CN([H])COC(=O)NCC(=O)O,[H]NCC(C)C(OCC(COC(=O)NC(CCCNC(=N)N)C(=O)O)NC)C1C(CN([H])C)CCC(C)C1OC(N)CCN,[H]NCC(C)C(OCCNC)C1C(OC(N)CCN)C(C)CCC1(COC(=O)NC(CCC(=O)O)C(=O)O)CN([H])C,4.476677392968571,4.6356695551066665,4.064878848119999,3.8051273771085716
C-O-C:C-C,[H]NCC(C)CC1C(C(CNCCO)N([H])C)CCC(C)C1OC(N)CCN,[H]NCC(C)CC1C(C(CNCCOC(C)COC)N([H])C)CCC(C)C1OC(N)CCN,[H]NCC(C)CC1C(C(CNCCOC(C)COC)N([H])C)CCC(C)C1OC(N)CC(N)COC(=O)NC(C(=O)O)C1=CC=CC=C1,[H]NCC(C)CC1C(OC(N)CCN)C(C)CCC1(COC(=O)NCC(=O)O)C(CNCCOC(C)COC)N([H])C,[H]NCC(C)CC1C(C(CNCCOC(C)COC)N([H])C)CCC(C)C1OC(N)CC(N)COC(=O)NC(CCCNC(=N)N)C(=O)O,[H]NCC(C)CC1C(C(CNCCOC(C)COC)N([H])C)CCC(C)C1(COC(=O)NC(CCC(=O)O)C(=O)O)OC(N)CCN,4.511020262740238,4.335315588415,4.482360851935238,4.345305142668571
CC1C(Cl)CCCC1,[H]NCC(C)CC1C(C(CNCCO)N([H])C)CCC(C)(CCCOC)C1OC(N)CCN,[H]NCC(C)CC1C(OC(N)CCN)C(C)(CCCOC)CCC1(C1CCCC(Cl)C1C)C(CNCCO)N([H])C,[H]NCC(C)CC1C(OC(N)CC(N)COC(=O)NC(C(=O)O)C2=CC=CC=C2)C(C)(CCCOC)CCC1(C1CCCC(Cl)C1C)C(CNCCO)N([H])C,[H]NCC(C)CC1C(OC(N)C(CN)COC(=O)NCC(=O)O)C(C)(CCCOC)CCC1(C1CCCC(Cl)C1C)C(CNCCO)N([H])C,[H]NC(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)CC1C(OC(N)CCN)C(C)(CCCOC)CCC1(C1CCCC(Cl)C1C)C(CNCCO)N([H])C,[H]NCC(C)CC1C(OC(N)CCN)C(C)(CCCOC)CCC1(C1CCCC(Cl)C1C)C(CNC(CO)COC(=O)NC(CCC(=O)O)C(=O)O)N([H])C,4.755200499548571,4.435298908398571,4.166692909168571,3.9090517251735712
