add_SMILES,starting_SMILES 1,starting_SMILES 0,SMILES_with_Phe,SMILES_with_Gly,SMILES_with_Arg,SMILES_with_Glu,IE_Phe,IE_Gly,IE_Arg,IE_Glu
C=C-C-O-C,C,CC=CCOC,CC=CC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)OC,CC=C(COC)COC(=O)NCC(=O)O,CC=CC(COC(=O)NC(CCCNC(=N)N)C(=O)O)OC,CC=CC(COC(=O)NC(CCC(=O)O)C(=O)O)OC,2.917191127025,2.2755706776149998,3.058156701216667,2.909565540958334
C1CCNC1,CC=CCOC,CC=CC(OC)N1CCCC1,CC=CC(OCCOC(=O)NC(C(=O)O)C1=CC=CC=C1)N1CCCC1,CC=CC(OC)N1CCC(COC(=O)NCC(=O)O)C1,CC=C(COC(=O)NC(CCCNC(=N)N)C(=O)O)C(OC)N1CCCC1,CC=CC(OC)N1CCC(COC(=O)NC(CCC(=O)O)C(=O)O)C1,3.77553533254,3.453276977614199,3.544957170870714,3.5726575376
O=C-C:C,COCC=CCN1CCCC1,COCC=CCN1CCC(C(C)C=O)C1,COCC=CCN1CCC(C(C=O)CCOC(=O)NC(C(=O)O)C2=CC=CC=C2)C1,COCC=CC(COC(=O)NCC(=O)O)N1CCC(C(C)C=O)C1,COCC=CC(COC(=O)NC(CCCNC(=N)N)C(=O)O)N1CCC(C(C)C=O)C1,COCC=C(COC(=O)NC(CCC(=O)O)C(=O)O)CN1CCC(C(C)C=O)C1,3.5774322656599997,3.6069291283599996,3.234305589946666,3.4528520613999993
C-C-C(C)-C-C,COC(C=CCN1CCCC1)C(C)C=O,CCC(C)CCC1CCCN1CC=CC(OC)C(C)C=O,CCC(C)CC(COC(=O)NC(C(=O)O)C1=CC=CC=C1)C1CCCN1CC=CC(OC)C(C)C=O,CCC(C)CCC1CCCN1CC=CC(OC)C(C)(C=O)COC(=O)NCC(=O)O,COC(C=CCN1CCCC1CCC(C)C(C)COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C)C=O,CCC(C)CCC1(COC(=O)NC(CCC(=O)O)C(=O)O)CCCN1CC=CC(OC)C(C)C=O,4.175707133830228,4.456481067817435,4.319151088824545,3.25559095744
O-C:C-O,CCC(C)C(C)C(C)(C=O)C(C=CCN1CCCC1)OC,CCC(C)C(C)C(C=O)(CC(O)CO)C(C=CCN1CCCC1)OC,CCC(C)C(C)C(C=O)(CC(O)CO)C(C=CCN1CCC(COC(=O)NC(C(=O)O)C2=CC=CC=C2)C1)OC,CCC(C)C(C)C(C=O)(CC(O)CO)C(C=CCN1CCCC1COC(=O)NCC(=O)O)OC,CCC(C)C(C)C(C=O)(CC(O)C(O)COC(=O)NC(CCCNC(=N)N)C(=O)O)C(C=CCN1CCCC1)OC,CCC(C)C(C)C(C=O)(CC(O)CO)C(C=CCN1CCCC1)(COC(=O)NC(CCC(=O)O)C(=O)O)OC,3.948185006992727,3.701198036185714,3.41790175612,3.367964207359999
O=C-C-C-C-C(O)-C,CCC(C)(C(O)CO)C(C)C(C)(C=O)C(C=CCN1CCCC1)OC,CCC(CCC(O)CCCC=O)(C(O)CO)C(C)C(C)(C=O)C(C=CCN1CCCC1)OC,COC(C=CCN1CCCC1)C(C)(C=O)C(C)C(CCC(O)CCCC=O)(C(C)COC(=O)NC(C(=O)O)C1=CC=CC=C1)C(O)CO,CCC(CC(COC(=O)NCC(=O)O)C(O)CCCC=O)(C(O)CO)C(C)C(C)(C=O)C(C=CCN1CCCC1)OC,CCC(CCC(O)CCCC=O)(C(O)CO)C(C)C(C)(C=O)C(C=CCN1CCCC1)OCCOC(=O)NC(CCCNC(=N)N)C(=O)O,COC(C=CCN1CCCC1)C(C)(C=O)C(C)C(CCCOC(=O)NC(CCC(=O)O)C(=O)O)(CCC(O)CCCC=O)C(O)CO,3.8897850069927267,3.853391401084444,3.3855239001485713,3.4817227226399994
O-C-C-C-C-C-N-C,CCC(C)(C(O)CO)C(C)C(C)(C=O)C(C=CCN1CCC(OC(C)CCCC=O)C1)OC,CCC(C)(C(O)CO)C(C)C(C)(C=O)C(C=CCN1CCC(OC(C)CCCC=O)(N(C)CCCCCO)C1)OC,CCC(CCOC(=O)NC(C(=O)O)C1=CC=CC=C1)(C(O)CO)C(C)C(C)(C=O)C(C=CCN1CCC(OC(C)CCCC=O)(N(C)CCCCCO)C1)OC,CCC(C)(C(O)CO)C(C)C(C)(C=O)C(C=CCN1CC(OC(C)CCCC=O)(N(C)CCCCCO)CC1COC(=O)NCC(=O)O)OC,CCC(CCOC(=O)NC(CCCNC(=N)N)C(=O)O)(C(O)CO)C(C)C(C)(C=O)C(C=CCN1CCC(OC(C)CCCC=O)(N(C)CCCCCO)C1)OC,CCC(C)(C(O)CO)C(C)C(C)(C=O)C(C=CCN1CCC(OC(C)CCCC=O)(N(C)C(CCCCO)COC(=O)NC(CCC(=O)O)C(=O)O)C1)OC,4.574387290696299,4.500165834061072,4.517144199823571,4.316018222723572
